Resolution,1920,1080,Distance,1,Width,1,Subject,V002GAAURA,Test,TASVH-12292016-124218,Calibration,CC9-12292016-124144,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163726
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-1.20853,0.0724915,0,0,0,0,-1.20853,0.0724915,8423.71,-1.04818,0.438678,0
20,-1.20853,0.0724915,0,0,0,0,-1.20853,0.0724915,8423.71,-1.37113,-0.289969,0
30,-1.3377,-0.32262,0,0,-12.9171,-39.5112,-1.3377,-0.32262,8423.71,-1.54873,-0.502167,0
40,-1.40503,-0.422714,0,0,-6.73294,-10.0094,-1.40503,-0.422714,8423.71,-1.48085,-0.254699,0
50,-1.41628,-0.482895,0,0,-1.12579,-6.01812,-1.41628,-0.482895,8425.98,-1.31492,-0.470946,0
60,-1.43895,-0.502361,0,0,-2.26686,-1.94657,-1.43895,-0.502361,8423.71,-1.65421,-0.638969,0
70,-1.43207,-0.517096,0,0,0.688257,-1.47354,-1.43207,-0.517096,8424.37,-1.39152,-0.475467,0
80,-1.41017,-0.518231,0,0,2.19002,-0.113496,-1.41017,-0.518231,8430.16,-1.56485,-0.522957,0
90,-1.40775,-0.516463,0,0,0.242087,0.176825,-1.40775,-0.516463,8448.02,-1.45592,-0.543395,0
100,-1.37459,-0.474191,0,0,3.31607,4.22726,-1.37459,-0.474191,8479.04,-1.34738,-0.365103,0
110,-1.3808,-0.435919,0,0,-0.620896,3.82713,-1.3808,-0.435919,8510.28,-1.2335,-0.183947,0
120,-1.37797,-0.38325,0,0,0.282529,5.26693,-1.37797,-0.38325,8530.8,-1.26405,-0.430215,0
130,-1.3781,-0.362872,0,0,-0.0128429,2.03785,-1.3781,-0.362872,8547.08,-1.40709,-0.37765,0
140,-1.40752,-0.316084,0,0,-2.94177,4.67877,-1.40752,-0.316084,8570.04,-1.42174,-0.292564,0
150,-1.42537,-0.31194,0,0,-1.78542,0.414341,-1.42537,-0.31194,8599.49,-1.45282,-0.390528,0
160,-1.46472,-0.269865,0,0,-3.93452,4.20752,-1.46472,-0.269865,8628.36,-1.551,-0.203846,0
170,-1.46403,-0.222986,0,0,0.0686827,4.6879,-1.46403,-0.222986,8651.98,-1.61096,-0.105356,0
180,-1.47324,-0.220778,0,0,-0.921339,0.220823,-1.47324,-0.220778,8670.31,-1.61231,-0.113373,0
190,-1.47304,-0.225471,0,0,0.0208999,-0.469336,-1.47304,-0.225471,8687.88,-1.32801,-0.196524,0
200,-1.45909,-0.335084,0,0,1.39417,-10.9613,-1.45909,-0.335084,8709.08,-1.39667,-0.490171,0
210,-1.46209,-0.398117,0,0,-0.299535,-6.30326,-1.46209,-0.398117,8732.25,-1.53632,-0.479591,0
220,-1.46245,-0.400675,0,0,-0.0359547,-0.255834,-1.46245,-0.400675,8754.1,-1.42203,-0.481935,0
230,-1.4674,-0.399674,0,0,-0.495263,0.100082,-1.4674,-0.399674,8775.38,-1.50436,-0.319374,0
240,-1.4764,-0.376876,0,0,-0.899768,2.27981,-1.4764,-0.376876,8796.7,-1.45715,-0.173504,0
250,-1.47994,-0.318466,0,0,-0.354483,5.84104,-1.47994,-0.318466,8815.01,-1.31612,-0.209942,0
260,-1.49093,-0.31695,0,0,-1.09816,0.151548,-1.49093,-0.31695,8828.33,-1.50059,-0.436398,0
270,-1.48261,-0.346444,0,0,0.831336,-2.94932,-1.48261,-0.346444,8838.49,-1.71052,-0.323641,0
280,-1.49874,-0.355872,0,0,-1.61314,-0.942786,-1.49874,-0.355872,8848.48,-1.52986,-0.293334,0
290,-1.52627,-0.405914,0,0,-2.75231,-5.00426,-1.52627,-0.405914,8861.03,-1.44033,-0.524283,0
300,-1.5259,-0.410783,0,0,0.0365911,-0.486846,-1.5259,-0.410783,8876.81,-1.57434,-0.354529,0
310,-1.48104,-0.472041,0,0,4.48627,-6.1258,-1.48104,-0.472041,8892.33,-1.69844,-0.265472,0
320,-1.25038,-0.477437,0,0,23.0655,-0.539607,-1.25038,-0.477437,8905.81,-1.06364,-0.523897,0
330,-1.04175,-0.419154,0,0,20.8632,5.82825,-1.04175,-0.419154,8921.84,-0.72024,-0.60887,0
340,-0.980009,-0.416506,0,0,6.17421,0.264807,-0.980009,-0.416506,8943.84,-0.948082,-0.0571783,0
350,-0.932143,-0.387918,0,0,4.78657,2.85884,-0.932143,-0.387918,8968.29,-0.910558,-0.252497,0
360,-0.90314,-0.385834,0,0,2.9003,0.208319,-0.90314,-0.385834,8991.6,-0.833481,-0.386016,0
370,-0.857404,-0.352181,0,0,4.57361,3.36539,-0.857404,-0.352181,9013.67,-0.701725,-0.254712,0
380,-0.775294,-0.311234,0,0,8.211,4.09464,-0.775294,-0.311234,9033.84,-0.889005,-0.3911,0
390,-0.71367,-0.29931,0,0,6.16242,1.19243,-0.71367,-0.29931,9050.69,-0.684748,-0.344058,0
400,-0.693583,-0.287924,0,0,2.00871,1.13857,-0.693583,-0.287924,9063.69,-0.741276,-0.0504728,0
410,-0.700115,-0.29861,0,0,-0.653219,-1.06861,-0.700115,-0.29861,9073.68,-0.594047,-0.258823,0
420,-0.695689,-0.287372,0,0,0.442621,1.12384,-0.695689,-0.287372,9083.66,-0.633345,-0.275737,0
430,-0.712189,-0.286653,0,0,-1.65003,0.0718418,-0.712189,-0.286653,9095.6,-0.823475,-0.533244,0
440,-0.703231,-0.282005,0,0,0.89581,0.464848,-0.703231,-0.282005,9107.07,-0.671166,-0.227864,0
450,-0.710593,-0.28319,0,0,-0.736216,-0.118556,-0.710593,-0.28319,9115.29,-0.745492,-0.350736,0
460,-0.713116,-0.318765,0,0,-0.252296,-3.55744,-0.713116,-0.318765,9121.94,-0.683117,-0.523712,0
470,-0.710649,-0.326516,0,0,0.246769,-0.775074,-0.710649,-0.326516,9131.16,-0.709327,-0.117283,0
480,-0.712968,-0.469622,0,0,-0.231932,-14.3107,-0.712968,-0.469622,9145.11,-0.73859,-0.775779,0
490,-0.685717,-0.559502,0,0,2.72512,-8.98802,-0.685717,-0.559502,9161.23,-0.624226,-0.6644,0
500,-0.689573,-0.563069,0,0,-0.385625,-0.356655,-0.689573,-0.563069,9174.81,-0.561078,-0.923342,0
510,-0.689766,-0.562102,0,0,-0.0193357,0.0966415,-0.689766,-0.562102,9183.76,-0.688359,-0.532914,0
520,-0.690401,-0.540185,0,0,-0.0634687,2.19179,-0.690401,-0.540185,9189.1,-0.763726,-0.322786,0
530,-0.720014,-0.538555,0,0,-2.96127,0.16295,-0.720014,-0.538555,9193.14,-0.759171,-0.489377,0
540,-0.722105,-0.543046,0,0,-0.209194,-0.449089,-0.722105,-0.543046,9197.94,-0.726454,-0.59941,0
550,-0.741063,-0.649977,0,0,-1.8957,-10.6931,-0.741063,-0.649977,9204,-0.735648,-0.838536,0
560,-0.766702,-0.748054,0,0,-2.56399,-9.80774,-0.766702,-0.748054,9211.45,-0.716135,-1.10963,0
570,-0.824508,-0.783717,0,0,-5.7806,-3.56625,-0.824508,-0.783717,9221.2,-1.37932,-0.408398,0
580,-0.938672,-0.781105,0,0,-11.4164,0.261179,-0.938672,-0.781105,9233.23,-1.03304,-0.667795,0
590,-1.01233,-0.744556,0,0,-7.3655,3.65495,-1.01233,-0.744556,9246.75,-0.996482,-0.811822,0
600,-1.02199,-0.695509,0,0,-0.965941,4.9047,-1.02199,-0.695509,9261.05,-1.10205,-0.637381,0
610,-1.03973,-0.621951,0,0,-1.77405,7.35573,-1.03973,-0.621951,9273.61,-1.0973,-0.532855,0
620,-1.02683,-0.596192,0,0,1.28942,2.57596,-1.02683,-0.596192,9281.63,-0.995345,-0.490321,0
630,-1.02517,-0.595221,0,0,0.166281,0.0971113,-1.02517,-0.595221,9285.34,-1.15644,-0.556039,0
640,-0.999561,-0.596443,0,0,2.56095,-0.122247,-0.999561,-0.596443,9286.63,-0.999645,-0.68382,0
650,-0.96344,-0.611589,0,0,3.61211,-1.51457,-0.96344,-0.611589,9286.85,-0.900387,-0.650947,0
660,-0.914469,-0.614243,0,0,4.89706,-0.265454,-0.914469,-0.614243,9286.33,-0.94178,-0.819862,0
670,-0.883319,-0.636368,0,0,3.11498,-2.21247,-0.883319,-0.636368,9284.42,-0.664796,-0.626214,0
680,-0.805812,-0.664466,0,0,7.75073,-2.80977,-0.805812,-0.664466,9280.2,-0.934583,-0.558235,0
690,-0.710843,-0.745922,0,0,9.49691,-8.14562,-0.710843,-0.745922,9273.93,-0.817058,-0.71851,0
700,-0.660515,-0.760276,0,0,5.03282,-1.43544,-0.660515,-0.760276,9267.38,-0.655306,-0.997483,0
710,-0.695744,-0.844804,0,0,-3.52291,-8.45275,-0.695744,-0.844804,9262.34,-0.556489,-0.959446,0
720,-0.665054,-0.889784,0,0,3.06893,-4.498,-0.665054,-0.889784,9258.87,-0.589905,-0.894324,0
730,-0.660013,-0.923889,0,0,0.504153,-3.41056,-0.660013,-0.923889,9255.36,-0.759918,-0.853237,0
740,-0.668214,-0.932896,0,0,-0.820089,-0.900618,-0.668214,-0.932896,9250.36,-0.682433,-0.947744,0
750,-0.668496,-0.931829,0,0,-0.0282154,0.106681,-0.668496,-0.931829,9244.11,-0.655767,-0.935634,0
760,-0.6664,-0.901206,0,0,0.209638,3.06222,-0.6664,-0.901206,9238.69,-0.565828,-1.06343,0
770,-0.663092,-0.928495,0,0,0.330757,-2.72885,-0.663092,-0.928495,9235.51,-0.76113,-0.817629,0
780,-0.662886,-0.929757,0,0,0.0205858,-0.126183,-0.662886,-0.929757,9233.84,-0.634225,-0.778547,0
790,-0.661438,-0.930033,0,0,0.144803,-0.0276296,-0.661438,-0.930033,9232.64,-0.662785,-1.01553,0
800,-0.661881,-0.935571,0,0,-0.0442453,-0.553827,-0.661881,-0.935571,9231.79,-0.725163,-1.2297,0
810,-0.665699,-0.93573,0,0,-0.381856,-0.0158267,-0.665699,-0.93573,9231.38,-0.668768,-0.988288,0
820,-0.665865,-0.935705,0,0,-0.0165812,0.00250761,-0.665865,-0.935705,9231.27,-0.685187,-0.854073,0
830,-0.66576,-0.934412,0,0,0.010496,0.129262,-0.66576,-0.934412,9231.25,-0.665816,-0.919314,0
840,-0.663844,-0.9125,0,0,0.191643,2.19119,-0.663844,-0.9125,9231.21,-0.566581,-0.91602,0
850,-0.658833,-0.830543,0,0,0.501092,8.19567,-0.658833,-0.830543,9230.96,-0.629017,-0.742234,0
860,-0.651902,-0.809715,0,0,0.693092,2.08283,-0.651902,-0.809715,9230.08,-0.705262,-0.655381,0
870,-0.652146,-0.806222,0,0,-0.0244565,0.349262,-0.652146,-0.806222,9228.38,-0.66801,-0.595642,0
880,-0.668398,-0.808459,0,0,-1.62515,-0.223626,-0.668398,-0.808459,9226.44,-0.624548,-0.877033,0
890,-0.67216,-0.870283,0,0,-0.376183,-6.18241,-0.67216,-0.870283,9225.12,-0.699983,-0.915159,0
900,-0.654668,-0.873429,0,0,1.74919,-0.314603,-0.654668,-0.873429,9224.6,-0.697242,-0.863545,0
910,-0.637371,-0.874475,0,0,1.72971,-0.104596,-0.637371,-0.874475,9224.63,-0.590437,-1.10439,0
920,-0.667092,-0.868172,0,0,-2.97211,0.630296,-0.667092,-0.868172,9225.22,-0.564513,-0.70936,0
930,-0.667029,-0.797658,0,0,0.00627513,7.05134,-0.667029,-0.797658,9226.88,-0.822444,-0.868339,0
940,-0.660103,-0.716619,0,0,0.692624,8.10396,-0.660103,-0.716619,9230.63,-0.707526,-0.740474,0
950,-0.666821,-0.656248,0,0,-0.671794,6.03712,-0.666821,-0.656248,9236.69,-0.770114,-0.58402,0
960,-0.667614,-0.6616,0,0,-0.0793124,-0.535205,-0.667614,-0.6616,9242.79,-0.633419,-0.427817,0
