Resolution,1920,1080,Distance,1,Width,1,Subject,V002GAETSIDI,Test,CC9-12152016-135017,Calibration,CC9-12152016-135017,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171525
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-26.0484,14.7053,-26.0856,15.1541,0,0,0.0371551,-0.448818,3703.15,-26.0455,14.7046,0
20,-26.0484,14.7053,-26.0856,15.1541,0,0,0.0371551,-0.448818,3703.15,-26.0551,14.6965,0
30,-26.0644,14.7134,-26.0856,15.1541,-1.60044,0.819318,0.0211507,-0.440625,3703.15,-26.08,14.7313,0
40,-26.0663,14.7333,-26.0856,15.1541,-0.188675,1.98391,0.019264,-0.420785,3703.15,-26.1875,14.7881,0
50,-26.0883,14.7385,-26.0856,15.1541,-2.19625,0.521254,-0.00269855,-0.415573,3710.83,-26.1179,14.9553,0
60,-26.0989,14.766,-26.0856,15.1541,-1.05867,2.74587,-0.0132852,-0.388114,3713.46,-26.0403,14.7755,0
70,-26.1282,14.7696,-26.0856,15.1541,-2.93489,0.364806,-0.0426341,-0.384466,3715.77,-26.2024,14.6807,0
80,-26.1448,14.7276,-26.0856,15.1541,-1.65341,-4.19804,-0.0591683,-0.426447,3717.73,-26.4426,14.8874,0
90,-26.1529,14.6444,-26.0856,15.1541,-0.817141,-8.32673,-0.0673397,-0.509714,3719.18,-26.1786,14.565,0
100,-26.1727,14.5433,-26.0856,15.1541,-1.97774,-10.1064,-0.0871171,-0.610778,3720.27,-26.1253,14.2367,0
110,-26.1844,14.5403,-26.0856,15.1541,-1.17042,-0.296001,-0.0988213,-0.613738,3721.44,-26.1426,14.2934,0
120,-26.1839,14.5338,-26.0856,15.1541,0.0489475,-0.651501,-0.0983318,-0.620253,3723.29,-26.2091,14.6226,0
130,-26.1637,14.5332,-26.0856,15.1541,2.02071,-0.05949,-0.0781248,-0.620848,3726.37,-26.1686,14.6767,0
140,-26.1636,14.5945,-26.0856,15.1541,0.0153475,6.12995,-0.0779713,-0.559548,3730.69,-26.1945,14.6094,0
150,-26.1623,14.5973,-26.0856,15.1541,0.122131,0.279137,-0.07675,-0.556757,3735.28,-26.1295,14.7631,0
160,-26.1403,14.6004,-26.0856,15.1541,2.20581,0.306008,-0.0546919,-0.553697,3738.76,-26.1492,14.4455,0
170,-26.13,14.5994,-26.0856,15.1541,1.02983,-0.094337,-0.0443935,-0.55464,3740.67,-26.1398,14.5708,0
180,-26.1064,14.6028,-26.0856,15.1541,2.36422,0.340789,-0.0207513,-0.551232,3741.48,-26.0836,14.5915,0
190,-26.0847,14.5999,-26.0856,15.1541,2.16493,-0.289572,0.000898014,-0.554128,3741.72,-26.0868,14.6401,0
200,-26.0716,14.598,-26.0856,15.1541,1.30629,-0.192887,0.0139609,-0.556057,3741.88,-26.0263,14.565,0
210,-26.0531,14.5933,-26.0856,15.1541,1.85468,-0.469964,0.0325077,-0.560756,3742.46,-26.037,14.6177,0
220,-26.0457,14.5452,-26.0856,15.1541,0.741261,-4.80637,0.0399203,-0.60882,3743.5,-26.0437,14.4884,0
230,-26.0446,14.4905,-26.0856,15.1541,0.105595,-5.47526,0.0409763,-0.663573,3744.66,-26.0477,14.489,0
240,-26.0417,14.4795,-26.0856,15.1541,0.295419,-1.10234,0.0439305,-0.674596,3745.63,-25.9067,14.4466,0
250,-26.0401,14.4789,-26.0856,15.1541,0.152985,-0.0591019,0.0454603,-0.675187,3746.28,-26.0734,14.4007,0
260,-26.0084,14.4748,-26.0856,15.1541,3.17705,-0.405541,0.0772308,-0.679243,3746.67,-25.9231,14.4561,0
270,-26.0106,14.49,-26.0856,15.1541,-0.218739,1.52046,0.0750434,-0.664038,3746.94,-26.0097,14.54,0
280,-26.0241,14.4959,-26.0856,15.1541,-1.35047,0.586878,0.0615387,-0.658169,3747.33,-25.9418,14.6533,0
290,-26.028,14.4966,-26.0856,15.1541,-0.394603,0.0725409,0.0575927,-0.657444,3748.24,-26.1877,14.5173,0
300,-26.051,14.4988,-26.0856,15.1541,-2.30224,0.215302,0.0345702,-0.655291,3750.18,-26.0623,14.4616,0
310,-26.0874,14.4752,-26.0856,15.1541,-3.64086,-2.35627,-0.00183833,-0.678854,3753.39,-26.0948,14.3262,0
320,-26.1097,14.4665,-26.0856,15.1541,-2.2257,-0.874882,-0.0240953,-0.687602,3757.46,-26.0205,14.4549,0
330,-26.1102,14.4339,-26.0856,15.1541,-0.0525107,-3.25489,-0.0246205,-0.720151,3762.06,-26.1594,14.3424,0
340,-26.1104,14.4066,-26.0856,15.1541,-0.0213478,-2.73386,-0.0248339,-0.74749,3768.16,-26.0886,14.4635,0
350,-26.1227,14.4061,-26.0856,15.1541,-1.22689,-0.0445442,-0.0371029,-0.747935,3777.63,-26.2135,14.4816,0
360,-26.1213,14.3801,-26.0856,15.1541,0.144411,-2.59879,-0.0356588,-0.773923,3790.07,-26.0155,14.2533,0
370,-26.0823,14.3716,-26.0856,15.1541,3.89152,-0.85921,0.00325643,-0.782515,3801.36,-26.1219,14.3558,0
380,-26.0649,14.3313,-26.0856,15.1541,1.74564,-4.0236,0.0207129,-0.822751,3808.44,-26.0388,14.2232,0
390,-26.0658,14.3298,-26.0856,15.1541,-0.095553,-0.151089,0.0197573,-0.824262,3812.54,-25.9997,14.3296,0
400,-26.103,14.3375,-26.0856,15.1541,-3.71772,0.768558,-0.0174199,-0.816577,3815.99,-26.1361,14.2954,0
410,-26.0982,14.3946,-26.0856,15.1541,0.484064,5.71124,-0.0125793,-0.759464,3819.73,-26.2725,14.4839,0
420,-26.1262,14.619,-26.0856,15.1541,-2.79876,22.4388,-0.0405669,-0.535076,3823.93,-26.2649,14.8626,0
430,-26.1483,14.7897,-26.0856,15.1541,-2.21387,17.0719,-0.0627056,-0.364357,3829.02,-26.1097,14.8273,0
440,-26.175,14.8127,-26.0856,15.1541,-2.66796,2.2952,-0.0893852,-0.341405,3835.35,-26.1674,14.7867,0
450,-26.1826,14.8299,-26.0856,15.1541,-0.766164,1.72124,-0.0970468,-0.324193,3842.01,-26.1299,14.8999,0
460,-26.1841,14.819,-26.0856,15.1541,-0.144197,-1.08708,-0.0984888,-0.335064,3847.39,-26.2663,14.8018,0
470,-26.2138,14.8269,-26.0856,15.1541,-2.97296,0.787607,-0.128218,-0.327188,3851.23,-26.2683,14.9572,0
480,-26.2159,14.8274,-26.0856,15.1541,-0.20752,0.0482422,-0.130294,-0.326705,3854.76,-26.235,14.8107,0
490,-26.2344,14.8301,-26.0856,15.1541,-1.84991,0.269963,-0.148793,-0.324006,3859.07,-26.2132,14.8465,0
500,-26.2584,14.833,-26.0856,15.1541,-2.39777,0.295999,-0.17277,-0.321046,3864.48,-26.1119,14.7895,0
510,-26.2748,14.8354,-26.0856,15.1541,-1.64752,0.240586,-0.189245,-0.31864,3870.65,-26.3681,14.7478,0
520,-26.375,14.8513,-26.0856,15.1541,-10.02,1.58984,-0.289446,-0.302741,3876.93,-26.4961,14.8889,0
530,-26.4641,14.889,-26.0856,15.1541,-8.90625,3.76961,-0.378509,-0.265045,3882.8,-26.5357,14.9982,0
540,-26.4692,14.8909,-26.0856,15.1541,-0.512433,0.183687,-0.383633,-0.263208,3888.13,-26.4606,14.9346,0
550,-26.469,14.8892,-26.0856,15.1541,0.0270833,-0.164517,-0.383362,-0.264854,3892.84,-26.462,14.5554,0
560,-26.4603,14.8468,-26.0856,15.1541,0.862505,-4.24514,-0.374737,-0.307305,3896.77,-26.485,14.9027,0
570,-26.4349,14.7341,-26.0856,15.1541,2.54384,-11.2655,-0.349299,-0.41996,3900.65,-26.401,14.6577,0
580,-26.4075,14.687,-26.0856,15.1541,2.73797,-4.7102,-0.321919,-0.467062,3906.15,-26.4216,14.7018,0
590,-26.4019,14.6845,-26.0856,15.1541,0.566825,-0.253375,-0.316251,-0.469596,3913.88,-26.3705,14.6237,0
600,-26.4006,14.6867,-26.0856,15.1541,0.12679,0.220317,-0.314983,-0.467393,3922.23,-26.4017,14.6823,0
610,-26.3791,14.7405,-26.0856,15.1541,2.148,5.38663,-0.293503,-0.413527,3928.64,-26.2564,14.7753,0
620,-26.3381,14.797,-26.0856,15.1541,4.09626,5.64616,-0.25254,-0.357065,3932,-26.3587,14.8325,0
630,-26.2986,14.8164,-26.0856,15.1541,3.94901,1.9362,-0.21305,-0.337703,3933.22,-26.3176,14.7878,0
640,-26.2693,14.8909,-26.0856,15.1541,2.9363,7.45569,-0.183687,-0.263146,3933.74,-26.1594,14.9468,0
650,-26.2536,14.9642,-26.0856,15.1541,1.56431,7.32302,-0.168044,-0.189916,3934.28,-26.2416,15.0164,0
660,-26.2225,14.9628,-26.0856,15.1541,3.11745,-0.139405,-0.136869,-0.19131,3935.02,-26.2156,14.9685,0
670,-26.2037,14.959,-26.0856,15.1541,1.87286,-0.37931,-0.118141,-0.195103,3936.01,-26.1164,15.0051,0
680,-26.1863,14.9319,-26.0856,15.1541,1.74421,-2.70356,-0.100699,-0.222139,3937.06,-26.166,14.6768,0
690,-26.1762,14.9153,-26.0856,15.1541,1.01158,-1.66207,-0.0905831,-0.23876,3937.77,-26.1903,14.8336,0
700,-26.1671,14.8746,-26.0856,15.1541,0.905292,-4.07248,-0.0815301,-0.279484,3937.99,-26.1744,14.8533,0
710,-26.1664,14.8477,-26.0856,15.1541,0.0701966,-2.68513,-0.0808282,-0.306336,3937.81,-26.136,14.9298,0
720,-26.1664,14.8455,-26.0856,15.1541,0.00284799,-0.222419,-0.0807997,-0.30856,3937.35,-26.147,14.692,0
730,-26.1655,14.8188,-26.0856,15.1541,0.093252,-2.67091,-0.0798672,-0.335269,3936.37,-26.125,14.6873,0
740,-26.1525,14.7895,-26.0856,15.1541,1.29662,-2.92671,-0.0669009,-0.364536,3933.83,-26.3438,14.8883,0
750,-26.1717,14.7833,-26.0856,15.1541,-1.92298,-0.624975,-0.0861307,-0.370786,3929.05,-26.2688,14.9237,0
760,-26.1726,14.7821,-26.0856,15.1541,-0.0858809,-0.121354,-0.0869895,-0.371999,3923.36,-26.1401,14.7055,0
770,-26.171,14.7569,-26.0856,15.1541,0.160735,-2.52032,-0.0853821,-0.397203,3918.96,-26.2468,14.7413,0
780,-26.1399,14.6964,-26.0856,15.1541,3.11272,-6.04737,-0.054255,-0.457676,3916.63,-26.1376,14.6446,0
790,-26.1144,14.6902,-26.0856,15.1541,2.55033,-0.617228,-0.0287516,-0.463849,3915.71,-26.0883,14.5882,0
800,-26.0905,14.6876,-26.0856,15.1541,2.38997,-0.259969,-0.00485189,-0.466448,3915.34,-26.0889,14.6724,0
810,-26.0888,14.7083,-26.0856,15.1541,0.168436,2.07049,-0.00316753,-0.445743,3915.16,-26.2054,14.7808,0
820,-26.0712,14.709,-26.0856,15.1541,1.75936,0.0722084,0.014426,-0.445021,3915.09,-26.0539,14.778,0
830,-26.0533,14.7612,-26.0856,15.1541,1.79042,5.21188,0.0323303,-0.392902,3915.06,-26.0033,14.7606,0
840,-26.0526,14.774,-26.0856,15.1541,0.0620353,1.28333,0.0329506,-0.380069,3915.06,-26.086,14.6089,0
850,-26.054,14.8142,-26.0856,15.1541,-0.137157,4.02469,0.031579,-0.339822,3915.09,-26.0509,14.9214,0
860,-26.0749,14.9198,-26.0856,15.1541,-2.08945,10.554,0.0106845,-0.234282,3915.22,-26.1855,15.1334,0
870,-26.0767,14.9967,-26.0856,15.1541,-0.181576,7.691,0.00886876,-0.157372,3915.67,-26.2311,15.0854,0
880,-26.0768,15.0083,-26.0856,15.1541,-0.0106951,1.15862,0.00876181,-0.145785,3916.87,-26.0006,14.9938,0
890,-26.0992,15.0119,-26.0856,15.1541,-2.2339,0.361328,-0.0135772,-0.142172,3919.41,-26.0157,15.0722,0
900,-26.0573,15.0052,-26.0856,15.1541,4.18834,-0.671656,0.0283063,-0.148889,3923.78,-25.9559,15.0024,0
910,-26.019,14.9846,-26.0856,15.1541,3.82482,-2.06056,0.0665545,-0.169494,3929.71,-26.1037,14.9371,0
920,-26.0172,14.9707,-26.0856,15.1541,0.182552,-1.3887,0.06838,-0.183381,3936,-26.0117,14.9714,0
930,-26.0158,14.9576,-26.0856,15.1541,0.138113,-1.30747,0.0697611,-0.196456,3941.06,-25.9288,14.8731,0
940,-26.0158,14.9574,-26.0856,15.1541,0.00562284,-0.0235993,0.0698173,-0.196692,3944.2,-26.0287,14.9678,0
950,-26.0158,14.964,-26.0856,15.1541,-0.00654495,0.667172,0.0697519,-0.19002,3946.05,-25.9593,15.0862,0
960,-26.0151,14.9533,-26.0856,15.1541,0.0716402,-1.0796,0.0704683,-0.200816,3947.66,-26.0004,14.9161,0
970,-26.0131,14.9507,-26.0856,15.1541,0.198224,-0.25407,0.0724505,-0.203357,3949.99,-26.1591,15.0239,0
980,-26.0058,14.9411,-26.0856,15.1541,0.735267,-0.962418,0.0798032,-0.212981,3953.45,-26.019,14.8968,0
990,-26.0048,14.9488,-26.0856,15.1541,0.0970263,0.774252,0.0807735,-0.205239,3957.27,-25.8833,14.8891,0
1000,-25.9856,14.9403,-26.0856,15.1541,1.92244,-0.854782,0.0999979,-0.213786,3961.04,-26.013,14.941,0
1010,-25.941,14.925,-26.0856,15.1541,4.4632,-1.52439,0.14463,-0.22903,3965.86,-25.915,15.0613,0
1020,-25.9149,14.9213,-26.0856,15.1541,2.60975,-0.377382,0.170727,-0.232804,3972.38,-25.8541,14.8774,0
1030,-25.8845,14.9262,-26.0856,15.1541,3.03866,0.492888,0.201114,-0.227875,3979.64,-25.9174,14.9407,0
1040,-25.8661,14.9418,-26.0856,15.1541,1.84333,1.55907,0.219547,-0.212285,3986.31,-25.7739,14.8693,0
1050,-25.8653,14.9426,-26.0856,15.1541,0.0788753,0.0798429,0.220336,-0.211486,3991.55,-25.8534,14.9581,0
1060,-25.8645,14.9454,-26.0856,15.1541,0.0771921,0.277188,0.221108,-0.208714,3995.21,-26.1287,15.2013,0
1070,-25.8645,14.9455,-26.0856,15.1541,0.00339129,0.0121786,0.221142,-0.208592,3997.87,-25.8983,14.962,0
1080,-25.8646,14.9441,-26.0856,15.1541,-0.013343,-0.132854,0.221008,-0.209921,4000.89,-25.8116,14.9249,0
1090,-25.8671,14.913,-26.0856,15.1541,-0.246165,-3.11809,0.218547,-0.241102,4006.43,-25.9212,14.8981,0
1100,-25.8536,14.8901,-26.0856,15.1541,1.34545,-2.28928,0.232001,-0.263995,4014.98,-25.8615,14.8363,0
1110,-25.8428,14.8871,-26.0856,15.1541,1.08475,-0.299889,0.242849,-0.266994,4023.3,-25.808,14.8853,0
1120,-25.8528,14.8733,-26.0856,15.1541,-1.00643,-1.37734,0.232784,-0.280767,4028.17,-25.8556,14.72,0
1130,-25.8537,14.8218,-26.0856,15.1541,-0.0858258,-5.15256,0.231926,-0.332293,4030.04,-25.8371,14.9537,0
1140,-25.8771,14.7957,-26.0856,15.1541,-2.34533,-2.60603,0.208473,-0.358353,4030.88,-26.0002,14.8609,0
1150,-25.8718,14.7664,-26.0856,15.1541,0.529495,-2.9353,0.213768,-0.387706,4031.91,-25.9602,14.7222,0
1160,-25.872,14.7652,-26.0856,15.1541,-0.0147949,-0.118423,0.21362,-0.38889,4033.65,-25.8003,14.7973,0
1170,-25.8886,14.7681,-26.0856,15.1541,-1.65931,0.292126,0.197027,-0.385969,4036.18,-25.8899,14.7892,0
1180,-25.8895,14.7843,-26.0856,15.1541,-0.0966985,1.6231,0.19606,-0.369738,4039.33,-25.7789,14.607,0
1190,-25.8916,14.8854,-26.0856,15.1541,-0.201542,10.1094,0.194044,-0.268643,4042.6,-25.8835,14.9739,0
1200,-25.8922,14.8688,-26.0856,15.1541,-0.0643689,-1.6673,0.193401,-0.285316,4045.22,-25.9288,14.9724,0
1210,-25.9128,14.8708,-26.0856,15.1541,-2.05881,0.204854,0.172813,-0.283268,4047.04,-25.9205,14.9823,0
1220,-25.953,14.8718,-26.0856,15.1541,-4.0173,0.0986891,0.13264,-0.282281,4048.93,-26.0303,14.7846,0
1230,-25.9801,14.7657,-26.0856,15.1541,-2.71423,-10.6096,0.105497,-0.388377,4051.63,-25.9899,14.713,0
1240,-25.9812,14.7602,-26.0856,15.1541,-0.110933,-0.545197,0.104388,-0.393829,4055.02,-25.9815,14.7073,0
1250,-25.9809,14.7425,-26.0856,15.1541,0.0305678,-1.77876,0.104694,-0.411616,4058.95,-25.9365,14.7594,0
1260,-25.978,14.7411,-26.0856,15.1541,0.286437,-0.131441,0.107558,-0.412931,4063.65,-25.9799,14.8865,0
1270,-25.9539,14.7346,-26.0856,15.1541,2.41186,-0.655642,0.131677,-0.419487,4068.88,-25.8267,14.6642,0
1280,-25.9418,14.7229,-26.0856,15.1541,1.21434,-1.16994,0.14382,-0.431187,4073.56,-25.9644,14.7725,0
1290,-25.9253,14.6951,-26.0856,15.1541,1.6479,-2.77423,0.160299,-0.458929,4077.3,-25.8926,14.6517,0
1300,-25.9144,14.6705,-26.0856,15.1541,1.08748,-2.46598,0.171174,-0.483589,4081.12,-25.9519,14.7922,0
1310,-25.9135,14.6771,-26.0856,15.1541,0.0932898,0.660304,0.172107,-0.476986,4085.68,-25.9588,14.6483,0
1320,-25.8981,14.6762,-26.0856,15.1541,1.54419,-0.0932256,0.187549,-0.477918,4089.84,-25.8622,14.6538,0
1330,-25.8446,14.6912,-26.0856,15.1541,5.34604,1.50633,0.241009,-0.462854,4092.47,-25.7843,14.7232,0
1340,-25.7752,14.6939,-26.0856,15.1541,6.93429,0.269127,0.310352,-0.460163,4093.92,-25.7607,14.7038,0
1350,-25.7725,14.71,-26.0856,15.1541,0.274817,1.61229,0.3131,-0.44404,4094.94,-25.6847,14.7239,0
1360,-25.7713,14.7106,-26.0856,15.1541,0.123449,0.0525791,0.314335,-0.443515,4096.24,-25.6407,14.7326,0
1370,-25.7433,14.7062,-26.0856,15.1541,2.79248,-0.439095,0.342259,-0.447906,4099.16,-25.8292,14.7162,0
1380,-25.7514,14.6989,-26.0856,15.1541,-0.802083,-0.727684,0.334239,-0.455182,4104.35,-25.8324,14.6931,0
1390,-25.7666,14.6899,-26.0856,15.1541,-1.52396,-0.89871,0.318999,-0.464169,4110.1,-25.7153,14.7042,0
1400,-25.7736,14.6904,-26.0856,15.1541,-0.701428,0.0540051,0.311985,-0.463629,4114.42,-25.7317,14.5359,0
1410,-25.7687,14.6905,-26.0856,15.1541,0.495966,0.00617075,0.316944,-0.463568,4117.4,-25.8238,14.5724,0
1420,-25.7621,14.7075,-26.0856,15.1541,0.658217,1.70201,0.323527,-0.446548,4120.14,-25.7755,14.7235,0
1430,-25.7611,14.7129,-26.0856,15.1541,0.0990328,0.536722,0.324517,-0.44118,4123.14,-25.7638,14.8076,0
1440,-25.7434,14.7105,-26.0856,15.1541,1.76919,-0.235147,0.342209,-0.443532,4126.37,-25.7317,14.7734,0
1450,-25.739,14.7061,-26.0856,15.1541,0.44109,-0.447031,0.34662,-0.448002,4129.35,-25.7303,14.7004,0
1460,-25.7299,14.6139,-26.0856,15.1541,0.911058,-9.2175,0.35573,-0.540177,4131.79,-25.6707,14.5185,0
1470,-25.7284,14.5266,-26.0856,15.1541,0.14406,-8.72438,0.357171,-0.627421,4133.77,-25.7452,14.5163,0
1480,-25.7267,14.5092,-26.0856,15.1541,0.173683,-1.74952,0.358908,-0.644916,4135.24,-25.6144,14.4294,0
1490,-25.6943,14.5038,-26.0856,15.1541,3.23507,-0.530944,0.391258,-0.650226,4136.26,-25.7598,14.3448,0
1500,-25.4175,14.5133,-26.0856,15.1541,27.6808,0.947489,0.668066,-0.640751,4136.92,-25.7103,14.5458,0
1510,-19.6001,14.9888,0,15.1541,581.739,47.5507,-19.6001,-0.165244,4137.15,0.136793,15.0442,0
1520,-7.09837,15.2739,0,15.1541,1250.18,28.508,-7.09837,0.119836,4136.52,0.182472,15.0764,0
1530,-0.0672784,15.0008,0,15.1541,703.109,-27.3085,-0.0672784,-0.153249,4133.62,0.439159,14.9221,0
1540,0.233587,15.0063,0,15.1541,30.0866,0.545291,0.233587,-0.147796,4126.51,0.323628,14.9313,0
1550,0.234479,14.9965,0,15.1541,0.0891947,-0.981429,0.234479,-0.157611,4115.68,0.346141,15.1361,0
1560,0.233525,14.982,0,15.1541,-0.0954303,-1.44587,0.233525,-0.172069,4105.06,0.215381,15.011,0
1570,0.200386,14.9968,0,15.1541,-3.31388,1.47582,0.200386,-0.157311,4097.52,0.164166,14.9055,0
1580,0.124537,14.9865,0,15.1541,-7.58487,-1.02163,0.124537,-0.167528,4092.14,0.046115,14.9749,0
1590,0.0782969,15.0062,0,15.1541,-4.62405,1.96292,0.0782969,-0.147898,4086.9,0.00483412,15.156,0
1600,0.0757779,15.0333,0,15.1541,-0.2519,2.71,0.0757779,-0.120798,4081.04,0.0691214,14.9723,0
1610,0.0768429,15.0706,0,15.1541,0.106505,3.7314,0.0768429,-0.0834842,4074.78,0.121467,15.0998,0
1620,0.121482,15.1108,0,15.1541,4.46391,4.02286,0.121482,-0.0432556,4068.04,0.445111,15.0245,0
1630,0.144599,15.173,0,15.1541,2.31171,6.21385,0.144599,0.0188829,4059.79,0.147421,15.2754,0
1640,0.149894,15.2639,0,15.1541,0.529462,9.09356,0.149894,0.109819,4048.93,0.195463,15.3245,0
1650,0.15227,15.2677,0,15.1541,0.237597,0.379955,0.15227,0.113618,4036.33,0.130912,15.1951,0
1660,0.152821,15.2655,0,15.1541,0.0551765,-0.22278,0.152821,0.11139,4024.85,0.0843898,15.4261,0
1670,0.162847,15.2124,0,15.1541,1.00255,-5.30914,0.162847,0.0582989,4016.53,0.180026,15.085,0
1680,0.156829,15.1533,0,15.1541,-0.601778,-5.90939,0.156829,-0.000795016,4010.83,0.232001,15.1344,0
1690,0.186664,15.1318,0,15.1541,2.98348,-2.14961,0.186664,-0.0222911,4006.22,0.226305,15.1154,0
1700,0.202997,15.1208,0,15.1541,1.63333,-1.09956,0.202997,-0.0332867,4001.77,0.099111,15.168,0
1710,0.203353,15.1021,0,15.1541,0.0355706,-1.87087,0.203353,-0.0519955,3996.63,0.215268,14.9923,0
1720,0.187412,15.0541,0,15.1541,-1.59415,-4.79508,0.187412,-0.0999463,3990.15,0.255587,15.0615,0
1730,0.188276,14.8782,0,15.1541,0.0864519,-17.5912,0.188276,-0.275859,3983.1,0.174253,14.6904,0
