Resolution,1920,1080,Distance,1,Width,1,Subject,V002GAETSIDI,Test,TPL-12152016-135746,Calibration,CC9-12152016-135633,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171525
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,0.229185,-0.62511,-20.1626,15.7086,0,0,20.3918,-16.3337,3453.89,0.221281,-0.64553,0
20,0.229185,-0.62511,-20.1626,15.7086,0,0,20.3918,-16.3337,3453.89,0.152219,-0.594936,0
30,0.229185,-0.62511,-20.1626,15.7086,0,0,20.3918,-16.3337,3453.89,0.240459,-0.550951,0
40,0.229185,-0.62511,-20.1626,15.7086,0,0,20.3918,-16.3337,3453.89,0.329314,-0.609632,0
50,0.220176,-0.626132,-20.1626,15.7086,-0.90093,-0.102253,20.3828,-16.3348,3453.17,0.217795,-0.531454,0
60,0.216751,-0.636268,-20.1626,15.7086,-0.342538,-1.01353,20.3794,-16.3449,3448.18,0.32546,-0.43741,0
70,0.208007,-0.659376,-20.1626,15.7086,-0.874375,-2.31089,20.3706,-16.368,3443.64,0.14201,-0.682249,0
80,0.194055,-0.69179,-20.1626,15.7086,-1.39522,-3.24139,20.3567,-16.4004,3439.2,0.159946,-0.973986,0
90,0.180424,-0.722533,-20.1626,15.7086,-1.36307,-3.07428,20.343,-16.4312,3435.34,0.207271,-0.759583,0
100,0.171872,-0.746645,-20.1626,15.7086,-0.855137,-2.41121,20.3345,-16.4553,3432.74,0.177328,-1.17723,0
110,0.167307,-0.766425,-20.1626,15.7086,-0.456511,-1.97794,20.3299,-16.4751,3431.37,0.0983567,-0.737931,0
120,0.164182,-0.78703,-20.1626,15.7086,-0.31253,-2.06058,20.3268,-16.4957,3430.58,0.0836248,-0.826844,0
130,0.160927,-0.811457,-20.1626,15.7086,-0.325554,-2.44263,20.3235,-16.5201,3429.97,0.0488703,-0.558391,0
140,0.156108,-0.834914,-20.1626,15.7086,-0.48183,-2.34571,20.3187,-16.5436,3429.78,0.210111,-1.19282,0
150,0.14966,-0.851486,-20.1626,15.7086,-0.644837,-1.6572,20.3123,-16.5601,3430.35,0.434648,-1.31998,0
160,0.148011,-0.86135,-20.1626,15.7086,-0.164914,-0.986404,20.3106,-16.57,3431.66,0.0947195,-0.402262,0
170,0.158723,-0.865829,-20.1626,15.7086,1.07122,-0.447936,20.3213,-16.5745,3433.41,0.398285,-0.940141,0
180,0.177587,-0.864307,-20.1626,15.7086,1.88644,0.152184,20.3402,-16.5729,3435.64,0.0870656,-0.83775,0
190,0.193125,-0.858375,-20.1626,15.7086,1.55378,0.593259,20.3557,-16.567,3438.32,0.196229,-1.12281,0
200,0.200386,-0.852121,-20.1626,15.7086,0.726059,0.625332,20.363,-16.5608,3441.14,-0.0351541,-1.07385,0
210,0.204741,-0.850069,-20.1626,15.7086,0.435566,0.205191,20.3673,-16.5587,3443.97,0.298157,-0.397803,0
220,0.208609,-0.848871,-20.1626,15.7086,0.386763,0.119855,20.3712,-16.5575,3446.28,0.281906,-0.506089,0
230,0.209886,-0.839846,-20.1626,15.7086,0.127697,0.902492,20.3725,-16.5485,3447.4,0.124398,-0.758237,0
240,0.207928,-0.820774,-20.1626,15.7086,-0.195754,1.90722,20.3705,-16.5294,3447.15,0.242403,-1.22317,0
