Resolution,1920,1080,Distance,1,Width,1,Subject,V004GAAURA,Test,TASMV-12292016-134619,Calibration,CC9-12292016-134427,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163729
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,0.115456,-0.117831,0,0,0,0,0.115456,-0.117831,3334.72,0.12168,-0.110642,0
20,0.115456,-0.117831,0,0,0,0,0.115456,-0.117831,3334.72,0.112598,-0.141212,0
30,0.115442,-0.11813,0,0,-0.00135785,-0.0299577,0.115442,-0.11813,3334.72,0.199026,-0.0256822,0
40,0.115477,-0.117361,0,0,0.00348594,0.0769096,0.115477,-0.117361,3334.72,0.208328,-0.151366,0
50,0.10971,-0.0984603,0,0,-0.57669,1.89008,0.10971,-0.0984603,3338.7,0.0524676,-0.0669755,0
60,0.102055,-0.0714541,0,0,-0.76552,2.70062,0.102055,-0.0714541,3338.49,0.0703151,-0.0126374,0
70,0.0922073,-0.0699307,0,0,-0.984769,0.152345,0.0922073,-0.0699307,3338.34,-0.00694491,-0.0702804,0
80,0.0825881,-0.0697463,0,0,-0.961914,0.0184376,0.0825881,-0.0697463,3338.19,0.0496384,0.0323625,0
90,0.0714254,-0.0739578,0,0,-1.11627,-0.421147,0.0714254,-0.0739578,3338.33,0.0840855,-0.091103,0
100,0.0528121,-0.0812285,0,0,-1.86133,-0.727072,0.0528121,-0.0812285,3339.18,0.178246,-0.0851304,0
110,0.0244036,-0.0998745,0,0,-2.84084,-1.8646,0.0244036,-0.0998745,3340.46,0.0836921,-0.116792,0
120,-0.00560457,-0.134104,0,0,-3.00082,-3.42295,-0.00560457,-0.134104,3341.61,-0.0624475,-0.268075,0
130,-0.0270144,-0.17255,0,0,-2.14099,-3.84457,-0.0270144,-0.17255,3342.52,-0.0310346,-0.194633,0
140,-0.0366763,-0.173834,0,0,-0.966188,-0.128464,-0.0366763,-0.173834,3343.16,-0.108232,-0.251028,0
150,-0.0399523,-0.172823,0,0,-0.327602,0.101177,-0.0399523,-0.172823,3343.47,-0.067837,-0.285124,0
160,-0.03882,-0.150383,0,0,0.113234,2.24398,-0.03882,-0.150383,3343.55,-0.0536152,-0.0298966,0
170,-0.0323089,-0.0955532,0,0,0.651111,5.48296,-0.0323089,-0.0955532,3343.57,0.11538,-0.147746,0
180,-0.0212614,-0.0866941,0,0,1.10474,0.885903,-0.0212614,-0.0866941,3343.57,-0.0414965,-0.076964,0
190,-0.0042027,-0.0877089,0,0,1.70587,-0.101476,-0.0042027,-0.0877089,3343.57,0.0253159,-0.0546694,0
200,0.0129322,-0.103331,0,0,1.71349,-1.5622,0.0129322,-0.103331,3343.66,0.0748877,-0.0987773,0
210,0.0275252,-0.106676,0,0,1.4593,-0.334529,0.0275252,-0.106676,3344.31,0.0219495,-0.137676,0
220,0.0422077,-0.107343,0,0,1.46825,-0.0666297,0.0422077,-0.107343,3346.46,0.0773911,-0.145462,0
230,0.0585288,-0.108393,0,0,1.63211,-0.105037,0.0585288,-0.108393,3350.4,0.103939,-0.0605465,0
240,0.0729845,-0.118391,0,0,1.44557,-0.999812,0.0729845,-0.118391,3354.71,0.1272,-0.0992095,0
250,0.0855626,-0.119517,0,0,1.25781,-0.112632,0.0855626,-0.119517,3358.03,0.0335262,0.084825,0
260,0.0982249,-0.114622,0,0,1.26622,0.489492,0.0982249,-0.114622,3360.84,0.109746,-0.144715,0
270,0.109948,-0.115671,0,0,1.17235,-0.104834,0.109948,-0.115671,3363.87,0.089346,-0.187289,0
280,0.118852,-0.116054,0,0,0.890331,-0.0383423,0.118852,-0.116054,3366.69,0.122851,-0.110286,0
290,0.124254,-0.115166,0,0,0.54022,0.088847,0.124254,-0.115166,3368.78,0.138977,-0.161918,0
300,0.127773,-0.0902896,0,0,0.351928,2.48761,0.127773,-0.0902896,3370.62,0.14946,-0.0410287,0
310,0.128408,-0.0897304,0,0,0.0635358,0.0559248,0.128408,-0.0897304,3372.84,0.140141,-0.0683834,0
320,0.127606,-0.101352,0,0,-0.0802775,-1.1622,0.127606,-0.101352,3375.09,0.205411,-0.0291444,0
330,0.126529,-0.101323,0,0,-0.107629,0.00294285,0.126529,-0.101323,3376.58,-0.0247322,-0.131837,0
340,0.123967,-0.125428,0,0,-0.25624,-2.41053,0.123967,-0.125428,3377.25,0.091255,-0.145199,0
350,0.123217,-0.126465,0,0,-0.0749988,-0.103726,0.123217,-0.126465,3377.46,0.0560206,-0.124548,0
360,0.124059,-0.125687,0,0,0.0842361,0.0778102,0.124059,-0.125687,3377.43,0.202579,-0.117005,0
370,0.127403,-0.107358,0,0,0.334323,1.83289,0.127403,-0.107358,3377.09,0.061074,-0.0894025,0
380,0.132945,-0.106183,0,0,0.554193,0.11751,0.132945,-0.106183,3376.14,0.0975298,-0.091627,0
390,0.144506,-0.0934346,0,0,1.15619,1.27488,0.144506,-0.0934346,3374.07,0.240741,-0.0731,0
400,0.159251,-0.0937856,0,0,1.47449,-0.0351022,0.159251,-0.0937856,3370.29,0.234734,-0.129099,0
410,0.170607,-0.102172,0,0,1.1356,-0.838616,0.170607,-0.102172,3364.46,0.184084,-0.100621,0
420,0.176157,-0.0986833,0,0,0.554995,0.348841,0.176157,-0.0986833,3357.05,0.174317,-0.03597,0
430,0.177495,-0.0976242,0,0,0.133759,0.105912,0.177495,-0.0976242,3350.01,0.15349,-0.121922,0
440,0.178114,-0.0763936,0,0,0.061931,2.12306,0.178114,-0.0763936,3344.82,0.238715,-0.0923022,0
450,0.17697,-0.0744325,0,0,-0.114422,0.196112,0.17697,-0.0744325,3340.86,0.239832,-0.0168224,0
460,0.17636,-0.0645994,0,0,-0.0609523,0.983307,0.17636,-0.0645994,3337.21,0.185753,-0.0468596,0
470,0.178106,-0.0644564,0,0,0.174586,0.0142984,0.178106,-0.0644564,3334.22,0.0534423,-0.0794651,0
480,0.18532,-0.0698922,0,0,0.721406,-0.543579,0.18532,-0.0698922,3332.44,0.17315,0.00625971,0
490,0.196679,-0.0745477,0,0,1.1359,-0.465553,0.196679,-0.0745477,3331.6,0.0552577,-0.0903805,0
500,0.208315,-0.0778273,0,0,1.16354,-0.327959,0.208315,-0.0778273,3330.95,0.133239,-0.0508418,0
510,0.225109,-0.0782337,0,0,1.67945,-0.0406418,0.225109,-0.0782337,3330.22,0.244246,-0.148345,0
520,0.255159,-0.0815968,0,0,3.00497,-0.336306,0.255159,-0.0815968,3329.63,0.669089,-0.0695926,0
530,0.295804,-0.0832931,0,0,4.0645,-0.169626,0.295804,-0.0832931,3329.33,0.3885,-0.114987,0
540,0.332881,-0.085437,0,0,3.70776,-0.214398,0.332881,-0.085437,3329.4,0.340506,-0.0199259,0
550,0.355871,-0.0923137,0,0,2.29894,-0.687666,0.355871,-0.0923137,3329.73,0.229702,-0.112838,0
560,0.367087,-0.10309,0,0,1.12157,-1.07765,0.367087,-0.10309,3330.03,0.403826,-0.0995136,0
570,0.372995,-0.112976,0,0,0.590837,-0.988576,0.372995,-0.112976,3330.24,0.362783,-0.0207895,0
580,0.376454,-0.113483,0,0,0.345918,-0.0507292,0.376454,-0.113483,3330.38,0.398441,-0.200516,0
590,0.378546,-0.114302,0,0,0.209223,-0.0818969,0.378546,-0.114302,3330.51,0.360098,-0.180958,0
600,0.380169,-0.14793,0,0,0.162225,-3.36283,0.380169,-0.14793,3330.8,0.397771,-0.0129039,0
610,0.384489,-0.148443,0,0,0.432045,-0.0512248,0.384489,-0.148443,3331.56,0.389415,-0.0527573,0
620,0.39046,-0.122922,0,0,0.597071,2.55203,0.39046,-0.122922,3333.52,0.297758,-0.189781,0
630,0.39649,-0.122199,0,0,0.602995,0.0723361,0.39649,-0.122199,3337.28,0.318455,-0.0817419,0
640,0.403698,-0.127465,0,0,0.720824,-0.526634,0.403698,-0.127465,3342.08,0.503923,-0.131507,0
650,0.409683,-0.151039,0,0,0.598532,-2.35738,0.409683,-0.151039,3346.34,0.426062,-0.126484,0
660,0.413883,-0.153595,0,0,0.419974,-0.25554,0.413883,-0.153595,3349.33,0.418339,-0.177594,0
670,0.41396,-0.185323,0,0,0.00773554,-3.17281,0.41396,-0.185323,3351.41,0.411388,-0.194995,0
680,0.412873,-0.197899,0,0,-0.108784,-1.25765,0.412873,-0.197899,3353.07,0.410463,-0.324242,0
690,0.405991,-0.228375,0,0,-0.688196,-3.04759,0.405991,-0.228375,3354.36,0.419422,-0.32178,0
700,0.385736,-0.257009,0,0,-2.02542,-2.86339,0.385736,-0.257009,3355.15,0.501055,-0.202484,0
710,0.347726,-0.257179,0,0,-3.80104,-0.0170182,0.347726,-0.257179,3355.57,0.251396,-0.328896,0
720,0.300116,-0.264765,0,0,-4.76102,-0.758616,0.300116,-0.264765,3355.76,0.365058,-0.358202,0
730,0.26023,-0.266794,0,0,-3.98856,-0.202826,0.26023,-0.266794,3355.73,0.135266,-0.167395,0
740,0.232034,-0.277069,0,0,-2.81966,-1.02755,0.232034,-0.277069,3355.15,0.172606,-0.293715,0
750,0.210629,-0.27673,0,0,-2.14043,0.0338933,0.210629,-0.27673,3353.17,0.1107,-0.242325,0
760,0.192288,-0.276656,0,0,-1.83413,0.00739832,0.192288,-0.276656,3349.33,0.241325,-0.271502,0
770,0.177624,-0.291244,0,0,-1.46637,-1.45879,0.177624,-0.291244,3344.6,0.19729,-0.351272,0
780,0.167895,-0.304789,0,0,-0.972916,-1.35446,0.167895,-0.304789,3340.14,0.333166,-0.30719,0
790,0.161274,-0.305114,0,0,-0.662139,-0.0325516,0.161274,-0.305114,3336.19,0.173356,-0.319434,0
800,0.15479,-0.303727,0,0,-0.648341,0.138758,0.15479,-0.303727,3332.69,0.129123,-0.327743,0
810,0.150033,-0.277582,0,0,-0.475683,2.61446,0.150033,-0.277582,3328.84,0.103136,-0.120763,0
820,0.145898,-0.271461,0,0,-0.413504,0.612084,0.145898,-0.271461,3323.64,0.145896,-0.187486,0
830,0.144063,-0.227477,0,0,-0.183526,4.39845,0.144063,-0.227477,3317.9,0.165118,-0.196265,0
840,0.140561,-0.198892,0,0,-0.350265,2.85851,0.140561,-0.198892,3313.15,0.139929,-0.293243,0
850,0.133057,-0.193179,0,0,-0.750338,0.571295,0.133057,-0.193179,3309.15,0.063842,-0.104773,0
860,0.120761,-0.191467,0,0,-1.22962,0.171209,0.120761,-0.191467,3304.67,0.171557,-0.206956,0
870,0.106721,-0.174641,0,0,-1.40404,1.68253,0.106721,-0.174641,3299.36,0.136072,-0.175056,0
880,0.0958955,-0.153632,0,0,-1.08251,2.10095,0.0958955,-0.153632,3293.72,-0.0874141,-0.139425,0
890,0.0898415,-0.139838,0,0,-0.6054,1.37934,0.0898415,-0.139838,3288.04,0.0871727,-0.133394,0
900,0.0843099,-0.124196,0,0,-0.553159,1.56428,0.0843099,-0.124196,3282.14,0.0937249,-0.0906754,0
910,0.0708223,-0.101964,0,0,-1.34876,2.22317,0.0708223,-0.101964,3275.99,-0.148658,-0.106508,0
920,0.0459523,-0.0691232,0,0,-2.487,3.28409,0.0459523,-0.0691232,3269.93,-0.000417481,0.0917739,0
930,0.0161598,-0.0542532,0,0,-2.97925,1.48699,0.0161598,-0.0542532,3264.37,0.00829588,-0.00539836,0
940,-0.00954938,-0.0527062,0,0,-2.57091,0.154704,-0.00954938,-0.0527062,3259.27,0.167179,-0.0236402,0
950,-0.0293477,-0.0530849,0,0,-1.97983,-0.0378698,-0.0293477,-0.0530849,3254.54,0.00126146,-0.135663,0
960,-0.0446761,-0.0814457,0,0,-1.53284,-2.83608,-0.0446761,-0.0814457,3250.51,-0.0810147,-0.0999186,0
970,-0.0560471,-0.145724,0,0,-1.1371,-6.42781,-0.0560471,-0.145724,3247.26,-0.106821,-0.30487,0
980,-0.0639627,-0.172982,0,0,-0.791557,-2.72577,-0.0639627,-0.172982,3244.47,-0.0710301,-0.253689,0
990,-0.0713183,-0.173785,0,0,-0.735563,-0.080305,-0.0713183,-0.173785,3242.2,-0.129854,-0.167478,0
1000,-0.07633,-0.172879,0,0,-0.501164,0.0905465,-0.07633,-0.172879,3240.34,0.0808843,-0.144795,0
1010,-0.0751482,-0.155058,0,0,0.118179,1.78209,-0.0751482,-0.155058,3237.94,0.00795249,-0.0130179,0
1020,-0.0662651,-0.112855,0,0,0.888307,4.22028,-0.0662651,-0.112855,3234.6,-0.00853599,-0.00313466,0
1030,-0.0505899,-0.0493602,0,0,1.56752,6.34952,-0.0505899,-0.0493602,3231.59,-0.115501,-0.156396,0
1040,-0.0333725,-0.0329046,0,0,1.72174,1.64556,-0.0333725,-0.0329046,3230.22,-0.0805546,-0.0726259,0
1050,-0.0169007,-0.0370434,0,0,1.64718,-0.41388,-0.0169007,-0.0370434,3229.92,0.00980561,-0.0231333,0
1060,-0.00465972,-0.0435995,0,0,1.2241,-0.655608,-0.00465972,-0.0435995,3229.43,0.0044361,-0.0397955,0
1070,0.00331454,-0.0439392,0,0,0.797426,-0.0339649,0.00331454,-0.0439392,3228.59,-0.000571764,-0.0484373,0
1080,0.00993049,-0.0389356,0,0,0.661595,0.500356,0.00993049,-0.0389356,3227.75,0.0644908,0.0374089,0
1090,0.0162042,-0.0389492,0,0,0.627374,-0.00136093,0.0162042,-0.0389492,3227.08,-0.0110889,-0.0512402,0
1100,0.0211478,-0.0391421,0,0,0.494357,-0.0192855,0.0211478,-0.0391421,3226.67,0.0592984,-0.08612,0
1110,0.0235473,-0.0393573,0,0,0.239955,-0.0215291,0.0235473,-0.0393573,3226.47,0.00215365,-0.0135951,0
1120,0.0237931,-0.0418524,0,0,0.0245778,-0.249505,0.0237931,-0.0418524,3226.28,0.0321984,-0.0641765,0
1130,0.0233604,-0.0361077,0,0,-0.0432679,0.574467,0.0233604,-0.0361077,3225.89,0.0316991,0.0185977,0
1140,0.0222384,-0.0497192,0,0,-0.112209,-1.36114,0.0222384,-0.0497192,3225.4,0.0205224,-0.09264,0
1150,0.0227778,-0.0497158,0,0,0.0539443,0.000331224,0.0227778,-0.0497158,3225.17,0.00490707,-0.106087,0
1160,0.0244473,-0.035649,0,0,0.166949,1.40668,0.0244473,-0.035649,3225.08,-0.0527874,0.074127,0
1170,0.0258057,-0.0432527,0,0,0.135844,-0.760368,0.0258057,-0.0432527,3224.65,-0.032593,-0.0672705,0
1180,0.0305581,-0.0433921,0,0,0.475236,-0.0139424,0.0305581,-0.0433921,3223.99,-0.0450034,0.00752894,0
1190,0.0412461,-0.0488944,0,0,1.0688,-0.550232,0.0412461,-0.0488944,3223.52,0.078912,-0.0523408,0
1200,0.0588234,-0.0425821,0,0,1.75773,0.631231,0.0588234,-0.0425821,3223.25,0.11484,-0.0577576,0
1210,0.0793866,-0.0506208,0,0,2.05632,-0.803864,0.0793866,-0.0506208,3222.91,0.0775023,-0.049474,0
1220,0.103386,-0.0514301,0,0,2.39991,-0.0809373,0.103386,-0.0514301,3222.38,0.216753,-0.0336027,0
1230,0.132557,-0.0412667,0,0,2.91717,1.01635,0.132557,-0.0412667,3221.73,0.155869,-0.0609619,0
1240,0.167058,-0.0223945,0,0,3.45001,1.88722,0.167058,-0.0223945,3220.91,0.0441241,0.106514,0
1250,0.203768,-0.0235543,0,0,3.67101,-0.11598,0.203768,-0.0235543,3219.91,0.131933,0.158963,0
1260,0.238188,-0.0400809,0,0,3.44208,-1.65266,0.238188,-0.0400809,3219.03,0.334296,-0.130959,0
1270,0.264843,-0.0764278,0,0,2.66548,-3.63469,0.264843,-0.0764278,3218.34,0.482275,-0.209387,0
