Resolution,1920,1080,Distance,1,Width,1,Subject,V004GAETSIDI,Test,TSVV-12152016-113329,Calibration,CC9-12152016-113208,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171527
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10.0,5.18342,-0.10324778881118879,0.0,0.0,0.0,0.0,5.18342,-0.644065,5564.97,5.21537,-0.644475,0.0
20.0,5.18342,-0.10324778881118879,0.0,0.0,0.0,0.0,5.18342,-0.644065,5564.97,5.14438,-0.399601,0.0
30.0,5.18335,-0.10292978881118875,0.0,0.0,-0.00682885,0.0318151,5.18335,-0.643747,5564.97,5.18228,-0.659006,0.0
40.0,5.18156,-0.09456078881118879,0.0,0.0,-0.179603,0.836909,5.18156,-0.635378,5564.97,5.0338,-0.48087,0.0
50.0,5.16459,-0.05821578881118883,0.0,0.0,-1.69668,3.63443,5.16459,-0.599033,5575.95,5.28747,-0.515395,0.0
60.0,5.14459,0.001994211188811157,0.0,0.0,-1.99996,6.02103,5.14459,-0.538823,5578.75,5.15358,-0.628678,0.0
70.0,5.1324,0.038334211188811196,0.0,0.0,-1.21959,3.634,5.1324,-0.502483,5580.71,5.05536,-0.494347,0.0
80.0,5.12797,0.0425832111888112,0.0,0.0,-0.442128,0.424923,5.12797,-0.498234,5581.97,5.06532,-0.395556,0.0
90.0,5.11823,0.07203521118881123,0.0,0.0,-0.97418,2.94514,5.11823,-0.468782,5582.78,5.22007,-0.494736,0.0
100.0,5.10711,0.11950321118881119,0.0,0.0,-1.11246,4.74686,5.10711,-0.421314,5583.67,5.10663,-0.499231,0.0
110.0,5.10644,0.1461362111888112,0.0,0.0,-0.066845,2.66326,5.10644,-0.394681,5585.6,5.16566,-0.392682,0.0
120.0,5.11833,0.15586621118881122,0.0,0.0,1.18914,0.973037,5.11833,-0.384951,5588.84,4.97721,-0.329595,0.0
130.0,5.13923,0.1562822111888112,0.0,0.0,2.09016,0.0415381,5.13923,-0.384535,5592.03,4.95078,-0.367626,0.0
140.0,5.15822,0.1633792111888112,0.0,0.0,1.8992,0.709775,5.15822,-0.377438,5593.82,5.16634,-0.384893,0.0
150.0,5.1698,0.17387021118881119,0.0,0.0,1.15775,1.04911,5.1698,-0.366947,5594.49,5.35754,-0.559455,0.0
160.0,5.17541,0.1770022111888112,0.0,0.0,0.561059,0.313129,5.17541,-0.363815,5594.76,5.26414,-0.326757,0.0
170.0,5.163,0.2433122111888112,0.0,0.0,-1.24078,6.631,5.163,-0.297505,5594.87,5.24978,-0.242534,0.0
180.0,5.14427,0.3286532111888112,0.0,0.0,-1.87327,8.53409,5.14427,-0.212164,5594.88,5.1853,-0.179859,0.0
190.0,5.13137,0.3713852111888112,0.0,0.0,-1.2901,4.27324,5.13137,-0.169432,5594.9,5.20449,-0.141058,0.0
200.0,5.11403,0.4110792111888112,0.0,0.0,-1.73447,3.96937,5.11403,-0.129738,5594.87,4.91246,0.119374,0.0
210.0,5.09719,0.4350052111888112,0.0,0.0,-1.68396,2.39264,5.09719,-0.105812,5594.77,5.02248,-0.0564051,0.0
220.0,5.08759,0.4361002111888112,0.0,0.0,-0.959736,0.109458,5.08759,-0.104717,5594.68,5.10586,-0.165024,0.0
230.0,5.08214,0.4345622111888112,0.0,0.0,-0.544613,-0.153709,5.08214,-0.106255,5594.63,5.04761,0.0352373,0.0
240.0,5.08554,0.3949572111888112,0.0,0.0,0.339758,-3.96052,5.08554,-0.14586,5594.62,5.24822,-0.180057,0.0
250.0,5.09519,0.3247122111888112,0.0,0.0,0.964954,-7.02448,5.09519,-0.216105,5594.59,5.25091,-0.343991,0.0
260.0,5.09534,0.30462621118881117,0.0,0.0,0.0148417,-2.00866,5.09534,-0.236191,5594.4,5.05523,-0.184783,0.0
270.0,5.09228,0.30391421118881123,0.0,0.0,-0.305528,-0.0711969,5.09228,-0.236903,5593.54,5.07861,-0.331548,0.0
280.0,5.08957,0.30394921118881124,0.0,0.0,-0.271249,0.00353916,5.08957,-0.236868,5590.84,5.29987,-0.217944,0.0
290.0,5.08808,0.3036662111888112,0.0,0.0,-0.149038,-0.0283585,5.08808,-0.237151,5585.63,4.98184,0.102233,0.0
300.0,5.08735,0.2956622111888112,0.0,0.0,-0.0734738,-0.800341,5.08735,-0.245155,5579.45,4.97088,-0.18307,0.0
310.0,5.09171,0.2658302111888112,0.0,0.0,0.43683,-2.98321,5.09171,-0.274987,5574.91,4.53303,-0.320976,0.0
320.0,5.12211,0.16687921118881122,0.0,0.0,3.03915,-9.89511,5.12211,-0.373938,5572.86,4.4781,-0.573582,0.0
330.0,5.16944,0.06294521118881119,0.0,0.0,4.73324,-10.3934,5.16944,-0.477872,5572.48,5.26338,-0.509088,0.0
340.0,5.2069,0.058094211188811196,0.0,0.0,3.74646,-0.485089,5.2069,-0.482723,5573.71,5.67949,-0.608419,0.0
350.0,5.24832,0.05848021118881119,0.0,0.0,4.14152,0.038563,5.24832,-0.482337,5578.66,5.05853,-0.684274,0.0
360.0,5.27698,0.08620221118881122,0.0,0.0,2.86594,2.77228,5.27698,-0.454615,5589.39,5.25426,-0.117652,0.0
370.0,5.26163,0.2503022111888112,0.0,0.0,-1.53471,16.41,5.26163,-0.290515,5603.35,5.08482,-0.142528,0.0
380.0,5.25049,0.3329382111888112,0.0,0.0,-1.1137,8.26361,5.25049,-0.207879,5614.73,5.13485,0.276031,0.0
390.0,5.24684,0.3378912111888112,0.0,0.0,-0.365038,0.495246,5.24684,-0.202926,5621.1,5.27388,-0.1996,0.0
400.0,5.23119,0.3726642111888112,0.0,0.0,-1.56484,3.47727,5.23119,-0.168153,5624.26,5.3653,-0.268602,0.0
410.0,5.22479,0.3381712111888112,0.0,0.0,-0.640175,-3.44931,5.22479,-0.202646,5626.73,5.31568,-0.221145,0.0
420.0,5.20267,0.3373122111888112,0.0,0.0,-2.2126,-0.0858266,5.20267,-0.203505,5629.95,5.08928,-0.122162,0.0
430.0,5.17151,0.3484992111888112,0.0,0.0,-3.11576,1.11869,5.17151,-0.192318,5633.96,5.09349,-0.319144,0.0
440.0,5.14163,0.36291021118881117,0.0,0.0,-2.98808,1.44108,5.14163,-0.177907,5638.33,5.19913,-0.176432,0.0
450.0,5.11904,0.3744052111888112,0.0,0.0,-2.25873,1.14949,5.11904,-0.166412,5642.82,5.18119,-0.129949,0.0
460.0,5.10563,0.3754462111888112,0.0,0.0,-1.34087,0.104061,5.10563,-0.165371,5647.47,5.11053,-0.19271,0.0
470.0,5.09559,0.3852372111888112,0.0,0.0,-1.00388,0.97915,5.09559,-0.15558,5652.28,5.14952,-0.184205,0.0
480.0,5.08605,0.3983582111888112,0.0,0.0,-0.954527,1.31213,5.08605,-0.142459,5656.51,4.95558,0.00997851,0.0
490.0,5.07496,0.40093821118881123,0.0,0.0,-1.10839,0.257928,5.07496,-0.139879,5659.74,5.07978,-0.126844,0.0
500.0,5.05403,0.42799521118881123,0.0,0.0,-2.09344,2.70578,5.05403,-0.112822,5662.38,4.98613,0.0143886,0.0
510.0,5.02262,0.4939370111888112,0.0,0.0,-3.14122,6.59413,5.02262,-0.0468802,5664.32,4.98517,0.0246209,0.0
520.0,4.9915,0.5506917211888112,0.0,0.0,-3.11224,5.67547,4.9915,0.00987451,5665.26,4.90106,-0.100464,0.0
530.0,4.96945,0.5609273111888112,0.0,0.0,-2.20415,1.02356,4.96945,0.0201101,5665.47,4.90974,0.104374,0.0
540.0,4.94682,0.5771108111888112,0.0,0.0,-2.26384,1.61835,4.94682,0.0362936,5665.1,4.84235,-0.00354767,0.0
550.0,4.92919,0.5711323111888112,0.0,0.0,-1.76289,-0.597842,4.92919,0.0303151,5663.59,5.17863,0.188196,0.0
560.0,4.91291,0.5648521111888112,0.0,0.0,-1.62769,-0.628026,4.91291,0.0240349,5660.22,4.7264,0.111024,0.0
570.0,4.93213,0.41507321118881124,0.0,0.0,1.92243,-14.9779,4.93213,-0.125744,5655.31,5.02258,-0.38119,0.0
580.0,4.97068,0.20884321118881122,0.0,0.0,3.85428,-20.623,4.97068,-0.331974,5650.05,4.92513,-0.295894,0.0
590.0,4.98137,0.1499232111888112,0.0,0.0,1.06897,-5.89198,4.98137,-0.390894,5645.24,4.9888,-0.480858,0.0
600.0,4.98787,0.11221021118881119,0.0,0.0,0.650299,-3.77123,4.98787,-0.428607,5640.53,4.93461,-0.423771,0.0
610.0,5.00052,0.053503211188811184,0.0,0.0,1.26494,-5.87074,5.00052,-0.487314,5635.29,5.24709,-0.52566,0.0
620.0,5.01527,0.0005052111888111943,0.0,0.0,1.47505,-5.2998,5.01527,-0.540312,5629.56,5.08953,-0.594273,0.0
630.0,5.03754,-0.05474078881118882,0.0,0.0,2.22742,-5.52461,5.03754,-0.595558,5622.92,5.07673,-0.758141,0.0
640.0,5.0804,-0.13087478881118875,0.0,0.0,4.28544,-7.61343,5.0804,-0.671692,5614.37,4.99768,-0.667871,0.0
650.0,5.13623,-0.18596678881118878,0.0,0.0,5.58367,-5.50916,5.13623,-0.726784,5604.59,5.22729,-0.837969,0.0
660.0,5.1833,-0.20518878881118874,0.0,0.0,4.70618,-1.92227,5.1833,-0.746006,5594.9,5.24548,-0.743669,0.0
