Resolution,1920,1080,Distance,57,Width,47.8,Subject,ADS-70251374J,Test,CC9-06112018-084325,Calibration,CC9-06112018-084325,Oscann, 4.0.12,libTracker, 1.0.9,crtime, 12112018-165114
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.1119,12.738,-22.3212,12.7959,0,0,0.209319,-0.0579709,8693.24,-22.1123,12.7391,0
9.183,-22.1119,12.738,-22.3212,12.7959,0,0,0.209319,-0.0579709,8693.24,-22.0786,12.7526,0
19.099,-22.1021,12.7111,-22.3212,12.7959,0.989175,-2.70763,0.219128,-0.0848198,8693.24,-21.9044,12.5428,0
27.751,-22.0525,12.6539,-22.3212,12.7959,5.73644,-6.61893,0.268759,-0.142087,8693.24,-22.1169,12.6191,0
38.694,-22.049,12.6514,-22.3212,12.7959,0.315736,-0.225145,0.272214,-0.14455,8680.78,-22.0917,12.7714,0
46.666,-22.0197,12.6515,-22.3212,12.7959,3.67855,0.0170706,0.30154,-0.144414,8654.27,-21.918,12.6145,0
59.158,-22.0184,12.6522,-22.3212,12.7959,0.103257,0.0563947,0.30283,-0.14371,8629.82,-22.1453,12.8269,0
66.931,-22.0196,12.6724,-22.3212,12.7959,-0.150501,2.59185,0.30166,-0.123563,8608.83,-22.1557,12.869,0
78.932,-22.0468,12.7721,-22.3212,12.7959,-2.26692,8.31257,0.274455,-0.0238044,8589.65,-21.8798,12.5966,0
87.679,-22.0479,12.8302,-22.3212,12.7959,-0.126482,6.64373,0.273348,0.0343083,8573.09,-22.1912,12.8367,0
99.172,-22.0492,12.8388,-22.3212,12.7959,-0.11625,0.74196,0.272012,0.0428357,8560.75,-22.1673,12.9866,0
111.472,-22.0799,12.8389,-22.3212,12.7959,-2.49726,0.0107433,0.241296,0.0429678,8550.56,-21.9606,12.8447,0
119.294,-22.0813,12.8383,-22.3212,12.7959,-0.172622,-0.0719791,0.239946,0.0424048,8539.45,-22.1651,12.9202,0
130.249,-22.0823,12.8256,-22.3212,12.7959,-0.0898818,-1.16197,0.238961,0.0296754,8526.03,-22.1585,12.7747,0
138.928,-22.1042,12.822,-22.3212,12.7959,-2.52488,-0.41961,0.217047,0.0260336,8510.07,-22.0388,12.5967,0
150.954,-22.1052,12.7778,-22.3212,12.7959,-0.0866017,-3.6745,0.216006,-0.0181559,8493.62,-22.2024,12.7434,0
158.936,-22.1052,12.7565,-22.3212,12.7959,0.00851355,-2.66194,0.216074,-0.0394035,8479.71,-22.1853,12.8378,0
170.924,-22.1028,12.7305,-22.3212,12.7959,0.198026,-2.17258,0.218448,-0.0654484,8468.98,-22.0203,12.696,0
179.349,-22.1027,12.7297,-22.3212,12.7959,0.0124556,-0.0944197,0.218553,-0.0662439,8460.57,-22.185,12.7338,0
190.315,-22.1019,12.7356,-22.3212,12.7959,0.066983,0.534158,0.219287,-0.0603863,8453.42,-22.1661,12.8052,0
198.568,-22.0855,12.7063,-22.3212,12.7959,1.99031,-3.54991,0.235713,-0.0896837,8445.3,-22.0076,12.5963,0
210.267,-22.0848,12.6972,-22.3212,12.7959,0.0605155,-0.775315,0.236421,-0.0987542,8435.39,-22.1539,12.7592,0
218.268,-22.0845,12.6977,-22.3212,12.7959,0.0348434,0.0698721,0.2367,-0.0981951,8426.41,-22.1449,12.7484,0
231.729,-22.0782,12.7185,-22.3212,12.7959,0.472319,1.54353,0.243058,-0.0774177,8419.56,-21.9677,12.6093,0
239.328,-22.0779,12.7259,-22.3212,12.7959,0.0382587,0.973474,0.243349,-0.0700203,8410.48,-22.1909,12.8694,0
250.253,-22.0777,12.7369,-22.3212,12.7959,0.0198159,1.00307,0.243565,-0.0590618,8395.16,-22.2309,12.8631,0
258.28,-22.0731,12.7874,-22.3212,12.7959,0.57022,6.30013,0.248142,-0.00849067,8376.99,-21.9678,12.6926,0
270.263,-22.0729,12.7897,-22.3212,12.7959,0.0167765,0.184003,0.248343,-0.00628576,8362.5,-22.1808,12.9099,0
278.268,-22.0735,12.7903,-22.3212,12.7959,-0.07541,0.0762952,0.24774,-0.00567502,8353.15,-22.1646,12.9124,0
291.67,-22.0872,12.8042,-22.3212,12.7959,-1.02505,1.03681,0.234002,0.00822024,8344.72,-21.9599,12.6626,0
299.205,-22.0878,12.8048,-22.3212,12.7959,-0.0800945,0.0810185,0.233399,0.00883072,8332.26,-22.1925,12.8176,0
310.335,-22.0894,12.8051,-22.3212,12.7959,-0.137498,0.0298265,0.231868,0.00916269,8315.85,-22.1859,12.9251,0
319.74,-22.1259,12.8126,-22.3212,12.7959,-3.88095,0.802576,0.195368,0.0167109,8301.33,-22.0325,12.7989,0
331.272,-22.1658,12.8131,-22.3212,12.7959,-3.46351,0.0402717,0.155427,0.0171753,8292.7,-22.2547,12.8664,0
338.291,-22.1717,12.8201,-22.3212,12.7959,-0.834303,0.992482,0.149571,0.0241416,8287.26,-22.2513,12.9024,0
350.246,-22.1759,12.8243,-22.3212,12.7959,-0.354484,0.353962,0.145333,0.0283732,8281.1,-22.0102,12.7793,0
362.288,-22.1761,12.8242,-22.3212,12.7959,-0.0148694,-0.0100574,0.145154,0.0282521,8274.24,-22.2901,12.854,0
370.361,-22.1761,12.8167,-22.3212,12.7959,-0.00181456,-0.927184,0.145139,0.0207669,8268.06,-22.1508,12.8732,0
382.257,-22.1761,12.7979,-22.3212,12.7959,-0.0030919,-1.5769,0.145102,0.00200811,8261.73,-22.0164,12.7482,0
390.27,-22.1768,12.788,-22.3212,12.7959,-0.0800722,-1.24572,0.144461,-0.00797386,8253.77,-22.232,12.8177,0
402.287,-22.1905,12.7683,-22.3212,12.7959,-1.14087,-1.63953,0.130751,-0.0276761,8244.27,-22.2531,12.7729,0
410.261,-22.1801,12.7611,-22.3212,12.7959,1.30337,-0.898693,0.141144,-0.0348423,8235.71,-22.0218,12.7462,0
422.276,-22.1795,12.7608,-22.3212,12.7959,0.0519337,-0.0230995,0.141768,-0.0351198,8230.85,-22.2529,12.7768,0
430.268,-22.1763,12.7608,-22.3212,12.7959,0.395633,-0.00812167,0.14493,-0.0351847,8229.34,-22.2083,12.8859,0
443.495,-22.1745,12.759,-22.3212,12.7959,0.138106,-0.134381,0.146757,-0.0369622,8229.54,-21.9678,12.6807,0
452.551,-22.1239,12.7591,-22.3212,12.7959,5.58192,0.0156515,0.197306,-0.0368204,8231.47,-22.2249,12.8895,0
462.317,-22.1221,12.7609,-22.3212,12.7959,0.181995,0.179514,0.199084,-0.0350673,8236.23,-22.3158,12.8326,0
470.329,-22.1323,12.801,-22.3212,12.7959,-1.26525,5.00528,0.188947,0.00503498,8242.82,-22.0312,12.6312,0
482.657,-22.1327,12.8126,-22.3212,12.7959,-0.0346416,0.942555,0.18852,0.0166548,8248.33,-22.25,12.9171,0
490.269,-22.1352,12.8158,-22.3212,12.7959,-0.32351,0.425608,0.186057,0.0198945,8251.67,-22.2107,12.9527,0
502.936,-22.195,12.8803,-22.3212,12.7959,-4.72246,5.08745,0.126238,0.0843373,8253.82,-22.0637,12.7785,0
511.573,-22.2853,12.8979,-22.3212,12.7959,-10.4548,2.04536,0.0359398,0.102003,8256.24,-22.4378,13.0566,0
522.568,-22.3291,12.9225,-22.3212,12.7959,-3.98119,2.23365,-0.00783346,0.126562,8260.77,-22.6537,13.1269,0
530.58,-22.3447,12.9405,-22.3212,12.7959,-1.95122,2.24898,-0.0234666,0.144581,8268.13,-22.3741,12.8778,0
542.29,-22.3461,12.94,-22.3212,12.7959,-0.118188,-0.0431802,-0.0248506,0.144075,8277.13,-22.3355,13.0684,0
