Resolution,1920,1080,Distance,58.5,Width,48,Subject,AURA69,Test,CC9-11082017-115057,Calibration,CC9-11082017-115057,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-19.2774,10.7005,-21.8858,12.5288,0,0,2.60836,-1.8283,6025.73,-19.2946,10.728,0
9.486,-19.2774,10.7005,-21.8858,12.5288,0,0,2.60836,-1.8283,6025.73,-19.0972,10.6256,0
19.952,-19.2122,10.605,-21.8858,12.5288,6.23558,-9.12805,2.67362,-1.92383,6025.73,-19.193,10.5211,0
27.058,-19.1569,10.548,-21.8858,12.5288,7.77872,-8.01691,2.7289,-1.9808,6025.73,-19.1585,10.527,0
37.658,-19.1,10.5272,-21.8858,12.5288,5.36611,-1.95928,2.78578,-2.00157,6027.43,-19.0473,10.5711,0
45.328,-19.0943,10.5052,-21.8858,12.5288,0.745918,-2.86926,2.7915,-2.02358,6021.56,-19.0836,10.4909,0
57.326,-19.0932,10.5262,-21.8858,12.5288,0.0926515,1.74699,2.79261,-2.00262,6016.03,-19.1349,10.7697,0
64.92,-19.1128,10.5606,-21.8858,12.5288,-2.58425,4.53254,2.77298,-1.9682,6011.51,-19.146,10.4611,0
76.999,-19.1149,10.5894,-21.8858,12.5288,-0.175159,2.38205,2.77087,-1.93942,6007.5,-19.1734,10.7045,0
84.965,-19.149,10.6199,-21.8858,12.5288,-4.27379,3.82641,2.73682,-1.90894,6001.67,-19.1745,10.5888,0
97.019,-19.1503,10.6214,-21.8858,12.5288,-0.10648,0.131361,2.73554,-1.90736,5992.6,-19.1165,10.6103,0
104.849,-19.1456,10.6314,-21.8858,12.5288,0.59682,1.27702,2.74021,-1.89736,5982.44,-19.176,10.6293,0
116.903,-19.1499,10.7101,-21.8858,12.5288,-0.360929,6.52174,2.73586,-1.81875,5973.81,-19.1862,10.8425,0
128.959,-19.1574,10.7824,-21.8858,12.5288,-0.622919,5.99779,2.72835,-1.74644,5966.41,-19.2044,10.8173,0
136.93,-19.1109,10.7704,-21.8858,12.5288,5.8433,-1.50287,2.77493,-1.75842,5958.38,-19.0977,10.7983,0
148.907,-19.0537,10.7498,-21.8858,12.5288,4.775,-1.72,2.83212,-1.77902,5948.61,-18.8883,10.554,0
156.906,-18.9733,10.6694,-21.8858,12.5288,10.0492,-10.0512,2.9125,-1.85942,5937.75,-19.0678,10.7058,0
168.902,-18.8836,10.5951,-21.8858,12.5288,7.47878,-6.1958,3.00222,-1.93374,5927.29,-18.7827,10.4818,0
176.979,-18.8404,10.5668,-21.8858,12.5288,5.33966,-3.50318,3.04535,-1.96204,5918.07,-18.8099,10.5643,0
188.919,-18.8387,10.5657,-21.8858,12.5288,0.145025,-0.0928277,3.04708,-1.96315,5909.88,-18.8052,10.5317,0
196.884,-18.84,10.5666,-21.8858,12.5288,-0.158426,0.116549,3.04582,-1.96222,5902.21,-18.9613,10.7018,0
208.985,-18.8688,10.5879,-21.8858,12.5288,-2.38341,1.75963,3.01698,-1.94092,5894.95,-18.8265,10.5097,0
216.917,-18.8727,10.5924,-21.8858,12.5288,-0.48777,0.57247,3.01311,-1.93638,5887.88,-18.9363,10.6639,0
228.872,-18.8729,10.5928,-21.8858,12.5288,-0.0200769,0.0303616,3.01287,-1.93602,5881.09,-18.91,10.6067,0
236.906,-18.8747,10.5974,-21.8858,12.5288,-0.215986,0.580326,3.01113,-1.93136,5875.69,-18.6245,10.4158,0
248.932,-18.8464,10.5971,-21.8858,12.5288,2.35189,-0.0323962,3.03941,-1.93175,5872.54,-18.8132,10.5668,0
256.889,-18.7778,10.5764,-21.8858,12.5288,8.62288,-2.59429,3.10803,-1.95239,5871.09,-18.7648,10.6647,0
268.924,-18.7681,10.5914,-21.8858,12.5288,0.807188,1.24196,3.11774,-1.93744,5870.22,-18.7218,10.5689,0
276.857,-18.7788,10.6101,-21.8858,12.5288,-1.35878,2.35562,3.10696,-1.91876,5869.19,-18.7774,10.6483,0
288.923,-18.7874,10.6207,-21.8858,12.5288,-0.708351,0.882044,3.09842,-1.90811,5867.95,-19.0684,10.678,0
296.94,-18.8455,10.64,-21.8858,12.5288,-7.25465,2.40429,3.04025,-1.88884,5866.72,-18.8786,10.6504,0
