Resolution,1920,1080,Distance,57,Width,47.8,Subject,NLM-02286429E,Test,CC9-06222018-115923,Calibration,CC9-06222018-115923,Oscann, 4.0.12,libTracker, 1.0.9,crtime, 12112018-165135
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.2772,12.7344,-22.3212,12.7959,0,0,0.0440063,-0.0615136,9463.94,-22.2774,12.7347,0
10.889,-22.2772,12.7344,-22.3212,12.7959,0,0,0.0440063,-0.0615136,9463.94,-22.3028,12.7193,0
18.405,-22.2724,12.7297,-22.3212,12.7959,0.647536,-0.627405,0.0488731,-0.0662291,9463.94,-22.1036,12.4263,0
30.951,-22.2428,12.6991,-22.3212,12.7959,2.35334,-2.44043,0.0783981,-0.0968468,9463.94,-22.2698,12.7485,0
38.178,-22.2409,12.6973,-22.3212,12.7959,0.274379,-0.248844,0.080381,-0.0986452,9478.32,-22.4158,12.9276,0
50.319,-22.2251,12.6868,-22.3212,12.7959,1.2981,-0.861776,0.0961412,-0.109108,9482.76,-22.1572,12.5882,0
58.462,-22.2244,12.6864,-22.3212,12.7959,0.0850466,-0.0564537,0.0968338,-0.109568,9490.37,-22.3489,12.8201,0
69.934,-22.2233,12.6882,-22.3212,12.7959,0.095908,0.158405,0.097934,-0.10775,9502.21,-22.3135,12.8446,0
77.916,-22.1977,12.7295,-22.3212,12.7959,3.20417,5.18147,0.12351,-0.066392,9518.45,-22.0184,12.5509,0
89.887,-22.1845,12.7315,-22.3212,12.7959,1.10411,0.160475,0.136727,-0.0644709,9536.03,-22.2795,12.9766,0
97.875,-22.1828,12.7336,-22.3212,12.7959,0.215272,0.268403,0.138447,-0.0623269,9550.58,-22.2291,12.9264,0
109.865,-22.1558,12.7823,-22.3212,12.7959,2.25363,4.06,0.165468,-0.0136475,9560.86,-22.036,12.5906,0
118.816,-22.1546,12.7844,-22.3212,12.7959,0.132652,0.2389,0.166655,-0.0115091,9570.29,-22.3768,12.9873,0
129.892,-22.155,12.7869,-22.3212,12.7959,-0.0376166,0.227337,0.166238,-0.00899112,9583.47,-22.3164,13.0062,0
137.905,-22.1645,12.8442,-22.3212,12.7959,-1.18352,7.1496,0.156755,0.0482987,9600.39,-22.0056,12.6328,0
149.901,-22.1649,12.8468,-22.3212,12.7959,-0.0347292,0.209776,0.156338,0.0508151,9616.86,-22.3113,13.0712,0
157.854,-22.166,12.8484,-22.3212,12.7959,-0.139192,0.212447,0.155231,0.0525047,9631.3,-22.2364,13.086,0
169.863,-22.1912,12.8869,-22.3212,12.7959,-2.09748,3.20129,0.130043,0.090949,9647.12,-22.0702,12.6943,0
177.904,-22.1923,12.8886,-22.3212,12.7959,-0.137602,0.210032,0.128936,0.0926379,9666.21,-22.3451,12.9957,0
189.918,-22.1935,12.8909,-22.3212,12.7959,-0.0981026,0.190947,0.127758,0.094932,9684.48,-22.3802,13.058,0
197.866,-22.2203,12.9431,-22.3212,12.7959,-3.37392,6.56736,0.100942,0.147129,9698.52,-22.1173,12.7922,0
209.899,-22.2215,12.9455,-22.3212,12.7959,-0.0980316,0.204101,0.0997621,0.149585,9710.99,-22.3051,13.1253,0
221.868,-22.2198,12.9521,-22.3212,12.7959,0.139098,0.552619,0.101427,0.1562,9725.47,-22.3782,13.2509,0
229.868,-22.181,13.0184,-22.3212,12.7959,4.84792,8.27664,0.14021,0.222413,9741.81,-22.0152,12.8852,0
