Resolution,1920,1080,Distance,1,Width,1,Subject,V005GBETSIDI,Test,TASVH-12162016-131527,Calibration,CC9-12162016-131451,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171554
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-0.38679,0.495344,0,0,0,0,-0.38679,0.495344,4304.75,-0.390176,0.495464,0
20,-0.38679,0.495344,0,0,0,0,-0.38679,0.495344,4304.75,-0.305358,0.497471,0
30,-0.386792,0.49528,0,0,-0.000199858,-0.00648395,-0.386792,0.49528,4304.75,-0.302489,0.564053,0
40,-0.386855,0.493236,0,0,-0.00629761,-0.204319,-0.386855,0.493236,4304.75,-0.394218,0.482159,0
50,-0.389582,0.493707,0,0,-0.272687,0.0470678,-0.389582,0.493707,4310.73,-0.28379,0.438015,0
60,-0.388427,0.481173,0,0,0.115468,-1.25344,-0.388427,0.481173,4310.94,-0.469519,0.474708,0
70,-0.383821,0.45687,0,0,0.460624,-2.43024,-0.383821,0.45687,4310.88,-0.425872,0.568286,0
80,-0.369997,0.439205,0,0,1.38238,-1.76657,-0.369997,0.439205,4310.35,-0.324415,0.41619,0
90,-0.345564,0.427296,0,0,2.44336,-1.19084,-0.345564,0.427296,4308.99,-0.287287,0.455424,0
100,-0.31871,0.426096,0,0,2.68541,-0.120051,-0.31871,0.426096,4306.54,-0.38424,0.347298,0
110,-0.297403,0.426569,0,0,2.13071,0.0473117,-0.297403,0.426569,4303.28,-0.49705,0.419215,0
120,-0.279735,0.451292,0,0,1.76674,2.47232,-0.279735,0.451292,4299.9,-0.236914,0.466167,0
130,-0.264831,0.47829,0,0,1.49037,2.6998,-0.264831,0.47829,4296.96,-0.196311,0.513113,0
140,-0.25473,0.490389,0,0,1.01016,1.20992,-0.25473,0.490389,4294.57,-0.301384,0.534588,0
150,-0.250007,0.495546,0,0,0.472303,0.515637,-0.250007,0.495546,4292.62,-0.103382,0.426165,0
160,-0.249382,0.503231,0,0,0.0624657,0.768534,-0.249382,0.503231,4291.13,-0.229819,0.499739,0
170,-0.251833,0.506904,0,0,-0.245124,0.367306,-0.251833,0.506904,4290.16,-0.289876,0.515228,0
180,-0.255248,0.506997,0,0,-0.341508,0.00930947,-0.255248,0.506997,4289.5,-0.184672,0.511065,0
190,-0.256654,0.503364,0,0,-0.140562,-0.363345,-0.256654,0.503364,4288.99,-0.348993,0.600382,0
200,-0.257611,0.492762,0,0,-0.0957348,-1.06019,-0.257611,0.492762,4288.7,-0.212076,0.330005,0
210,-0.261698,0.454305,0,0,-0.408634,-3.84565,-0.261698,0.454305,4288.63,-0.356633,0.536096,0
220,-0.265436,0.428246,0,0,-0.373841,-2.60588,-0.265436,0.428246,4288.65,-0.35259,0.431678,0
230,-0.265124,0.42577,0,0,0.0312032,-0.247634,-0.265124,0.42577,4288.68,-0.264878,0.423213,0
240,-0.258824,0.425475,0,0,0.629994,-0.0294936,-0.258824,0.425475,4288.84,-0.1559,0.424132,0
250,-0.24441,0.422801,0,0,1.44139,-0.267425,-0.24441,0.422801,4289.29,-0.278392,0.469031,0
260,-0.225771,0.402076,0,0,1.86393,-2.07246,-0.225771,0.402076,4290.11,-0.322695,0.367238,0
270,-0.210223,0.401659,0,0,1.55481,-0.04174,-0.210223,0.401659,4291.55,-0.195565,0.35509,0
280,-0.202333,0.40223,0,0,0.788958,0.0570857,-0.202333,0.40223,4294.33,-0.203202,0.395121,0
290,-0.198754,0.420078,0,0,0.357917,1.78479,-0.198754,0.420078,4298.82,-0.114493,0.458072,0
300,-0.195846,0.443271,0,0,0.29084,2.31934,-0.195846,0.443271,4304.54,-0.160358,0.682298,0
310,-0.190672,0.472219,0,0,0.517405,2.89479,-0.190672,0.472219,4311.11,-0.17385,0.547571,0
320,-0.182416,0.472532,0,0,0.82555,0.0312948,-0.182416,0.472532,4319.18,-0.321999,0.429107,0
330,-0.171588,0.454186,0,0,1.08281,-1.83454,-0.171588,0.454186,4328.91,-0.251569,0.592107,0
340,-0.158822,0.40363,0,0,1.27664,-5.05568,-0.158822,0.40363,4338.22,-0.131629,0.335159,0
350,-0.136788,0.379009,0,0,2.20338,-2.46205,-0.136788,0.379009,4344.91,-0.0225423,0.327418,0
360,-0.100284,0.377051,0,0,3.65037,-0.195785,-0.100284,0.377051,4349.12,0.0784451,0.370571,0
370,-0.0545841,0.375277,0,0,4.57002,-0.177402,-0.0545841,0.375277,4352.07,0.020426,0.243555,0
380,-0.0127944,0.362797,0,0,4.17896,-1.24807,-0.0127944,0.362797,4354.57,-0.181609,0.453837,0
390,0.017861,0.376792,0,0,3.06555,1.39955,0.017861,0.376792,4357.93,0.0771487,0.393557,0
400,0.0397359,0.366753,0,0,2.18749,-1.00393,0.0397359,0.366753,4363.79,0.0460573,0.250648,0
410,0.0645063,0.375104,0,0,2.47704,0.835113,0.0645063,0.375104,4372.39,0.0321335,0.424654,0
420,0.0940721,0.380588,0,0,2.95658,0.548387,0.0940721,0.380588,4382.73,0.160793,0.2826,0
