Resolution,1920,1080,Distance,1,Width,1,Subject,V008GBETSIDI,Test,TSVV-12152016-161747,Calibration,CC9-12152016-161634,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171558
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-0.643993,0.0926691,0,0,0,0,-0.643993,0.0926691,6430.77,-0.54282,0.0897372,0
20,-0.643993,0.0926691,0,0,0,0,-0.643993,0.0926691,6430.77,-0.78617,-0.195881,0
30,-0.64423,0.0816615,0,0,-0.0236581,-1.10076,-0.64423,0.0816615,6430.77,-0.624603,0.0881786,0
40,-0.644631,0.0630041,0,0,-0.0401471,-1.86573,-0.644631,0.0630041,6430.77,-0.583747,0.0525546,0
50,-0.669954,0.0543296,0,0,-2.53224,-0.867457,-0.669954,0.0543296,6431.96,-0.69256,0.0527935,0
60,-0.69125,0.0480364,0,0,-2.12962,-0.62932,-0.69125,0.0480364,6425.7,-0.742321,0.0470799,0
70,-0.711839,-0.00182234,0,0,-2.05887,-4.98587,-0.711839,-0.00182234,6421.2,-0.770207,-0.153314,0
80,-0.724211,-0.0694182,0,0,-1.23721,-6.75959,-0.724211,-0.0694182,6417.63,-0.593276,-0.131617,0
90,-0.728513,-0.0818709,0,0,-0.430194,-1.24527,-0.728513,-0.0818709,6411.99,-0.821774,0.0357947,0
100,-0.729645,-0.0886864,0,0,-0.113243,-0.681545,-0.729645,-0.0886864,6402.9,-0.558329,-0.319325,0
110,-0.728278,-0.0796501,0,0,0.136736,0.903627,-0.728278,-0.0796501,6393.59,-0.935047,-0.0578989,0
120,-0.72611,-0.0891537,0,0,0.216734,-0.950365,-0.72611,-0.0891537,6387.64,-0.909332,-0.0740777,0
130,-0.72299,-0.0935283,0,0,0.312032,-0.43746,-0.72299,-0.0935283,6384.79,-0.733862,-0.0491011,0
140,-0.715238,-0.184549,0,0,0.77517,-9.10202,-0.715238,-0.184549,6383.26,-0.72427,-0.321186,0
150,-0.687594,-0.286539,0,0,2.76445,-10.1991,-0.687594,-0.286539,6381.66,-0.723593,-0.26777,0
160,-0.630029,-0.295572,0,0,5.75644,-0.903224,-0.630029,-0.295572,6379.18,-0.475974,-0.313013,0
170,-0.561156,-0.298703,0,0,6.88732,-0.31311,-0.561156,-0.298703,6376.35,-0.522965,-0.307078,0
180,-0.508457,-0.297287,0,0,5.26993,0.141618,-0.508457,-0.297287,6374.31,-0.49523,-0.299819,0
190,-0.481598,-0.302415,0,0,2.6859,-0.512883,-0.481598,-0.302415,6373.41,-0.450571,-0.185866,0
200,-0.471833,-0.303643,0,0,0.976538,-0.12273,-0.471833,-0.303643,6373.17,-0.613577,-0.188433,0
210,-0.469245,-0.318118,0,0,0.258711,-1.44758,-0.469245,-0.318118,6373.16,-0.420362,-0.336988,0
220,-0.468502,-0.338757,0,0,0.0743325,-2.06383,-0.468502,-0.338757,6373.29,-0.451273,-0.351582,0
230,-0.467892,-0.358911,0,0,0.0610218,-2.01542,-0.467892,-0.358911,6373.75,-0.381831,-0.406662,0
240,-0.467798,-0.361678,0,0,0.00937976,-0.276738,-0.467798,-0.361678,6374.63,-0.487575,-0.471714,0
250,-0.471249,-0.406344,0,0,-0.345127,-4.46659,-0.471249,-0.406344,6375.86,-0.579508,-0.635606,0
260,-0.477559,-0.43596,0,0,-0.630979,-2.96159,-0.477559,-0.43596,6377.58,-0.610602,-0.16718,0
270,-0.486886,-0.435562,0,0,-0.932715,0.0398058,-0.486886,-0.435562,6380.26,-0.629425,-0.472551,0
280,-0.498892,-0.405249,0,0,-1.20052,3.03131,-0.498892,-0.405249,6383.96,-0.462508,-0.44938,0
290,-0.509024,-0.345251,0,0,-1.01328,5.99976,-0.509024,-0.345251,6388.89,-0.631713,-0.283291,0
300,-0.513761,-0.370415,0,0,-0.473656,-2.51637,-0.513761,-0.370415,6395.26,-0.473851,-0.307766,0
310,-0.508021,-0.371341,0,0,0.574001,-0.0926206,-0.508021,-0.371341,6401.91,-0.537248,-0.137435,0
