Resolution,1920,1080,Distance,1,Width,1,Subject,V001GBAURA,Test,CC9-12122016-104122,Calibration,CC9-12122016-104122,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163856
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-26.6416,15.2365,-26.0856,15.1541,0,0,-0.555955,0.0824567,3140.9,-26.6473,15.2376,0
20,-26.6416,15.2365,-26.0856,15.1541,0,0,-0.555955,0.0824567,3140.9,-26.4285,15.1721,0
30,-26.6233,15.2245,-26.0856,15.1541,1.8273,-1.20417,-0.537682,0.070415,3140.9,-26.6274,15.0833,0
40,-26.6004,15.2219,-26.0856,15.1541,2.29195,-0.254562,-0.514762,0.0678694,3140.9,-26.592,15.3471,0
50,-26.5606,15.2193,-26.0856,15.1541,3.98063,-0.263902,-0.474956,0.0652304,3145.94,-26.4888,15.2106,0
60,-26.5101,15.2135,-26.0856,15.1541,5.04677,-0.584841,-0.424488,0.059382,3146.87,-26.5303,14.9676,0
70,-26.4796,15.1806,-26.0856,15.1541,3.05376,-3.28197,-0.393951,0.0265622,3148.11,-26.4521,15.2363,0
80,-26.446,15.1173,-26.0856,15.1541,3.35779,-6.33694,-0.360373,-0.0368072,3149.39,-26.391,15.0473,0
90,-26.4081,15.0767,-26.0856,15.1541,3.79162,-4.05423,-0.322457,-0.0773495,3150.45,-26.3366,15.1183,0
100,-26.3979,15.0543,-26.0856,15.1541,1.0198,-2.24441,-0.312259,-0.0997936,3151.43,-26.3929,15.0584,0
110,-26.388,15.0533,-26.0856,15.1541,0.981344,-0.0979247,-0.302445,-0.100773,3152.38,-26.3641,14.9948,0
120,-26.3814,15.0711,-26.0856,15.1541,0.668157,1.78466,-0.295764,-0.0829262,3152.99,-26.404,14.9905,0
130,-26.3816,15.0727,-26.0856,15.1541,-0.0235157,0.153333,-0.295999,-0.0813929,3153.2,-26.494,15.1025,0
140,-26.3944,15.0916,-26.0856,15.1541,-1.27885,1.88803,-0.308787,-0.0625126,3153.28,-26.2967,15.2473,0
150,-26.4208,15.1379,-26.0856,15.1541,-2.64325,4.63426,-0.33522,-0.01617,3153.51,-26.4414,15.0866,0
160,-26.4139,15.2138,-26.0856,15.1541,0.692831,7.58807,-0.328291,0.0597107,3154.27,-26.4586,15.3356,0
170,-26.4439,15.2793,-26.0856,15.1541,-3.00011,6.55402,-0.358293,0.125251,3155.77,-26.4773,15.28,0
180,-26.4449,15.3194,-26.0856,15.1541,-0.0962245,4.00328,-0.359255,0.165284,3157.93,-26.3785,15.227,0
190,-26.439,15.3415,-26.0856,15.1541,0.581129,2.21897,-0.353443,0.187473,3160.56,-26.4994,15.3579,0
200,-26.4294,15.3299,-26.0856,15.1541,0.966986,-1.1622,-0.343774,0.175851,3162.94,-26.404,15.4536,0
210,-26.4288,15.3632,-26.0856,15.1541,0.054857,3.33158,-0.343225,0.209167,3164.61,-26.4312,15.4955,0
220,-26.4288,15.3644,-26.0856,15.1541,0.000460063,0.113662,-0.34322,0.210304,3166.38,-26.4262,15.2763,0
230,-26.4289,15.3554,-26.0856,15.1541,-0.00357534,-0.893038,-0.343256,0.201373,3169.62,-26.4565,15.3806,0
240,-26.4289,15.3352,-26.0856,15.1541,-0.00801457,-2.02646,-0.343336,0.181109,3174.38,-26.3772,15.375,0
250,-26.4295,15.3344,-26.0856,15.1541,-0.060319,-0.0819708,-0.34394,0.180289,3178.98,-26.5643,15.18,0
260,-26.4432,15.3355,-26.0856,15.1541,-1.36823,0.112935,-0.357622,0.181418,3182.46,-26.5724,15.303,0
270,-26.4451,15.3327,-26.0856,15.1541,-0.185559,-0.281306,-0.359477,0.178605,3185.95,-26.4061,15.4376,0
280,-26.4562,15.3324,-26.0856,15.1541,-1.11057,-0.031616,-0.370583,0.178289,3190.7,-26.4587,15.331,0
290,-26.4562,15.3035,-26.0856,15.1541,-0.00296102,-2.89017,-0.370613,0.149388,3196.56,-26.3124,15.209,0
300,-26.4434,15.2695,-26.0856,15.1541,1.27637,-3.40047,-0.357849,0.115383,3202.53,-26.4554,15.1255,0
310,-26.4418,15.2652,-26.0856,15.1541,0.161029,-0.425709,-0.356239,0.111126,3207.68,-26.4607,15.3025,0
320,-26.4167,15.2483,-26.0856,15.1541,2.5101,-1.68872,-0.331138,0.0942385,3211.83,-26.3223,15.2294,0
330,-26.3914,15.2315,-26.0856,15.1541,2.53671,-1.68209,-0.305771,0.0774177,3215.38,-26.4536,15.4367,0
340,-26.3759,15.2302,-26.0856,15.1541,1.55139,-0.128081,-0.290257,0.0761369,3218.89,-26.3511,15.1281,0
350,-26.3654,15.2471,-26.0856,15.1541,1.04768,1.69301,-0.27978,0.093067,3222.53,-26.3939,15.0763,0
360,-26.3647,15.2618,-26.0856,15.1541,0.0663546,1.46826,-0.279116,0.10775,3226.04,-26.3651,15.2612,0
370,-26.3601,15.2646,-26.0856,15.1541,0.46238,0.280225,-0.274493,0.110552,3229.51,-26.3025,15.3685,0
380,-26.3453,15.2634,-26.0856,15.1541,1.47511,-0.124192,-0.259742,0.10931,3233.24,-26.2857,15.2699,0
390,-26.3163,15.2592,-26.0856,15.1541,2.90598,-0.417513,-0.230682,0.105135,3237.07,-26.3631,15.2775,0
400,-26.2911,15.2217,-26.0856,15.1541,2.51405,-3.7468,-0.205541,0.0676668,3240.52,-26.3107,15.1354,0
410,-26.2459,15.1953,-26.0856,15.1541,4.5258,-2.64306,-0.160283,0.0412362,3243.56,-26.2021,15.1343,0
420,-26.2049,15.19,-26.0856,15.1541,4.0995,-0.530684,-0.119288,0.0359293,3246.51,-26.1336,15.3902,0
430,-26.193,15.1744,-26.0856,15.1541,1.19245,-1.55601,-0.107364,0.0203692,3249.4,-26.2552,15.2139,0
440,-26.1926,15.1738,-26.0856,15.1541,0.0379137,-0.0670462,-0.106985,0.0196988,3252.19,-26.2085,15.2705,0
450,-26.1952,15.1728,-26.0856,15.1541,-0.265534,-0.096002,-0.10964,0.0187388,3255.63,-26.1573,15.142,0
460,-26.22,15.1477,-26.0856,15.1541,-2.47282,-2.51205,-0.134368,-0.00638173,3260.88,-26.2374,15.0838,0
470,-26.2356,15.1466,-26.0856,15.1541,-1.55981,-0.109412,-0.149966,-0.00747585,3267.76,-26.2339,14.9425,0
480,-26.2363,15.1159,-26.0856,15.1541,-0.075443,-3.06822,-0.150721,-0.038158,3274.43,-26.2442,15.1474,0
490,-26.2351,15.0972,-26.0856,15.1541,0.124539,-1.87305,-0.149475,-0.0568886,3279.49,-26.2831,15.3385,0
500,-26.2022,15.0244,-26.0856,15.1541,3.28411,-7.27338,-0.116634,-0.129622,3283.35,-26.0499,14.8208,0
510,-26.1289,14.9008,-26.0856,15.1541,7.32899,-12.3677,-0.0433442,-0.2533,3286.95,-26.1076,14.8618,0
520,-26.1251,14.8927,-26.0856,15.1541,0.388329,-0.809814,-0.0394609,-0.261398,3290.42,-26.238,15.0149,0
530,-26.1091,14.8926,-26.0856,15.1541,1.5987,-0.00394643,-0.023474,-0.261437,3293.87,-25.9354,14.8332,0
540,-26.1199,14.9295,-26.0856,15.1541,-1.07831,3.6912,-0.034257,-0.224525,3297.69,-26.193,15.078,0
550,-26.0934,14.9414,-26.0856,15.1541,2.6413,1.18811,-0.00784406,-0.212644,3301.41,-26.1371,14.8526,0
560,-26.0917,14.9426,-26.0856,15.1541,0.17551,0.115664,-0.00608896,-0.211487,3304.37,-26.0088,15.0624,0
570,-26.1202,14.963,-26.0856,15.1541,-2.85348,2.03951,-0.0346237,-0.191092,3306.39,-26.0756,14.9839,0
580,-26.1218,14.9761,-26.0856,15.1541,-0.157545,1.3167,-0.0361992,-0.177925,3307.19,-26.0733,14.8663,0
590,-26.1319,14.9773,-26.0856,15.1541,-1.01163,0.112245,-0.0463155,-0.176803,3306.94,-26.2336,14.9527,0
600,-26.1762,14.9726,-26.0856,15.1541,-4.42945,-0.464914,-0.0906099,-0.181452,3306.33,-26.3035,15.2129,0
610,-26.2027,14.9564,-26.0856,15.1541,-2.64608,-1.62385,-0.117071,-0.19769,3305.71,-26.1995,14.9364,0
620,-26.2047,14.9762,-26.0856,15.1541,-0.200237,1.97736,-0.119073,-0.177917,3305.04,-26.2078,15.0206,0
630,-26.2261,15.0076,-26.0856,15.1541,-2.14395,3.14262,-0.140513,-0.146491,3304.2,-26.2525,14.9341,0
640,-26.2042,15.008,-26.0856,15.1541,2.19185,0.0377077,-0.118594,-0.146114,3303.29,-26.1169,15.1307,0
650,-26.1928,15.0329,-26.0856,15.1541,1.1359,2.4926,-0.107235,-0.121188,3302.75,-26.2441,15.0591,0
660,-26.1489,15.03,-26.0856,15.1541,4.39741,-0.290202,-0.063261,-0.12409,3302.63,-26.2522,15.0192,0
670,-26.1005,15.0255,-26.0856,15.1541,4.83945,-0.452608,-0.0148665,-0.128616,3302.46,-26.04,15.0767,0
680,-26.0765,15.0202,-26.0856,15.1541,2.3971,-0.523649,0.00910448,-0.133852,3301.97,-25.9786,14.9602,0
690,-26.0756,14.9941,-26.0856,15.1541,0.0867655,-2.60943,0.00997214,-0.159947,3301.34,-26.1227,15.0733,0
700,-26.0761,14.9684,-26.0856,15.1541,-0.0450449,-2.56872,0.00952169,-0.185634,3300.62,-26.0703,14.768,0
710,-26.0847,14.9324,-26.0856,15.1541,-0.858269,-3.59903,0.000938995,-0.221624,3299.64,-26.0878,14.8248,0
720,-26.0934,14.878,-26.0856,15.1541,-0.878282,-5.4435,-0.00784382,-0.276059,3298.13,-26.2447,14.9842,0
730,-26.0938,14.8753,-26.0856,15.1541,-0.0371127,-0.27361,-0.00821495,-0.278795,3295.55,-26.1778,14.7635,0
740,-26.0937,14.8672,-26.0856,15.1541,0.00875525,-0.803315,-0.0081274,-0.286828,3291.25,-26.023,14.7088,0
750,-26.091,14.8946,-26.0856,15.1541,0.268533,2.74096,-0.00544207,-0.259419,3284.52,-25.9667,14.9392,0
760,-26.0909,14.8959,-26.0856,15.1541,0.0118113,0.122194,-0.00532396,-0.258197,3275.87,-26.0819,14.8768,0
770,-26.0909,14.8959,-26.0856,15.1541,-0.00234518,0.000226261,-0.00534741,-0.258195,3267.32,-25.9952,14.778,0
780,-26.0915,14.8954,-26.0856,15.1541,-0.0535862,-0.0507176,-0.00588327,-0.258702,3260.2,-26.1328,14.9548,0
790,-26.0907,14.8825,-26.0856,15.1541,0.0805068,-1.28776,-0.0050782,-0.271579,3253.6,-26.1207,14.7824,0
800,-26.0709,14.8748,-26.0856,15.1541,1.98177,-0.765666,0.0147395,-0.279236,3245.4,-26.1417,14.8755,0
810,-26.0674,14.8233,-26.0856,15.1541,0.342648,-5.14935,0.0181659,-0.330729,3234.52,-25.9612,14.8746,0
820,-26.004,14.7713,-26.0856,15.1541,6.34136,-5.20439,0.0815795,-0.382773,3221.56,-26.0397,14.5696,0
830,-25.9642,14.7534,-26.0856,15.1541,3.98097,-1.78706,0.121389,-0.400644,3207.91,-25.967,14.6233,0
840,-25.9268,14.748,-26.0856,15.1541,3.74045,-0.540443,0.158794,-0.406048,3195.57,-25.84,14.7532,0
850,-25.8944,14.7115,-26.0856,15.1541,3.23639,-3.64836,0.191158,-0.442532,3186.07,-25.9079,14.5944,0
860,-25.8884,14.6859,-26.0856,15.1541,0.603129,-2.56552,0.197189,-0.468187,3178.74,-25.8752,14.888,0
870,-25.8793,14.6632,-26.0856,15.1541,0.915678,-2.26519,0.206346,-0.490839,3171.58,-25.8952,14.6086,0
880,-25.8764,14.6637,-26.0856,15.1541,0.281833,0.0483835,0.209164,-0.490355,3164.27,-25.8681,14.726,0
890,-25.8196,14.6946,-26.0856,15.1541,5.68624,3.08447,0.266026,-0.459511,3158.18,-25.7433,14.6283,0
900,-25.7796,14.6549,-26.0856,15.1541,3.99565,-3.96874,0.305983,-0.499198,3153.15,-25.7432,14.9901,0
910,-25.778,14.6543,-26.0856,15.1541,0.165406,-0.0527682,0.307637,-0.499726,3146.86,-25.7938,14.715,0
920,-25.7795,14.6697,-26.0856,15.1541,-0.155212,1.53848,0.306085,-0.484341,3137.4,-25.787,14.5531,0
930,-25.8188,14.7109,-26.0856,15.1541,-3.92822,4.12176,0.266803,-0.443123,3125.59,-25.8443,14.8618,0
940,-25.8867,14.7204,-26.0856,15.1541,-6.79136,0.948478,0.198889,-0.433638,3114.94,-25.9743,14.5304,0
950,-25.8958,14.761,-26.0856,15.1541,-0.904336,4.05694,0.189846,-0.393069,3107.24,-25.8931,14.9223,0
960,-25.8958,14.8195,-26.0856,15.1541,-0.00686058,5.85326,0.189777,-0.334537,3101.03,-25.9987,14.8149,0
970,-25.8931,14.8515,-26.0856,15.1541,0.275706,3.20025,0.192534,-0.302534,3095.6,-25.8576,14.9555,0
980,-25.8315,14.8694,-26.0856,15.1541,6.15227,1.78909,0.254057,-0.284643,3091.56,-25.8023,14.9225,0
990,-25.7975,14.8866,-26.0856,15.1541,3.40324,1.71355,0.288089,-0.267508,3088.51,-25.7771,14.7869,0
1000,-25.7843,14.9213,-26.0856,15.1541,1.31652,3.47283,0.301254,-0.232779,3085.42,-25.7791,14.872,0
1010,-25.7627,14.9234,-26.0856,15.1541,2.1678,0.211262,0.322932,-0.230667,3081.44,-25.6382,14.9641,0
1020,-25.7529,14.9537,-26.0856,15.1541,0.973063,3.02566,0.332663,-0.20041,3076.05,-25.7138,14.9717,0
1030,-25.7525,14.955,-26.0856,15.1541,0.0387561,0.133054,0.333051,-0.19908,3069.75,-25.7387,14.9473,0
1040,-25.7524,14.9544,-26.0856,15.1541,0.0129229,-0.0555239,0.33318,-0.199635,3063.85,-25.7875,15.0322,0
1050,-25.7502,14.9406,-26.0856,15.1541,0.218607,-1.37927,0.335366,-0.213428,3059.29,-25.7813,14.9231,0
1060,-25.7677,14.913,-26.0856,15.1541,-1.74201,-2.75946,0.317946,-0.241022,3056.19,-25.7763,14.8361,0
1070,-25.7776,14.8933,-26.0856,15.1541,-0.996238,-1.97164,0.307983,-0.260739,3053.83,-25.7291,14.8535,0
