Resolution,1920,1080,Distance,1,Width,1,Subject,V001GBAURA,Test,TASVH-12122016-104636,Calibration,CC9-12122016-104606,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163857
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-0.0426611,0.272802,0,0,0,0,-0.0426611,0.272802,3636.93,-0.0390914,0.271277,0
20,-0.0426611,0.272802,0,0,0,0,-0.0426611,0.272802,3636.93,-0.158562,0.333302,0
30,-0.0512143,0.27815,0,0,-0.855321,0.534707,-0.0512143,0.27815,3636.93,-0.0745652,0.28149,0
40,-0.0587065,0.304102,0,0,-0.749226,2.59523,-0.0587065,0.304102,3636.93,-0.0458345,0.274065,0
50,-0.0809943,0.333292,0,0,-2.22878,2.91906,-0.0809943,0.333292,3647.85,-0.192536,0.356822,0
60,-0.110644,0.346103,0,0,-2.96501,1.28106,-0.110644,0.346103,3652.15,-0.12898,0.42772,0
70,-0.136672,0.348503,0,0,-2.60278,0.240006,-0.136672,0.348503,3655.29,-0.176795,0.333893,0
80,-0.164659,0.349941,0,0,-2.7987,0.143834,-0.164659,0.349941,3657.88,-0.117038,0.506425,0
90,-0.185726,0.346043,0,0,-2.10669,-0.389808,-0.185726,0.346043,3660.01,-0.26093,0.350793,0
100,-0.203544,0.345108,0,0,-1.78181,-0.0935143,-0.203544,0.345108,3661.59,-0.213547,0.343226,0
110,-0.205017,0.345117,0,0,-0.147335,0.000920485,-0.205017,0.345117,3662.79,-0.357435,0.283772,0
120,-0.222112,0.346667,0,0,-1.70949,0.154961,-0.222112,0.346667,3663.99,-0.250732,0.221994,0
130,-0.235373,0.360997,0,0,-1.32603,1.43304,-0.235373,0.360997,3665.84,-0.148196,0.470938,0
140,-0.241818,0.387643,0,0,-0.644535,2.66455,-0.241818,0.387643,3669.08,-0.229759,0.515886,0
150,-0.234702,0.388355,0,0,0.711605,0.0712416,-0.234702,0.388355,3673.48,-0.311296,0.511099,0
160,-0.217005,0.385655,0,0,1.76966,-0.269986,-0.217005,0.385655,3677.86,-0.257544,0.401773,0
170,-0.213698,0.344527,0,0,0.330705,-4.11281,-0.213698,0.344527,3681.3,-0.195772,0.185268,0
180,-0.141122,0.267585,0,0,7.25762,-7.69423,-0.141122,0.267585,3683.8,-0.0840087,0.171994,0
190,-0.125781,0.263563,0,0,1.53413,-0.402158,-0.125781,0.263563,3685.9,-0.0197792,0.233301,0
200,-0.125241,0.263797,0,0,0.0539573,0.0233748,-0.125241,0.263797,3687.77,-0.0712844,0.223403,0
210,-0.127399,0.271923,0,0,-0.215758,0.812535,-0.127399,0.271923,3689.18,-0.297632,0.31086,0
220,-0.17875,0.320739,0,0,-5.13516,4.88168,-0.17875,0.320739,3690.01,-0.26276,0.419776,0
230,-0.181014,0.349091,0,0,-0.226364,2.83517,-0.181014,0.349091,3690.46,-0.1868,0.421061,0
240,-0.190724,0.369121,0,0,-0.970968,2.00299,-0.190724,0.369121,3690.74,-0.201289,0.340593,0
250,-0.190123,0.392108,0,0,0.0600659,2.29872,-0.190123,0.392108,3691.12,-0.0710856,0.387976,0
260,-0.175034,0.396574,0,0,1.50894,0.446601,-0.175034,0.396574,3692.09,-0.186334,0.474126,0
270,-0.174117,0.411957,0,0,0.0916685,1.53825,-0.174117,0.411957,3694.06,-0.202587,0.441119,0
280,-0.174263,0.431634,0,0,-0.0146051,1.96777,-0.174263,0.431634,3696.64,-0.134829,0.382618,0
290,-0.183444,0.534416,0,0,-0.918111,10.2782,-0.183444,0.534416,3698.82,-0.195649,0.625318,0
300,-0.183572,0.683648,0,0,-0.0127872,14.9232,-0.183572,0.683648,3700.13,-0.295369,0.798953,0
310,-0.186476,0.729561,0,0,-0.290419,4.59128,-0.186476,0.729561,3700.61,-0.179317,0.710915,0
320,-0.186553,0.731299,0,0,-0.00769747,0.173817,-0.186553,0.731299,3700.44,-0.413032,0.841666,0
330,-0.185418,0.729775,0,0,0.11356,-0.152395,-0.185418,0.729775,3700.13,-0.198592,0.502105,0
340,-0.18615,0.695784,0,0,-0.0732824,-3.39912,-0.18615,0.695784,3700.02,-0.161531,0.708445,0
350,-0.186527,0.674477,0,0,-0.0376612,-2.1307,-0.186527,0.674477,3700.21,-0.175679,0.626543,0
360,-0.188013,0.661612,0,0,-0.148605,-1.28653,-0.188013,0.661612,3700.98,-0.273991,0.68488,0
370,-0.218549,0.66232,0,0,-3.0536,0.0708037,-0.218549,0.66232,3702.51,-0.185473,0.624724,0
380,-0.260234,0.659759,0,0,-4.16849,-0.256063,-0.260234,0.659759,3704.56,-0.321644,0.551874,0
390,-0.260281,0.656253,0,0,-0.00471585,-0.350607,-0.260281,0.656253,3706.91,-0.226711,0.670167,0
400,-0.220992,0.654249,0,0,3.9289,-0.200435,-0.220992,0.654249,3709.94,-0.396872,0.669595,0
410,-0.250074,0.666773,0,0,-2.90813,1.25237,-0.250074,0.666773,3714.02,-0.160296,0.558215,0
420,-0.261446,0.690587,0,0,-1.13726,2.38147,-0.261446,0.690587,3718.14,-0.167043,0.830209,0
430,-0.262589,0.724091,0,0,-0.114265,3.35036,-0.262589,0.724091,3720.7,-0.332443,0.691164,0
440,-0.293247,0.741782,0,0,-3.06577,1.7691,-0.293247,0.741782,3721.77,-0.337236,0.733514,0
450,-0.347099,0.745365,0,0,-5.38525,0.358331,-0.347099,0.745365,3722.29,-0.379625,0.760848,0
460,-0.362728,0.741774,0,0,-1.56289,-0.359094,-0.362728,0.741774,3722.64,-0.37418,0.756706,0
470,-0.366284,0.741142,0,0,-0.355622,-0.0632027,-0.366284,0.741142,3722.88,-0.352766,0.718645,0
480,-0.373917,0.726702,0,0,-0.763317,-1.44397,-0.373917,0.726702,3723.33,-0.36355,0.708281,0
490,-0.366786,0.71802,0,0,0.713179,-0.868196,-0.366786,0.71802,3724.62,-0.41074,0.626903,0
500,-0.366502,0.686198,0,0,0.0283977,-3.18228,-0.366502,0.686198,3727.34,-0.421212,0.660026,0
510,-0.359725,0.671915,0,0,0.677658,-1.42823,-0.359725,0.671915,3731.27,-0.267898,0.71847,0
520,-0.352649,0.672312,0,0,0.707561,0.0396855,-0.352649,0.672312,3735.42,-0.345481,0.647941,0
530,-0.344078,0.706799,0,0,0.857173,3.4487,-0.344078,0.706799,3739.34,-0.355693,0.646149,0
540,-0.342444,0.802098,0,0,0.163374,9.52986,-0.342444,0.802098,3743.55,-0.31791,0.893954,0
550,-0.34942,0.871428,0,0,-0.697588,6.93298,-0.34942,0.871428,3748.22,-0.306134,0.911909,0
560,-0.361154,0.874964,0,0,-1.17341,0.353616,-0.361154,0.874964,3752.51,-0.370335,0.856859,0
570,-0.378542,0.875582,0,0,-1.73876,0.0617952,-0.378542,0.875582,3755.83,-0.405657,0.875647,0
580,-0.387319,0.866928,0,0,-0.87778,-0.865377,-0.387319,0.866928,3758.62,-0.446623,0.862266,0
590,-0.388447,0.862192,0,0,-0.112747,-0.473624,-0.388447,0.862192,3761.64,-0.478177,1.04903,0
600,-0.404634,0.844537,0,0,-1.61872,-1.76547,-0.404634,0.844537,3765.97,-0.313725,0.792853,0
610,-0.403414,0.828966,0,0,0.121992,-1.5571,-0.403414,0.828966,3773.27,-0.329732,0.775144,0
620,-0.35912,0.825735,0,0,4.42937,-0.323155,-0.35912,0.825735,3783.1,-0.422588,0.828841,0
630,-0.328845,0.82534,0,0,3.0275,-0.0394794,-0.328845,0.82534,3791.77,-0.296785,0.642224,0
640,-0.319785,0.859878,0,0,0.906007,3.45387,-0.319785,0.859878,3796.89,-0.357871,0.963188,0
650,-0.308846,0.949353,0,0,1.09389,8.94743,-0.308846,0.949353,3800.15,-0.286101,1.01254,0
660,-0.308299,0.968018,0,0,0.0547786,1.86652,-0.308299,0.968018,3804.39,-0.317352,1.022,0
670,-0.31238,0.968907,0,0,-0.408182,0.0888913,-0.31238,0.968907,3810.61,-0.303448,1.03983,0
680,-0.312669,0.965411,0,0,-0.0288873,-0.349608,-0.312669,0.965411,3818.18,-0.524246,0.83813,0
690,-0.315144,0.885596,0,0,-0.247425,-7.98145,-0.315144,0.885596,3827.21,-0.317638,0.738106,0
700,-0.315398,0.882098,0,0,-0.0253964,-0.349855,-0.315398,0.882098,3837.92,-0.316447,0.831731,0
710,-0.318705,0.882589,0,0,-0.330793,0.0491472,-0.318705,0.882589,3847.83,-0.346252,0.850675,0
720,-0.318903,0.889411,0,0,-0.0198023,0.682152,-0.318903,0.889411,3854.45,-0.29645,1.02748,0
