Resolution,1920,1080,Distance,1,Width,1,Subject,V001GBETSIDI,Test,TIF3-12162016-102207,Calibration,CC9-12162016-102117,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171550
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10.0,-0.375098,0.0489147,0.0,0.0,0.0,0.0,-0.375098,0.0489147,7026.76,-0.361524,0.0462428,0.0
20.0,-0.375098,0.0489147,0.0,0.0,0.0,0.0,-0.375098,0.0489147,7026.76,-0.404988,0.283171,0.0
30.0,-0.373942,0.109935,0.0,0.0,0.115511,6.102,-0.373942,0.109935,7026.76,-0.402484,-0.00282898,0.0
40.0,-0.369173,0.271701,0.0,0.0,0.47691,16.1766,-0.369173,0.271701,7026.76,-0.365512,0.520417,0.0
50.0,-0.361096,0.369535,0.0,0.0,0.807739,9.78336,-0.361096,0.369535,7040.0,-0.31615,0.387264,0.0
60.0,-0.335326,0.372947,0.0,0.0,2.57702,0.341204,-0.335326,0.372947,7044.25,-0.269647,0.342038,0.0
70.0,-0.327155,0.371731,0.0,0.0,0.817036,-0.121534,-0.327155,0.371731,7048.18,-0.324077,0.380005,0.0
80.0,-0.327538,0.347087,0.0,0.0,-0.0382403,-2.4644,-0.327538,0.347087,7051.23,-0.347883,0.323012,0.0
90.0,-0.33014,0.315477,0.0,0.0,-0.260207,-3.16099,-0.33014,0.315477,7053.58,-0.332172,0.21306,0.0
100.0,-0.373758,0.280819,0.0,0.0,-4.3618,-3.4658,-0.373758,0.280819,7055.18,-0.412712,0.300212,0.0
110.0,-0.463045,0.256247,0.0,0.0,-8.92876,-2.45721,-0.463045,0.256247,7055.88,-0.554118,0.265815,0.0
120.0,-0.52164,0.257612,0.0,0.0,-5.85947,0.136429,-0.52164,0.257612,7055.95,-0.502787,0.0837161,0.0
130.0,-0.541512,0.283627,0.0,0.0,-1.98718,2.60158,-0.541512,0.283627,7055.59,-0.532409,0.2311,0.0
140.0,-0.542326,0.294487,0.0,0.0,-0.0813635,1.08599,-0.542326,0.294487,7054.87,-0.592528,0.342089,0.0
150.0,-0.531097,0.324398,0.0,0.0,1.12284,2.99104,-0.531097,0.324398,7053.83,-0.624419,0.323492,0.0
160.0,-0.52933,0.329754,0.0,0.0,0.17677,0.535637,-0.52933,0.329754,7052.53,-0.383223,0.26779,0.0
170.0,-0.500695,0.335169,0.0,0.0,2.8635,0.541528,-0.500695,0.335169,7051.34,-0.469601,0.336746,0.0
180.0,-0.45052,0.357542,0.0,0.0,5.01743,2.23731,-0.45052,0.357542,7050.67,-0.377348,0.563387,0.0
190.0,-0.425666,0.424218,0.0,0.0,2.48543,6.66759,-0.425666,0.424218,7050.26,-0.469392,0.430505,0.0
200.0,-0.423514,0.429604,0.0,0.0,0.215194,0.538631,-0.423514,0.429604,7049.03,-0.510463,0.515829,0.0
210.0,-0.423336,0.487754,0.0,0.0,0.0177549,5.81492,-0.423336,0.487754,7045.43,-0.295965,0.504417,0.0
220.0,-0.4645,0.525286,0.0,0.0,-4.11639,3.7532,-0.4645,0.525286,7039.06,-0.378493,0.35001,0.0
230.0,-0.977401,0.949421,0.0,0.0,-51.2901,42.4135,-0.977401,0.949421,7031.98,-1.45452,2.13566,0.0
240.0,-2.15605,2.02149,0.0,0.0,-117.865,107.207,-2.15605,2.02149,7025.83,-2.85535,3.46393,0.0
250.0,-2.96918,2.87767,0.0,0.0,-81.3123,85.6185,-2.96918,2.87767,7019.13,-3.51426,3.30879,0.0
260.0,-3.05555,3.03835,0.0,0.0,-8.63783,16.0676,-3.05555,3.03835,7009.95,-3.09331,3.08371,0.0
270.0,-3.05703,3.08378,0.0,0.0,-0.147274,4.54279,-3.05703,3.08378,6996.98,-3.16568,3.09299,0.0
280.0,-3.05302,3.1038,0.0,0.0,0.400351,2.00249,-3.05302,3.1038,6977.38,-2.98627,2.99953,0.0
290.0,-2.97164,3.10353,0.0,0.0,8.13832,-0.0274727,-2.97164,3.10353,6942.85,-2.91954,3.13251,0.0
300.0,-2.96762,3.12428,0.0,0.0,0.402144,2.07511,-2.96762,3.12428,6882.48,-2.91006,3.12327,0.0
310.0,-2.96788,3.13133,0.0,0.0,-0.0258857,0.705316,-2.96788,3.13133,6794.02,-2.91652,3.11542,0.0
320.0,-2.97707,3.13724,0.0,0.0,-0.919432,0.591082,-2.97707,3.13724,6686.36,-3.09791,3.14037,0.0
330.0,-2.97756,3.17909,0.0,0.0,-0.0492097,4.1847,-2.97756,3.17909,6570.92,-2.82302,3.23228,0.0
340.0,-3.01078,3.22731,0.0,0.0,-3.32182,4.82202,-3.01078,3.22731,6455.32,-3.08972,3.20723,0.0
350.0,-3.06829,3.23858,0.0,0.0,-5.75085,1.1268,-3.06829,3.23858,6342.14,-2.94446,3.4165,0.0
360.0,-3.39306,3.24852,0.0,0.0,-32.477,0.994186,-3.39306,3.24852,6224.63,-3.73677,3.25727,0.0
370.0,-4.07255,3.27699,0.0,0.0,-67.9494,2.84664,-4.07255,3.27699,6094.05,-5.29089,3.34725,0.0
380.0,-4.68075,3.30957,0.0,0.0,-60.8199,3.25851,-4.68075,3.30957,5953.79,-5.09194,3.314,0.0
390.0,-4.99056,3.3185,0.0,0.0,-30.9804,0.892646,-4.99056,3.3185,5815.45,-4.96866,3.4869,0.0
400.0,-5.03088,3.3226,0.0,0.0,-4.03244,0.410562,-5.03088,3.3226,5686.69,-5.02698,3.59454,0.0
410.0,-5.03937,3.31771,0.0,0.0,-0.848433,-0.489231,-5.03937,3.31771,5565.58,-5.04565,3.18475,0.0
420.0,-5.08683,3.3445,0.0,0.0,-4.74636,2.67918,-5.08683,3.3445,5445.01,-5.2509,3.13716,0.0
430.0,-5.15865,3.32539,0.0,0.0,-7.1821,-1.91147,-5.15865,3.32539,5319.43,-5.21317,3.45977,0.0
440.0,-5.20882,3.31597,0.0,0.0,-5.01714,-0.941551,-5.20882,3.31597,5190.47,-5.16228,3.42141,0.0
450.0,-5.23011,3.3266,0.0,0.0,-2.12839,1.06245,-5.23011,3.3266,5069.66,-5.32299,3.33109,0.0
