Resolution,1920,1080,Distance,1,Width,1,Subject,V001GCAURA,Test,CC9-12122016-110744,Calibration,CC9-12122016-110744,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163921
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-25.7202,16.991,-26.0856,15.1541,0,0,0.365434,1.83694,2603.96,-25.6286,17.6392,0
20,-25.7202,16.991,-26.0856,15.1541,0,0,0.365434,1.83694,2603.96,-25.9993,15.037,0
30,-25.8453,15.7884,-26.0856,15.1541,-12.509,-120.256,0.240344,0.634378,2603.96,-25.9607,15.1372,0
40,-25.876,15.1602,-26.0856,15.1541,-3.07458,-62.8282,0.209599,0.00609601,2603.96,-25.948,15.0028,0
50,-25.8861,15.0891,-26.0856,15.1541,-1.00816,-7.10939,0.199517,-0.0649979,2603.23,-25.8418,15.0438,0
60,-25.8948,15.0326,-26.0856,15.1541,-0.874457,-5.6482,0.190772,-0.12148,2599.01,-25.8089,15.1374,0
70,-25.8961,15.0081,-26.0856,15.1541,-0.124245,-2.44794,0.18953,-0.145959,2595.45,-25.8829,15.0143,0
80,-25.8971,15.003,-26.0856,15.1541,-0.100415,-0.50868,0.188526,-0.151046,2593.2,-25.9024,14.8583,0
90,-25.9186,14.9632,-26.0856,15.1541,-2.15417,-3.98212,0.166984,-0.190867,2592.14,-25.9892,14.979,0
100,-25.9616,14.9273,-26.0856,15.1541,-4.30242,-3.5907,0.12396,-0.226774,2591.74,-25.9801,14.849,0
110,-26.0113,14.9081,-26.0856,15.1541,-4.96307,-1.91759,0.0743292,-0.24595,2591.64,-26.098,15.0185,0
120,-26.0326,14.8908,-26.0856,15.1541,-2.13252,-1.72872,0.0530039,-0.263237,2591.52,-25.8802,14.8843,0
130,-26.0337,14.8828,-26.0856,15.1541,-0.11228,-0.805925,0.0518811,-0.271297,2591,-26.1968,14.8894,0
140,-26.0324,14.8813,-26.0856,15.1541,0.12785,-0.148352,0.0531596,-0.27278,2589.91,-26.0252,14.9133,0
150,-26.0019,14.8541,-26.0856,15.1541,3.05381,-2.72227,0.0836977,-0.300003,2588.4,-25.9769,14.8294,0
160,-25.9742,14.8346,-26.0856,15.1541,2.77495,-1.9473,0.111447,-0.319476,2586.84,-25.9709,14.8021,0
170,-25.9675,14.8334,-26.0856,15.1541,0.667507,-0.117229,0.118122,-0.320648,2585.67,-25.9627,14.7748,0
180,-25.9628,14.835,-26.0856,15.1541,0.46589,0.153763,0.122781,-0.319111,2585.07,-26.0846,14.882,0
190,-25.9576,14.8782,-26.0856,15.1541,0.522322,4.3234,0.128004,-0.275877,2584.87,-25.9345,14.9253,0
200,-25.956,14.9145,-26.0856,15.1541,0.159116,3.62814,0.129596,-0.239595,2584.8,-25.9399,14.9406,0
210,-25.9546,14.9162,-26.0856,15.1541,0.13638,0.171612,0.130959,-0.237879,2584.73,-26.017,14.9067,0
220,-25.9546,14.9231,-26.0856,15.1541,0.00431205,0.687749,0.131002,-0.231002,2584.71,-25.9685,14.9132,0
230,-25.9612,14.9312,-26.0856,15.1541,-0.655757,0.81043,0.124445,-0.222897,2584.81,-25.9549,14.9085,0
240,-25.9736,14.9468,-26.0856,15.1541,-1.24048,1.55983,0.11204,-0.207299,2584.96,-25.9772,15.0249,0
250,-25.9814,15.0027,-26.0856,15.1541,-0.781942,5.59212,0.104221,-0.151378,2585.11,-25.9986,15.0636,0
260,-25.9893,15.0312,-26.0856,15.1541,-0.796159,2.85148,0.0962591,-0.122863,2585.32,-25.9448,15.0581,0
270,-25.9971,15.0332,-26.0856,15.1541,-0.775075,0.196333,0.0885083,-0.1209,2585.76,-25.9909,15.0165,0
280,-25.997,15.0405,-26.0856,15.1541,0.00835789,0.736635,0.0885919,-0.113533,2586.5,-26.0994,15.0188,0
290,-25.9943,15.0405,-26.0856,15.1541,0.275455,-0.00686856,0.0913465,-0.113602,2587.51,-26.1118,15.0436,0
300,-25.9953,15.0355,-26.0856,15.1541,-0.100497,-0.497471,0.0903415,-0.118577,2588.61,-25.9915,15.091,0
310,-26.0159,15.0308,-26.0856,15.1541,-2.06877,-0.470581,0.0696538,-0.123283,2589.68,-25.9319,15.0447,0
320,-26.0019,15.0281,-26.0856,15.1541,1.40847,-0.267749,0.0837386,-0.12596,2590.99,-25.9759,15.0307,0
330,-25.9995,14.9921,-26.0856,15.1541,0.237018,-3.60154,0.0861088,-0.161975,2593.8,-26.0441,14.956,0
340,-25.9936,14.9439,-26.0856,15.1541,0.586559,-4.8207,0.0919743,-0.210182,2599.99,-26.0743,14.8085,0
350,-26.0091,14.942,-26.0856,15.1541,-1.54847,-0.187239,0.0764896,-0.212055,2609.19,-25.9614,14.9502,0
360,-26.0288,14.9233,-26.0856,15.1541,-1.97356,-1.87038,0.056754,-0.230759,2617.77,-25.9687,14.9081,0
370,-26.0438,14.9165,-26.0856,15.1541,-1.49288,-0.676513,0.0418252,-0.237524,2623,-26.1644,15.0047,0
380,-26.0416,14.9159,-26.0856,15.1541,0.21372,-0.0675198,0.0439624,-0.238199,2625.8,-26.1123,14.9126,0
390,-26.0412,14.9104,-26.0856,15.1541,0.0480578,-0.545951,0.0444429,-0.243658,2628.55,-26.0442,14.8022,0
400,-26.0403,14.9055,-26.0856,15.1541,0.0861493,-0.487076,0.0453044,-0.248529,2632.94,-25.9712,14.9259,0
410,-26.0158,14.9039,-26.0856,15.1541,2.44768,-0.160433,0.0697812,-0.250133,2638.88,-25.943,14.886,0
420,-25.9849,14.9067,-26.0856,15.1541,3.09028,0.278433,0.100684,-0.247349,2644.71,-25.8986,14.8935,0
430,-25.9733,14.8974,-26.0856,15.1541,1.16592,-0.934264,0.112343,-0.256692,2650.04,-26.0226,14.991,0
440,-25.9548,14.8944,-26.0856,15.1541,1.84724,-0.299137,0.130816,-0.259683,2656.42,-25.846,14.9719,0
450,-25.973,14.888,-26.0856,15.1541,-1.82353,-0.637427,0.11258,-0.266057,2663.82,-26.1119,14.7909,0
460,-25.9757,14.8443,-26.0856,15.1541,-0.26705,-4.36939,0.10991,-0.309751,2670.46,-25.9509,14.7037,0
470,-25.9746,14.8423,-26.0856,15.1541,0.104965,-0.198688,0.110959,-0.311738,2676.28,-25.9863,14.853,0
480,-25.9742,14.8424,-26.0856,15.1541,0.0440428,0.006109,0.1114,-0.311677,2683.26,-25.9515,14.7534,0
490,-25.9652,14.8457,-26.0856,15.1541,0.896224,0.33133,0.120362,-0.308364,2692.19,-25.9801,14.8859,0
500,-25.963,14.8877,-26.0856,15.1541,0.224454,4.20034,0.122607,-0.26636,2701.41,-26.1193,14.9143,0
510,-25.9569,14.8891,-26.0856,15.1541,0.613794,0.143981,0.128745,-0.264921,2709.48,-25.9399,15.0211,0
520,-25.9562,14.8887,-26.0856,15.1541,0.0616859,-0.0459762,0.129361,-0.26538,2717.2,-25.8956,14.8887,0
530,-25.9483,14.8787,-26.0856,15.1541,0.797546,-0.998048,0.137337,-0.275361,2725.46,-25.957,14.8345,0
540,-25.9486,14.8794,-26.0856,15.1541,-0.0354014,0.0719773,0.136983,-0.274641,2733.84,-25.9844,14.8282,0
550,-25.967,14.8624,-26.0856,15.1541,-1.83563,-1.69773,0.118627,-0.291618,2741.86,-25.8558,14.7912,0
560,-25.9836,14.8625,-26.0856,15.1541,-1.65772,0.00550337,0.102049,-0.291563,2748.71,-26.0804,14.927,0
570,-25.9923,14.8581,-26.0856,15.1541,-0.870996,-0.443818,0.0933394,-0.296001,2753.21,-25.992,14.7063,0
580,-25.9921,14.872,-26.0856,15.1541,0.0177873,1.38852,0.0935173,-0.282116,2755.52,-26.0101,14.9862,0
590,-25.9903,14.8915,-26.0856,15.1541,0.17381,1.95677,0.0952554,-0.262549,2756.98,-26.0144,14.8553,0
600,-25.9663,14.8708,-26.0856,15.1541,2.40625,-2.07658,0.119318,-0.283314,2758.74,-25.8771,14.8535,0
610,-25.9157,14.8645,-26.0856,15.1541,5.0578,-0.62434,0.169896,-0.289558,2761.03,-25.9583,14.9019,0
620,-25.8937,14.8502,-26.0856,15.1541,2.19846,-1.43091,0.19188,-0.303867,2763.2,-25.9113,14.8486,0
630,-25.8933,14.8605,-26.0856,15.1541,0.0393539,1.03476,0.192274,-0.293519,2764.91,-25.8776,14.6888,0
640,-25.9146,14.8622,-26.0856,15.1541,-2.12345,0.166905,0.171039,-0.29185,2766.79,-25.8505,14.8101,0
650,-25.9401,14.8584,-26.0856,15.1541,-2.55258,-0.37707,0.145514,-0.295621,2769.3,-26.0862,14.9684,0
660,-26.0241,14.8541,-26.0856,15.1541,-8.40053,-0.431959,0.0615083,-0.299941,2771.77,-26.606,14.9772,0
670,-26.0779,14.8549,-26.0856,15.1541,-5.38234,0.0797101,0.00768492,-0.299143,2773.3,-26.1028,14.8741,0
680,-26.0957,14.8608,-26.0856,15.1541,-1.78053,0.59204,-0.0101204,-0.293223,2773.81,-26.0717,14.8007,0
690,-26.1042,14.8438,-26.0856,15.1541,-0.843428,-1.70905,-0.0185547,-0.310314,2773.73,-26.1444,14.7173,0
700,-26.1064,14.8085,-26.0856,15.1541,-0.22841,-3.5206,-0.0208388,-0.34552,2773.37,-26.0749,14.8486,0
710,-26.1234,14.8083,-26.0856,15.1541,-1.69888,-0.0225101,-0.0378276,-0.345745,2772.66,-26.1399,14.7046,0
720,-26.162,14.8159,-26.0856,15.1541,-3.8551,0.758183,-0.0763787,-0.338163,2770.93,-26.2405,14.6998,0
730,-26.1928,14.8517,-26.0856,15.1541,-3.08353,3.58112,-0.107214,-0.302352,2767.75,-26.2783,14.8601,0
740,-26.2124,14.8548,-26.0856,15.1541,-1.95973,0.308105,-0.126811,-0.299271,2763.8,-26.264,14.8569,0
750,-26.2135,14.8625,-26.0856,15.1541,-0.112087,0.772708,-0.127932,-0.291544,2759.75,-26.2008,14.8786,0
760,-26.2254,14.8914,-26.0856,15.1541,-1.18985,2.88828,-0.139831,-0.262661,2755.16,-26.2213,14.9503,0
770,-26.211,14.9089,-26.0856,15.1541,1.44132,1.74652,-0.125417,-0.245196,2750.07,-26.1617,14.9467,0
780,-26.1917,14.9322,-26.0856,15.1541,1.93475,2.33445,-0.10607,-0.221851,2745.78,-26.2215,15.1094,0
790,-26.1961,14.9871,-26.0856,15.1541,-0.441854,5.48365,-0.110488,-0.167015,2742.78,-26.1487,14.8987,0
800,-26.1693,15.0342,-26.0856,15.1541,2.67903,4.71482,-0.0836982,-0.119866,2740.39,-26.1029,14.9375,0
810,-26.1629,15.0719,-26.0856,15.1541,0.636168,3.77397,-0.0773365,-0.0821267,2738.44,-26.2074,15.1819,0
820,-26.1517,15.0393,-26.0856,15.1541,1.12848,-3.26751,-0.0660517,-0.114802,2737.25,-26.1043,15.144,0
830,-26.1554,15.0449,-26.0856,15.1541,-0.372138,0.567837,-0.0697731,-0.109123,2736.73,-26.146,15.1686,0
840,-26.1547,15.0449,-26.0856,15.1541,0.0720373,-0.000612569,-0.0690527,-0.10913,2736.55,-26.1482,15.0308,0
850,-26.1505,15.0387,-26.0856,15.1541,0.415617,-0.623773,-0.0648966,-0.115367,2736.31,-26.1915,15.0487,0
860,-26.15,15.0384,-26.0856,15.1541,0.0485962,-0.0294328,-0.0644106,-0.115662,2735.56,-26.1745,14.9238,0
870,-26.1428,15.0409,-26.0856,15.1541,0.720618,0.246277,-0.0572044,-0.113199,2733.78,-26.0803,14.939,0
880,-26.1363,15.1085,-26.0856,15.1541,0.651258,6.75931,-0.0506918,-0.0456058,2731.1,-26.0624,15.2562,0
890,-26.1351,15.1348,-26.0856,15.1541,0.120179,2.63539,-0.04949,-0.0192519,2728.55,-26.1278,15.2423,0
900,-26.1352,15.1359,-26.0856,15.1541,-0.0115004,0.103996,-0.049605,-0.0182119,2726.81,-26.336,15.189,0
910,-26.1389,15.1343,-26.0856,15.1541,-0.373081,-0.15269,-0.0533359,-0.0197388,2725.47,-26.1507,14.9579,0
920,-26.1433,15.0929,-26.0856,15.1541,-0.433847,-4.1425,-0.0576743,-0.0611638,2723.66,-26.2045,15.0211,0
930,-26.1458,15.0603,-26.0856,15.1541,-0.255312,-3.26448,-0.0602275,-0.0938086,2721.07,-26.139,15.1593,0
940,-26.155,15.0331,-26.0856,15.1541,-0.91747,-2.71106,-0.0694022,-0.120919,2718.2,-26.1469,15.0464,0
950,-26.1554,15.0235,-26.0856,15.1541,-0.0372042,-0.962768,-0.0697742,-0.130547,2715.35,-26.0641,14.9577,0
960,-26.1481,15.0031,-26.0856,15.1541,0.729952,-2.03932,-0.0624747,-0.15094,2711.69,-26.1857,15.0178,0
970,-26.1468,15.0011,-26.0856,15.1541,0.123084,-0.198982,-0.0612438,-0.15293,2706.64,-26.1755,15.1264,0
980,-26.1251,14.9748,-26.0856,15.1541,2.17376,-2.6381,-0.0395062,-0.179311,2701.39,-26.1062,14.8765,0
990,-26.1004,14.9452,-26.0856,15.1541,2.46957,-2.95367,-0.0148105,-0.208848,2696.63,-26.0232,15.0565,0
1000,-26.0926,14.8919,-26.0856,15.1541,0.784085,-5.33437,-0.00696969,-0.262191,2691.56,-26.0043,14.8235,0
1010,-26.0795,14.8613,-26.0856,15.1541,1.30497,-3.0611,0.00607998,-0.292802,2686.52,-26.1666,14.8716,0
1020,-26.0803,14.8409,-26.0856,15.1541,-0.0756627,-2.03516,0.00532336,-0.313154,2682.93,-26.1987,14.9527,0
1030,-26.0961,14.8322,-26.0856,15.1541,-1.5871,-0.868026,-0.0105476,-0.321834,2681.12,-26.0134,14.7972,0
1040,-26.1377,14.8261,-26.0856,15.1541,-4.15511,-0.618239,-0.0520987,-0.328016,2680.34,-26.1771,14.7748,0
1050,-26.1789,14.8245,-26.0856,15.1541,-4.11642,-0.155908,-0.0932629,-0.329575,2679.98,-26.1911,14.7976,0
1060,-26.2153,14.8092,-26.0856,15.1541,-3.64462,-1.53178,-0.129709,-0.344893,2679.68,-26.2772,14.8235,0
1070,-26.2175,14.7907,-26.0856,15.1541,-0.21684,-1.84314,-0.131878,-0.363325,2679.29,-26.2909,14.8409,0
1080,-26.2167,14.8093,-26.0856,15.1541,0.0728716,1.85286,-0.131149,-0.344796,2678.84,-26.1365,14.7125,0
1090,-26.213,14.8285,-26.0856,15.1541,0.377961,1.92618,-0.127369,-0.325534,2678.47,-26.224,14.7793,0
1100,-26.1715,14.8734,-26.0856,15.1541,4.14852,4.48671,-0.085884,-0.280667,2678.27,-26.1289,15.0403,0
1110,-26.1454,14.9704,-26.0856,15.1541,2.60993,9.69933,-0.0597847,-0.183674,2678.19,-26.0622,15.0597,0
1120,-26.1161,15.0395,-26.0856,15.1541,2.93129,6.90937,-0.0304718,-0.11458,2678.21,-26.1546,15.1015,0
1130,-26.1023,15.0415,-26.0856,15.1541,1.38119,0.20205,-0.01666,-0.11256,2678.41,-26.1024,15.0326,0
1140,-26.1027,15.041,-26.0856,15.1541,-0.0398301,-0.0550517,-0.0170583,-0.11311,2678.97,-26.083,15.0787,0
1150,-26.1243,15.0283,-26.0856,15.1541,-2.16895,-1.26088,-0.0387478,-0.125719,2680.01,-26.1018,15.0111,0
1160,-26.1284,15.0072,-26.0856,15.1541,-0.40302,-2.11434,-0.042778,-0.146862,2681.59,-26.1961,14.9935,0
1170,-26.1806,15.009,-26.0856,15.1541,-5.22062,0.176036,-0.0949842,-0.145102,2683.68,-26.2385,14.9672,0
1180,-26.192,14.9909,-26.0856,15.1541,-1.1453,-1.80795,-0.106437,-0.163182,2685.72,-26.1151,14.8266,0
