Resolution,1920,1080,Distance,1,Width,1,Subject,V003GCETSIDI,Test,CC9-12162016-104824,Calibration,CC9-12162016-104824,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171618
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-44.4575,21.7825,-26.0856,15.1541,0,0,-18.3719,6.62842,5429.51,-44.4434,21.778,2
20,-44.4575,21.7825,-26.0856,15.1541,0,0,-18.3719,6.62842,5429.51,-44.4434,21.778,0
30,-44.7972,21.9038,-26.0856,15.1541,-33.9678,12.1308,-18.7116,6.74973,5429.51,-45.1395,22.0347,0
40,-45.2385,22.3062,-26.0856,15.1541,-44.1352,40.2366,-19.1529,7.1521,5429.51,-45.5665,23.1289,0
50,-45.513,22.9401,-26.0856,15.1541,-27.4449,63.3939,-19.4274,7.78604,5717.71,-45.8587,23.5823,0
60,-45.603,23.0072,-26.0856,15.1541,-9.00283,6.70946,-19.5174,7.85313,5771.01,-45.8596,24.2333,0
70,-45.636,23.3935,-26.0856,15.1541,-3.29863,38.6325,-19.5504,8.23945,5781.17,-45.8596,24.2333,2
80,-45.6403,23.4928,-26.0856,15.1541,-0.432845,9.93107,-19.5547,8.33877,5787.1,-44.622,22.0132,0
90,-45.5859,23.7872,-26.0856,15.1541,5.43959,29.4408,-19.5003,8.63317,5792.12,-45.3285,22.9029,0
100,-45.5573,23.7923,-26.0856,15.1541,2.86305,0.507669,-19.4717,8.63825,5795.69,-45.4522,23.912,0
110,-45.5533,23.7912,-26.0856,15.1541,0.396315,-0.116337,-19.4677,8.63709,5798.78,-45.5828,24.1336,0
120,-45.4894,23.7724,-26.0856,15.1541,6.39904,-1.87629,-19.4038,8.61832,5802.01,-45.5828,24.1336,2
130,-45.2034,23.6074,-26.0856,15.1541,28.5988,-16.5025,-19.1178,8.4533,5805.23,-45.5828,24.1336,2
140,-37.4962,19.7655,-26.0856,15.1541,770.718,-384.187,-11.4106,4.61143,5809.52,-27.0473,15.6249,0
150,-27.4607,15.7428,-26.0856,15.1541,1003.55,-402.27,-1.3751,0.588737,5816.87,-26.8118,15.4608,0
160,-26.906,15.5036,-26.0856,15.1541,55.4709,-23.9158,-0.820393,0.34958,5826.97,-26.7844,15.5823,0
170,-26.8315,15.4295,-26.0856,15.1541,7.44664,-7.41035,-0.745927,0.275476,5836.92,-26.8764,15.3354,0
180,-26.7793,15.3511,-26.0856,15.1541,5.22081,-7.84426,-0.693719,0.197034,5844.39,-26.7788,15.3034,0
190,-26.7732,15.3075,-26.0856,15.1541,0.608291,-4.36063,-0.687636,0.153427,5849.62,-26.7669,15.2027,0
200,-26.7477,15.3019,-26.0856,15.1541,2.55729,-0.555672,-0.662063,0.147871,5854.2,-26.6766,15.3031,0
210,-26.6843,15.2943,-26.0856,15.1541,6.33287,-0.760527,-0.598734,0.140265,5859.04,-26.6346,15.1154,0
220,-26.6437,15.2922,-26.0856,15.1541,4.06332,-0.215119,-0.558101,0.138114,5864.13,-26.643,15.2915,0
230,-26.6347,15.2919,-26.0856,15.1541,0.900627,-0.0303408,-0.549095,0.137811,5868.75,-26.4859,15.3723,0
240,-26.6218,15.3002,-26.0856,15.1541,1.29408,0.835386,-0.536154,0.146165,5872.16,-26.6149,15.2921,0
250,-26.6049,15.2994,-26.0856,15.1541,1.68884,-0.0858039,-0.519266,0.145307,5874.45,-26.5895,15.1641,0
260,-26.5858,15.3141,-26.0856,15.1541,1.90508,1.4753,-0.500215,0.16006,5876.08,-26.4964,15.3129,0
270,-26.5763,15.3144,-26.0856,15.1541,0.948257,0.0272631,-0.490732,0.160332,5877.23,-26.5511,15.2146,0
280,-26.5539,15.3272,-26.0856,15.1541,2.2468,1.28147,-0.468264,0.173147,5878,-26.506,15.5011,0
290,-26.5364,15.333,-26.0856,15.1541,1.74913,0.576078,-0.450773,0.178908,5878.54,-26.5807,15.3662,0
300,-26.5299,15.3343,-26.0856,15.1541,0.64568,0.136086,-0.444316,0.180269,5879.01,-26.5518,15.2669,0
310,-26.5293,15.3464,-26.0856,15.1541,0.0592383,1.21039,-0.443724,0.192373,5879.46,-26.5078,15.3022,0
320,-26.5282,15.3341,-26.0856,15.1541,0.10744,-1.23046,-0.442649,0.180068,5879.83,-26.5307,15.4564,0
330,-26.5156,15.3303,-26.0856,15.1541,1.26393,-0.382235,-0.43001,0.176246,5880.21,-26.5012,15.3621,0
340,-26.5137,15.3184,-26.0856,15.1541,0.190118,-1.18673,-0.428109,0.164378,5880.64,-26.3864,15.2916,0
350,-26.4922,15.2969,-26.0856,15.1541,2.15516,-2.14996,-0.406557,0.142879,5880.98,-26.3662,15.1533,0
360,-26.4733,15.2627,-26.0856,15.1541,1.88527,-3.42543,-0.387704,0.108624,5881.24,-26.5196,15.103,0
