Resolution,1920,1080,Distance,58,Width,47.5,Subject,V006GCAURA,Test,TSVV-06212018-151557,Calibration,CC9-06212018-151454,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163930
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.739114,0.15271311904761897,0.0,0.0,0.0,0.0,0.739114,0.795959,9393.34,0.802127,0.792919,0.0
8.079,0.739114,0.15271311904761897,0.0,0.0,0.0,0.0,0.739114,0.795959,9393.34,0.675942,0.879643,0.0
20.062,0.678534,0.153532119047619,0.0,0.0,-5.05546,0.0684047,0.678534,0.796778,9393.34,0.676042,0.732631,0.0
28.227,0.675984,0.153567119047619,0.0,0.0,-0.312346,0.00424361,0.675984,0.796813,9393.34,0.647765,0.81177,0.0
40.21,0.676456,0.17529711904761902,0.0,0.0,0.0394053,1.81342,0.676456,0.818543,9414.93,0.651536,0.816809,0.0
48.282,0.68633,0.17965411904761897,0.0,0.0,1.22319,0.539671,0.68633,0.8229,9426.15,0.744247,0.842495,0.0
60.009,0.681121,0.182883119047619,0.0,0.0,-0.444174,0.275385,0.681121,0.826129,9439.89,0.750356,0.868156,0.0
68.002,0.681649,0.18400211904761898,0.0,0.0,0.066033,0.139986,0.681649,0.827248,9455.12,0.660825,0.833149,0.0
79.973,0.698338,0.183450119047619,0.0,0.0,1.39416,-0.0460813,0.698338,0.826696,9468.36,0.61715,0.873562,0.0
87.983,0.67658,0.18262911904761903,0.0,0.0,-2.71641,-0.102525,0.67658,0.825875,9476.53,0.63644,0.790067,0.0
100.015,0.653485,0.18036311904761904,0.0,0.0,-1.91939,-0.188378,0.653485,0.823609,9479.93,0.702264,0.852942,0.0
108.005,0.650031,0.17686111904761903,0.0,0.0,-0.432316,-0.438239,0.650031,0.820107,9480.94,0.661105,0.825361,0.0
120.008,0.653197,0.17449611904761897,0.0,0.0,0.263732,-0.19707,0.653197,0.817742,9481.26,0.640869,0.852881,0.0
127.993,0.668951,0.174196119047619,0.0,0.0,1.97299,-0.0375176,0.668951,0.817442,9481.38,0.647421,0.77255,0.0
140.084,0.67079,0.176150119047619,0.0,0.0,0.152095,0.161618,0.67079,0.819396,9481.4,0.748758,0.734945,0.0
147.995,0.696951,0.178910119047619,0.0,0.0,3.30686,0.348856,0.696951,0.822156,9481.35,0.722446,0.775126,0.0
160.008,0.698104,0.18190711904761903,0.0,0.0,0.0959716,0.249449,0.698104,0.825153,9481.15,0.638892,0.892721,0.0
167.995,0.696415,0.185682119047619,0.0,0.0,-0.21141,0.472662,0.696415,0.828928,9480.44,0.711234,0.846235,0.0
180.002,0.656405,0.19215411904761903,0.0,0.0,-3.33221,0.539082,0.656405,0.8354,9478.62,0.615897,0.804721,0.0
188.08,0.619195,0.19996411904761902,0.0,0.0,-4.60639,0.966731,0.619195,0.84321,9475.56,0.6073,0.869507,0.0
200.016,0.575222,0.20789611904761895,0.0,0.0,-3.68406,0.664548,0.575222,0.851142,9472.22,0.520426,0.863822,0.0
211.985,0.531,0.21547711904761901,0.0,0.0,-3.69472,0.633368,0.531,0.858723,9469.87,0.512865,0.84297,0.0
220.002,0.516522,0.221986119047619,0.0,0.0,-1.8059,0.811939,0.516522,0.865232,9468.81,0.538852,0.796798,0.0
