Resolution,1920,1080,Distance,27,Width,48,Subject,AURA22,Test,CA9-04032017-110147,Calibration,CA9-04032017-110147,Oscann, 4.0.7,libTracker, 1.0.7,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-40.8477,25.9805,-41.0353,25.71,0,0,0.187609,0.270526,2537.67,-40.7792,26.2743,0
12,-40.8477,25.9805,-41.0353,25.71,0,0,0.187609,0.270526,2537.67,-41.0463,25.5303,0
19,-41.024,25.635,-41.0353,25.71,-25.1867,-49.3523,0.0113023,-0.0749403,2537.67,-41.2494,25.8323,0
32,-41.1577,25.5474,-41.0353,25.71,-10.2826,-6.73932,-0.122371,-0.162551,2537.67,-41.2989,25.5845,0
39,-41.1618,25.4928,-41.0353,25.71,-0.584296,-7.80224,-0.126462,-0.217167,2541.82,-41.2547,25.4553,0
51,-41.1562,25.4294,-41.0353,25.71,0.47133,-5.28022,-0.120806,-0.28053,2542.03,-41.1745,25.2602,0
59,-41.0626,25.4194,-41.0353,25.71,11.6925,-1.25628,-0.0272654,-0.29058,2541.87,-40.9038,25.3434,0
71,-40.9451,25.3446,-41.0353,25.71,9.79237,-6.23462,0.090243,-0.365395,2541.32,-40.9386,25.0838,0
79,-40.9378,25.2601,-41.0353,25.71,0.907289,-10.5583,0.0975013,-0.449862,2540.34,-40.9121,25.5446,0
91,-40.9364,25.1924,-41.0353,25.71,0.119431,-5.64396,0.0989345,-0.517589,2539.08,-40.99,25.3623,0
99,-40.9496,25.1928,-41.0353,25.71,-1.64437,0.0489828,0.0857795,-0.517198,2537.69,-40.9118,24.9295,0
111,-41.0242,25.2526,-41.0353,25.71,-6.21758,4.98773,0.0111685,-0.457345,2536.06,-41.0891,24.9613,0
119,-41.0681,25.1987,-41.0353,25.71,-5.48425,-6.73602,-0.0327055,-0.511233,2533.96,-41.1981,25.3218,0
131,-41.1185,25.2061,-41.0353,25.71,-4.20167,0.614413,-0.0831255,-0.50386,2531.32,-41.3183,25.3036,0
139,-41.1224,25.2221,-41.0353,25.71,-0.493598,1.99724,-0.0870743,-0.487882,2528.41,-41.032,24.9144,0
151,-41.1539,25.2245,-41.0353,25.71,-2.62216,0.200478,-0.11854,-0.485476,2525.86,-41.3058,25.3535,0
163,-41.1552,25.2034,-41.0353,25.71,-0.109784,-1.75336,-0.119858,-0.506517,2524.22,-41.0154,25.1921,0
171,-41.167,25.2031,-41.0353,25.71,-1.47535,-0.0451316,-0.13166,-0.506878,2523.42,-41.0257,25.1975,0
183,-41.1709,25.2033,-41.0353,25.71,-0.327895,0.0157945,-0.135595,-0.506688,2523.04,-41.3314,24.9072,0
191,-41.249,25.2064,-41.0353,25.71,-9.75943,0.389636,-0.213671,-0.503571,2522.77,-41.5546,25.3615,0
203,-41.2624,25.1919,-41.0353,25.71,-1.11936,-1.2072,-0.227103,-0.518058,2522.29,-41.0624,25.1429,0
211,-41.2596,25.185,-41.0353,25.71,0.351801,-0.861329,-0.224289,-0.524948,2521.15,-41.6128,25.5148,0
223,-41.1893,25.1805,-41.0353,25.71,5.86458,-0.378434,-0.153914,-0.529489,2518.95,-41.1936,24.9838,0
231,-41.1856,25.159,-41.0353,25.71,0.459964,-2.68047,-0.150234,-0.550933,2515.24,-41.1736,25.1914,0
243,-41.1846,25.123,-41.0353,25.71,0.0824787,-3.00422,-0.149244,-0.586984,2509.29,-41.0272,25.1345,0
251,-41.1789,25.0642,-41.0353,25.71,0.711602,-7.34943,-0.143551,-0.645779,2501.21,-41.4744,25.0274,0
263,-41.0801,25.0569,-41.0353,25.71,8.23515,-0.605787,-0.0447295,-0.653049,2492.71,-40.7382,24.665,0
271,-40.9492,25.0507,-41.0353,25.71,16.3564,-0.773832,0.0861217,-0.659239,2485.21,-40.9657,25.0685,0
283,-40.9316,25.0521,-41.0353,25.71,1.47089,0.112277,0.103772,-0.657892,2479.15,-40.9999,25.2552,0
291,-40.9328,25.065,-41.0353,25.71,-0.157034,1.61525,0.102516,-0.64497,2475.03,-40.8523,25.0656,0
303,-40.9655,25.1182,-41.0353,25.71,-2.72588,4.43836,0.0698055,-0.59171,2472.8,-40.9118,25.0285,0
311,-40.9355,25.2042,-41.0353,25.71,3.75324,10.7507,0.0998314,-0.505705,2471.36,-41.4618,25.6246,0
323,-40.9082,25.244,-41.0353,25.71,2.27956,3.3086,0.127186,-0.466001,2469.94,-41.6869,25.0819,0
331,-40.8839,25.3539,-41.0353,25.71,3.03324,13.7469,0.151452,-0.356026,2468.57,-40.6596,25.6934,0
343,-40.8007,25.3996,-41.0353,25.71,6.93462,3.80943,0.234667,-0.310313,2467.51,-40.9108,25.4595,0
351,-40.7677,25.4014,-41.0353,25.71,4.12627,0.225401,0.267678,-0.30851,2466.73,-40.715,25.3849,0
363,-40.7506,25.4016,-41.0353,25.71,1.42305,0.0111584,0.284754,-0.308376,2466.01,-40.7853,25.4386,0
371,-40.7493,25.3913,-41.0353,25.71,0.159132,-1.28293,0.286027,-0.31864,2465.12,-40.9374,25.1377,0
383,-40.7427,25.3906,-41.0353,25.71,0.552029,-0.0635531,0.292652,-0.319402,2463.56,-40.4654,25.379,0
391,-40.7424,25.3905,-41.0353,25.71,0.0363157,-0.0017134,0.292942,-0.319416,2460.48,-40.3291,25.1266,0
403,-40.7469,25.3923,-41.0353,25.71,-0.378163,0.146528,0.288404,-0.317658,2455.87,-41.0337,25.6336,0
415,-40.8541,25.4308,-41.0353,25.71,-8.93402,3.21006,0.181196,-0.279137,2451.3,-41.0015,25.3497,0
423,-40.9515,25.399,-41.0353,25.71,-12.1662,-3.97089,0.0838664,-0.310904,2448.29,-41.0085,25.292,0
435,-40.9558,25.4059,-41.0353,25.71,-0.358712,0.568837,0.0795619,-0.304078,2446.8,-40.8385,25.598,0
443,-40.9546,25.3645,-41.0353,25.71,0.144578,-5.16996,0.0807185,-0.345438,2446.11,-40.9371,25.3019,0
455,-40.9564,25.4272,-41.0353,25.71,-0.146208,5.22277,0.078964,-0.282764,2445.77,-40.7864,25.2243,0
463,-40.9573,25.4894,-41.0353,25.71,-0.119923,7.77176,0.0780046,-0.22059,2445.58,-40.7861,25.3709,0
475,-40.9384,25.5088,-41.0353,25.71,1.57552,1.62187,0.0969109,-0.201128,2445.41,-40.9971,25.6912,0
483,-40.9072,25.6273,-41.0353,25.71,3.90225,14.8106,0.128129,-0.082643,2445.15,-40.9998,25.6328,0
495,-40.9128,25.6328,-41.0353,25.71,-0.464713,0.458806,0.122552,-0.0771374,2444.88,-40.8775,25.4653,0
503,-40.9142,25.6313,-41.0353,25.71,-0.180107,-0.195257,0.121111,-0.0786994,2444.63,-40.7921,25.6395,0
515,-40.8874,25.593,-41.0353,25.71,2.23498,-3.1857,0.147931,-0.116928,2444.3,-40.975,25.4055,0
523,-40.8383,25.593,-41.0353,25.71,6.14117,0.000472148,0.197061,-0.116924,2443.79,-40.8927,25.6607,0
535,-40.787,25.5947,-41.0353,25.71,4.27732,0.139234,0.248388,-0.115253,2443.17,-40.629,25.323,0
543,-40.7711,25.5992,-41.0353,25.71,1.97921,0.560536,0.264222,-0.110769,2442.66,-40.7825,25.681,0
555,-40.7718,25.646,-41.0353,25.71,-0.0604217,3.898,0.263497,-0.0639929,2442.14,-40.7426,25.6339,0
563,-40.773,25.6593,-41.0353,25.71,-0.142495,1.66228,0.262357,-0.0506947,2440.97,-40.6146,25.6575,0
575,-40.7953,25.7116,-41.0353,25.71,-1.85918,4.36473,0.240047,0.00168207,2438.07,-40.8609,25.7925,0
583,-40.8815,25.7753,-41.0353,25.71,-10.7782,7.96384,0.153821,0.0653928,2433.08,-41.2618,25.7787,0
595,-40.9754,25.8013,-41.0353,25.71,-7.81949,2.16011,0.0599869,0.0913141,2427.79,-41.4688,25.8692,0
603,-41.0332,25.8158,-41.0353,25.71,-7.23427,1.81416,0.00211281,0.105827,2424.34,-40.9692,26.1403,0
615,-41.1823,25.8234,-41.0353,25.71,-12.4231,0.632766,-0.146964,0.113421,2422.83,-40.9885,25.5787,0
623,-41.2992,25.828,-41.0353,25.71,-14.6083,0.577222,-0.263831,0.118038,2422.09,-41.3286,25.9314,0
635,-41.3038,25.8042,-41.0353,25.71,-0.383427,-1.97914,-0.268432,0.0942886,2421.28,-41.2812,25.787,0
643,-41.3135,25.7738,-41.0353,25.71,-1.21313,-3.80542,-0.278137,0.0638453,2420.15,-41.3872,25.728,0
655,-41.3289,25.7717,-41.0353,25.71,-1.28456,-0.173308,-0.293552,0.0617656,2418.88,-41.2756,25.59,0
667,-41.3345,25.7719,-41.0353,25.71,-0.471042,0.0172007,-0.299204,0.061972,2417.67,-41.3963,25.7103,0
675,-41.3374,25.7753,-41.0353,25.71,-0.356358,0.427144,-0.302055,0.0653891,2416.72,-41.1373,26.0066,0
687,-41.3472,25.8504,-41.0353,25.71,-0.820395,6.25588,-0.3119,0.14046,2416.18,-41.4237,25.8695,0
695,-41.3477,25.8537,-41.0353,25.71,-0.0535561,0.412022,-0.312328,0.143756,2416.06,-41.3571,25.9754,0
707,-41.3474,25.8455,-41.0353,25.71,0.0206513,-0.685813,-0.31208,0.135526,2416.15,-41.4333,26.0716,0
715,-41.3402,25.6479,-41.0353,25.71,0.898472,-24.6996,-0.304893,-0.0620706,2416.35,-41.3143,25.3332,0
727,-41.303,25.4115,-41.0353,25.71,3.10288,-19.695,-0.267658,-0.29841,2416.75,-41.2376,25.4164,0
735,-41.2742,25.4,-41.0353,25.71,3.5952,-1.4379,-0.238896,-0.309913,2417.47,-41.1226,25.3207,0
747,-41.2593,25.3969,-41.0353,25.71,1.24146,-0.259554,-0.223999,-0.313028,2418.31,-41.3731,25.4378,0
