Resolution,1920,1080,Distance,27,Width,48,Subject,AURA25,Test,TSMH-04042017-163425,Calibration,CA9-04042017-163354,Oscann, 4.0.7,libTracker, 1.0.7,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,-0.6040685081661222,-1.00194,0.0,0.0,0.0,0.0,0.157502,-1.00194,5221.07,0.15543,-1.06471,0.0
8.0,-0.6040685081661222,-1.00194,0.0,0.0,0.0,0.0,0.157502,-1.00194,5221.07,0.125788,-1.10043,0.0
20.0,-0.6040655081661223,-1.00194,0.0,0.0,0.00025148,-5.66013e-06,0.157505,-1.00194,5221.07,0.180973,-0.966922,0.0
28.0,-0.6041275081661223,-1.00194,0.0,0.0,-0.0077616,0.000174692,0.157443,-1.00194,5221.07,0.0453977,-0.85541,0.0
40.0,-0.6056625081661222,-0.966102,0.0,0.0,-0.127918,2.98669,0.155908,-0.966102,5222.75,0.43159,-0.673406,0.0
48.0,-0.6379105081661223,-0.945148,0.0,0.0,-4.03107,2.61926,0.12366,-0.945148,5218.68,0.0966557,-0.887556,0.0
60.0,-0.7110819081661223,-0.931832,0.0,0.0,-6.09758,1.10964,0.0504886,-0.931832,5215.93,-0.162607,-0.746875,0.0
68.0,-0.7141444081661222,-0.928355,0.0,0.0,-0.382818,0.434672,0.0474261,-0.928355,5214.65,-0.0991691,-1.01869,0.0
80.0,-0.7122366081661222,-0.933397,0.0,0.0,0.158986,-0.420175,0.0493339,-0.933397,5214.32,0.0215938,-0.947839,0.0
88.0,-0.6615849081661223,-0.949832,0.0,0.0,6.33147,-2.05436,0.0999856,-0.949832,5214.54,0.215179,-0.81661,0.0
100.0,-0.5694775081661223,-0.975187,0.0,0.0,7.67563,-2.11295,0.192093,-0.975187,5215.45,0.231304,-0.607682,0.0
108.0,-0.5658805081661222,-0.99584,0.0,0.0,0.4496,-2.58162,0.19569,-0.99584,5217.2,0.149127,-1.09244,0.0
120.0,-0.5599095081661223,-1.0044,0.0,0.0,0.497562,-0.713738,0.201661,-1.0044,5219.31,0.178232,-1.11942,0.0
128.0,-0.5661335081661223,-1.00303,0.0,0.0,-0.778002,0.171651,0.195437,-1.00303,5221.15,0.203673,-1.11767,0.0
140.0,-0.5669805081661222,-0.999617,0.0,0.0,-0.070535,0.284516,0.19459,-0.999617,5222.77,0.379625,-1.05503,0.0
148.0,-0.5752865081661223,-0.994011,0.0,0.0,-1.03823,0.700749,0.186284,-0.994011,5224.93,0.181049,-0.94136,0.0
160.0,-0.6029935081661223,-0.977547,0.0,0.0,-2.30893,1.37206,0.158577,-0.977547,5228.36,0.0838047,-1.16065,0.0
172.0,-0.6031245081661223,-0.944352,0.0,0.0,-0.0109061,2.76625,0.158446,-0.944352,5232.78,-0.0153155,-0.594391,0.0
180.0,-0.6005775081661222,-0.901076,0.0,0.0,0.318383,5.40942,0.160993,-0.901076,5237.08,0.0210519,-0.847113,0.0
192.0,-0.5714975081661222,-0.864446,0.0,0.0,2.42326,3.05255,0.190073,-0.864446,5240.55,0.251513,-0.484833,0.0
200.0,-0.5143125081661223,-0.841716,0.0,0.0,7.1482,2.84123,0.247258,-0.841716,5243.67,0.275233,-0.908613,0.0
212.0,-0.4999385081661223,-0.827797,0.0,0.0,1.19783,1.15989,0.261632,-0.827797,5247.93,0.290154,-0.853162,0.0
220.0,-0.49472350816612226,-0.817506,0.0,0.0,0.651828,1.28648,0.266847,-0.817506,5254.68,0.269336,-0.691488,0.0
232.0,-0.49070050816612226,-0.806975,0.0,0.0,0.335279,0.877577,0.27087,-0.806975,5264.01,0.584441,-0.799284,0.0
240.0,-0.47845350816612225,-0.797373,0.0,0.0,1.53082,1.20016,0.283117,-0.797373,5274.57,0.243837,-0.880792,0.0
252.0,-0.45625950816612226,-0.791094,0.0,0.0,1.84951,0.523292,0.305311,-0.791094,5284.66,0.270391,-0.86899,0.0
260.0,-0.3965885081661223,-0.787319,0.0,0.0,7.45886,0.471906,0.364982,-0.787319,5293.52,0.313946,-0.785499,0.0
272.0,-0.39397950816612226,-0.781105,0.0,0.0,0.217477,0.51778,0.367591,-0.781105,5302.25,0.529087,-0.774025,0.0
280.0,-0.3920285081661223,-0.772226,0.0,0.0,0.243812,1.10992,0.369542,-0.772226,5313.6,0.58253,-0.534086,0.0
292.0,-0.35381450816612225,-0.761403,0.0,0.0,3.1845,0.901882,0.407756,-0.761403,5328.86,0.315101,-0.727395,0.0
300.0,-0.35476250816612226,-0.747379,0.0,0.0,-0.118524,1.75306,0.406808,-0.747379,5344.51,0.269058,-0.769769,0.0
312.0,-0.4242165081661223,-0.729446,0.0,0.0,-5.78783,1.4944,0.337354,-0.729446,5355.67,0.399484,-0.689745,0.0
320.0,-0.42868650816612225,-0.710244,0.0,0.0,-0.558741,2.4003,0.332884,-0.710244,5361.65,-0.0448001,-0.57822,0.0
332.0,-0.47145750816612225,-0.685536,0.0,0.0,-3.56422,2.05901,0.290113,-0.685536,5365.3,0.241991,-0.843558,0.0
340.0,-0.41326250816612226,-0.658249,0.0,0.0,7.27435,3.41083,0.348308,-0.658249,5369.33,0.560204,-0.741388,0.0
352.0,-0.39638650816612225,-0.632567,0.0,0.0,1.40636,2.14014,0.365184,-0.632567,5374.57,0.353178,-0.623588,0.0
360.0,-0.3952405081661223,-0.615808,0.0,0.0,0.143259,2.09489,0.36633,-0.615808,5380.01,-0.241967,-0.560587,0.0
372.0,-0.40028750816612224,-0.604621,0.0,0.0,-0.420632,0.93225,0.361283,-0.604621,5384.26,0.502098,-0.821476,0.0
380.0,-0.5225775081661223,-0.585799,0.0,0.0,-15.2862,2.3528,0.238993,-0.585799,5387.24,0.15229,-0.529145,0.0
392.0,-0.5180035081661223,-0.556348,0.0,0.0,0.381177,2.45421,0.243567,-0.556348,5389.91,0.17705,-0.595612,0.0
400.0,-0.5162075081661223,-0.513824,0.0,0.0,0.2244,5.3156,0.245363,-0.513824,5393.2,0.0565589,-0.325322,0.0
412.0,-0.5108945081661223,-0.468086,0.0,0.0,0.442758,3.81146,0.250676,-0.468086,5397.25,0.328617,-0.38804,0.0
424.0,-0.42149150816612224,-0.433063,0.0,0.0,7.45026,2.91862,0.340079,-0.433063,5401.65,0.422295,-0.349782,0.0
432.0,-0.38038250816612224,-0.407864,0.0,0.0,5.13866,3.14988,0.381188,-0.407864,5405.76,0.385567,-0.505663,0.0
444.0,-0.3490995081661223,-0.389117,0.0,0.0,2.60687,1.56225,0.412471,-0.389117,5408.93,0.154622,-0.316656,0.0
452.0,-0.33360450816612225,-0.376927,0.0,0.0,1.93689,1.52363,0.427966,-0.376927,5410.78,0.483507,-0.199038,0.0
464.0,-0.3400535081661223,-0.371304,0.0,0.0,-0.537368,0.46862,0.421517,-0.371304,5411.5,0.444998,-0.455018,0.0
472.0,-0.34133050816612226,-0.369258,0.0,0.0,-0.159704,0.255738,0.42024,-0.369258,5411.55,0.423272,-0.436694,0.0
484.0,-0.36569450816612226,-0.367309,0.0,0.0,-2.03027,0.162463,0.395876,-0.367309,5411.06,0.284649,-0.366889,0.0
492.0,-0.39217450816612226,-0.366668,0.0,0.0,-3.31006,0.0800545,0.369396,-0.366668,5409.95,0.289994,-0.204052,0.0
504.0,-0.42126950816612224,-0.368697,0.0,0.0,-2.42454,-0.169106,0.340301,-0.368697,5408.32,0.286045,-0.418121,0.0
512.0,-0.42216350816612225,-0.371309,0.0,0.0,-0.111846,-0.326396,0.339407,-0.371309,5406.29,0.38622,-0.29932,0.0
524.0,-0.4125125081661223,-0.372214,0.0,0.0,0.804253,-0.0754395,0.349058,-0.372214,5403.42,0.324171,-0.335959,0.0
532.0,-0.40905450816612227,-0.375845,0.0,0.0,0.432295,-0.45394,0.352516,-0.375845,5399.04,0.418526,-0.487007,0.0
544.0,-0.40281650816612224,-0.387327,0.0,0.0,0.519826,-0.956835,0.358754,-0.387327,5393.27,0.467883,-0.36864,0.0
552.0,-0.4244675081661223,-0.404454,0.0,0.0,-2.7064,-2.14076,0.337103,-0.404454,5387.07,0.325883,-0.470981,0.0
564.0,-0.42739550816612226,-0.422755,0.0,0.0,-0.243997,-1.52514,0.334175,-0.422755,5380.52,0.36316,-0.321309,0.0
572.0,-0.4594375081661223,-0.439266,0.0,0.0,-4.00523,-2.06381,0.302133,-0.439266,5373.12,0.273845,-0.461288,0.0
584.0,-0.46239250816612226,-0.454383,0.0,0.0,-0.246215,-1.25981,0.299178,-0.454383,5365.25,0.262316,-0.764192,0.0
592.0,-0.4870545081661223,-0.461809,0.0,0.0,-3.0828,-0.92826,0.274516,-0.461809,5356.76,0.205441,-0.645093,0.0
604.0,-0.48798350816612224,-0.460276,0.0,0.0,-0.0774222,0.127827,0.273587,-0.460276,5345.95,0.566972,-0.584925,0.0
612.0,-0.48553050816612225,-0.453545,0.0,0.0,0.306683,0.841369,0.27604,-0.453545,5331.43,0.212981,-0.345117,0.0
624.0,-0.4827245081661223,-0.446406,0.0,0.0,0.233776,0.594847,0.278846,-0.446406,5314.88,0.235872,-0.492239,0.0
