Resolution,1920,1080,Distance,58.5,Width,47.5,Subject,AURA33,Test,TIF3-04282017-093718,Calibration,CA9-04282017-093645,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-0.678618,-1.35042,0,0,0,0,-0.678618,-1.35042,5395.24,-0.675015,-1.37274,0
8,-0.678618,-1.35042,0,0,0,0,-0.678618,-1.35042,5395.24,-0.561771,-1.12865,0
20,-0.711281,-1.2941,0,0,-2.72186,4.69309,-0.711281,-1.2941,5395.24,-0.750224,-1.31991,0
28,-0.748392,-1.25686,0,0,-4.63888,4.65562,-0.748392,-1.25686,5395.24,-0.819571,-1.37658,0
40,-0.752443,-1.23308,0,0,-0.337582,1.98124,-0.752443,-1.23308,5400.76,-0.734786,-1.19047,0
48,-0.749023,-1.25522,0,0,0.427492,-2.76697,-0.749023,-1.25522,5399.34,-0.806433,-1.20081,0
60,-0.72652,-1.25602,0,0,1.87525,-0.0662295,-0.72652,-1.25602,5398.12,-0.710253,-1.21019,0
69,-0.69956,-1.32985,0,0,2.99558,-8.2037,-0.69956,-1.32985,5398.24,-0.609958,-1.53718,0
80,-0.681441,-1.35408,0,0,1.64717,-2.20243,-0.681441,-1.35408,5399.74,-0.765705,-1.36565,0
88,-0.674702,-1.40959,0,0,0.842374,-6.93996,-0.674702,-1.40959,5401.45,-0.69072,-1.4762,0
100,-0.678275,-1.41157,0,0,-0.297808,-0.164174,-0.678275,-1.41157,5402.87,-0.559473,-1.27199,0
108,-0.713181,-1.39193,0,0,-4.36321,2.45426,-0.713181,-1.39193,5402.58,-0.736578,-1.38239,0
120,-0.705227,-1.36015,0,0,0.662842,2.64801,-0.705227,-1.36015,5398.93,-0.867723,-1.48247,0
128,-0.742702,-1.36493,0,0,-4.68442,-0.596665,-0.742702,-1.36493,5392.52,-0.762348,-1.36196,0
