Resolution,1920,1080,Distance,58.5,Width,47.5,Subject,AURA41,Test,TSVV-05042017-115525,Calibration,CA9-05042017-115445,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,-0.591966,0.08161252173913047,0.0,0.0,0.0,0.0,-0.591966,1.05812,2391.56,-0.811391,1.14063,0.0
7.0,-0.591966,0.08161252173913047,0.0,0.0,0.0,0.0,-0.591966,1.05812,2391.56,-0.140665,0.86789,0.0
14.0,-0.597316,0.1269325217391305,0.0,0.0,-0.764269,6.4751,-0.597316,1.10344,2391.56,-0.54375,1.20094,0.0
26.0,-0.601127,0.15927252173913053,0.0,0.0,-0.317627,2.69426,-0.601127,1.13578,2391.56,-0.484485,1.07808,0.0
34.0,-0.531133,0.1350825217391306,0.0,0.0,8.74925,-3.02295,-0.531133,1.11159,2395.2,-0.154517,1.05708,0.0
47.0,-0.511757,0.12873252173913052,0.0,0.0,1.49052,-0.488691,-0.511757,1.10524,2395.25,-0.77264,1.22625,0.0
56.0,-0.505875,0.12694252173913056,0.0,0.0,0.65355,-0.198929,-0.505875,1.10345,2394.76,-0.520866,1.09923,0.0
68.0,-0.506689,0.14517252173913053,0.0,0.0,-0.0678974,1.51919,-0.506689,1.12168,2393.58,-0.348408,1.03013,0.0
76.0,-0.50391,0.1260325217391306,0.0,0.0,0.347365,-2.39194,-0.50391,1.10254,2391.78,-0.497095,1.19026,0.0
88.0,-0.501429,0.12294252173913056,0.0,0.0,0.206826,-0.257434,-0.501429,1.09945,2389.52,-0.733847,1.33976,0.0
96.0,-0.490535,0.09118252173913055,0.0,0.0,1.3617,-3.96998,-0.490535,1.06769,2386.25,-0.680798,1.12729,0.0
108.0,-0.472184,0.05578252173913045,0.0,0.0,1.52923,-2.95023,-0.472184,1.03229,2380.38,-0.260215,0.918784,0.0
116.0,-0.454519,0.04651252173913056,0.0,0.0,2.20819,-1.15943,-0.454519,1.02302,2371.18,-0.436662,1.01508,0.0
128.0,-0.441036,0.04000252173913055,0.0,0.0,1.12357,-0.542185,-0.441036,1.01651,2360.64,-0.289164,0.910365,0.0
136.0,-0.431998,0.02917252173913043,0.0,0.0,1.12968,-1.35416,-0.431998,1.00568,2351.49,-0.426835,1.08488,0.0
148.0,-0.428334,0.028082521739130617,0.0,0.0,0.305356,-0.0907335,-0.428334,1.00459,2344.28,-0.799251,1.25144,0.0
160.0,-0.427247,0.01893552173913049,0.0,0.0,0.0905825,-0.762025,-0.427247,0.995443,2337.84,-0.111198,0.84328,0.0
168.0,-0.429948,0.02087152173913054,0.0,0.0,-0.337634,0.242016,-0.429948,0.997379,2331.43,-0.466826,1.02547,0.0
180.0,-0.435798,0.02361252173913042,0.0,0.0,-0.487524,0.228468,-0.435798,1.00012,2325.61,-0.332535,0.945813,0.0
188.0,-0.447375,0.029132521739130612,0.0,0.0,-1.4471,0.690265,-0.447375,1.00564,2321.26,-0.355583,0.961091,0.0
200.0,-0.466534,0.04256252173913044,0.0,0.0,-1.59655,1.11891,-0.466534,1.01907,2318.61,-0.436916,1.01725,0.0
208.0,-0.489167,0.06021252173913061,0.0,0.0,-2.82915,2.20649,-0.489167,1.03672,2317.01,-0.601011,1.12455,0.0
220.0,-0.506989,0.07749252173913057,0.0,0.0,-1.48514,1.43982,-0.506989,1.054,2315.55,-0.578106,0.995491,0.0
228.0,-0.516062,0.09151252173913049,0.0,0.0,-1.13417,1.75219,-0.516062,1.06802,2313.58,-0.631165,1.12476,0.0
240.0,-0.521634,0.12313252173913047,0.0,0.0,-0.464303,2.63547,-0.521634,1.09964,2310.9,-0.734792,1.28249,0.0
248.0,-0.521174,0.1252925217391304,0.0,0.0,0.0574265,0.269823,-0.521174,1.1018,2307.86,-0.451276,0.990781,0.0
260.0,-0.521223,0.1505725217391306,0.0,0.0,-0.00408711,2.10668,-0.521223,1.12708,2305.19,-0.530409,1.23653,0.0
268.0,-0.516585,0.14837252173913063,0.0,0.0,0.579813,-0.274649,-0.516585,1.12488,2303.33,-0.303896,0.971051,0.0
280.0,-0.509214,0.11712252173913063,0.0,0.0,0.614248,-2.60462,-0.509214,1.09363,2301.9,-0.389971,1.12438,0.0
288.0,-0.503234,0.0846325217391305,0.0,0.0,0.747454,-4.06133,-0.503234,1.06114,2299.9,-0.502913,1.05352,0.0
300.0,-0.502363,0.08371252173913046,0.0,0.0,0.0726294,-0.0763327,-0.502363,1.06022,2296.89,-0.666854,1.04657,0.0
308.0,-0.505349,0.10104252173913053,0.0,0.0,-0.373285,2.16551,-0.505349,1.07755,2293.04,-0.322474,1.0554,0.0
320.0,-0.506637,0.08030252173913055,0.0,0.0,-0.107313,-1.72766,-0.506637,1.05681,2289.0,-0.538445,1.07664,0.0
328.0,-0.510391,0.05771252173913044,0.0,0.0,-0.469234,-2.82391,-0.510391,1.03422,2286.16,-0.512341,1.19903,0.0
340.0,-0.518385,0.06029252173913047,0.0,0.0,-0.666164,0.214655,-0.518385,1.0368,2285.2,-0.255354,0.830894,0.0
348.0,-0.525898,0.060432521739130496,0.0,0.0,-0.939226,0.0173889,-0.525898,1.03694,2286.34,-0.642638,1.00871,0.0
360.0,-0.527247,0.029562521739130543,0.0,0.0,-0.112409,-2.57267,-0.527247,1.00607,2289.5,-0.586075,0.961115,0.0
368.0,-0.52843,0.028992521739130583,0.0,0.0,-0.147801,-0.0710032,-0.52843,1.0055,2293.46,-0.811309,1.19548,0.0
380.0,-0.527229,0.0356725217391306,0.0,0.0,0.100036,0.557059,-0.527229,1.01218,2296.6,-0.471871,0.938474,0.0
388.0,-0.524367,0.06233252173913051,0.0,0.0,0.357811,3.3322,-0.524367,1.03884,2298.35,-0.56183,1.04298,0.0
400.0,-0.51418,0.07604252173913062,0.0,0.0,0.848899,1.14249,-0.51418,1.05255,2299.23,-0.367616,1.00792,0.0
412.0,-0.498279,0.07781252173913045,0.0,0.0,1.32504,0.147161,-0.498279,1.05432,2299.8,-0.429439,1.22866,0.0
420.0,-0.488109,0.11823252173913057,0.0,0.0,1.27136,5.05349,-0.488109,1.09474,2300.23,-0.653482,1.13275,0.0
432.0,-0.481941,0.15259252173913052,0.0,0.0,0.513981,2.86309,-0.481941,1.1291,2300.51,-0.528531,1.21582,0.0
440.0,-0.475627,0.15338252173913058,0.0,0.0,0.789234,0.0986888,-0.475627,1.12989,2300.69,-0.388774,1.09079,0.0
452.0,-0.471573,0.15161252173913053,0.0,0.0,0.337861,-0.147608,-0.471573,1.12812,2300.93,-0.424831,1.12373,0.0
460.0,-0.470131,0.1490325217391305,0.0,0.0,0.180151,-0.322681,-0.470131,1.12554,2301.24,-0.619043,1.19393,0.0
472.0,-0.466604,0.10136252173913063,0.0,0.0,0.293993,-3.97212,-0.466604,1.07787,2301.55,-0.544515,1.01215,0.0
480.0,-0.465551,0.04392252173913047,0.0,0.0,0.131587,-7.18089,-0.465551,1.02043,2301.98,-0.328602,0.968033,0.0
492.0,-0.47451,0.019449521739130504,0.0,0.0,-0.746618,-2.03899,-0.47451,0.995957,2302.61,-0.305385,0.770494,0.0
500.0,-0.492076,0.007837521739130549,0.0,0.0,-2.19569,-1.45158,-0.492076,0.984345,2303.38,-0.176764,0.874708,0.0
512.0,-0.511583,0.005393521739130547,0.0,0.0,-1.6256,-0.203624,-0.511583,0.981901,2304.37,-0.51532,0.936278,0.0
520.0,-0.52481,-0.007557478260869499,0.0,0.0,-1.65337,-1.61886,-0.52481,0.96895,2306.08,-0.724332,1.11505,0.0
532.0,-0.538527,0.002802521739130537,0.0,0.0,-1.14307,0.863261,-0.538527,0.97931,2308.66,-0.786576,1.08905,0.0
540.0,-0.553951,0.01042052173913055,0.0,0.0,-1.92806,0.952289,-0.553951,0.986928,2311.14,-0.546269,0.916018,0.0
552.0,-0.569674,0.024082521739130613,0.0,0.0,-1.3102,1.13873,-0.569674,1.00059,2312.43,-0.329633,0.8747,0.0
