Resolution,1920,1080,Distance,58.5,Width,48,Subject,AURA78,Test,CC9-12122017-163535,Calibration,CC9-12122017-163535,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.7618,10.9037,-21.8858,12.5288,0,0,-0.876018,-1.6251,4345.47,-22.8133,10.8714,0
9.066,-22.7618,10.9037,-21.8858,12.5288,0,0,-0.876018,-1.6251,4345.47,-22.7098,10.9775,0
17.686,-22.7047,11.1037,-21.8858,12.5288,6.62369,23.205,-0.818922,-1.42507,4345.47,-22.21,11.3441,0
26.495,-22.6174,11.3187,-21.8858,12.5288,9.90733,24.4074,-0.731648,-1.21007,4345.47,-22.6999,11.197,0
38.414,-22.6088,11.416,-21.8858,12.5288,0.727954,8.16157,-0.722972,-1.11279,4385.7,-22.3499,11.582,0
45.718,-22.5291,11.4137,-21.8858,12.5288,10.9089,-0.322904,-0.643293,-1.11515,4408.26,-22.2749,13.9315,0
58.395,-22.4437,11.3733,-21.8858,12.5288,6.73743,-3.17973,-0.557883,-1.15546,4418.37,-22.7704,11.482,0
69.698,-22.4439,11.3622,-21.8858,12.5288,-0.0225989,-0.989155,-0.558138,-1.16664,4422.83,-22.5394,11.1048,0
77.841,-22.4384,11.1385,-21.8858,12.5288,0.673446,-27.4686,-0.552654,-1.39032,4426.17,-22.2844,10.8621,0
90.569,-22.4237,11.0392,-21.8858,12.5288,1.16244,-7.80095,-0.537859,-1.48961,4428.22,-22.6288,10.8649,0
97.749,-22.3163,11.0291,-21.8858,12.5288,14.9521,-1.4137,-0.430503,-1.49976,4428.8,-22.2653,11.102,0
110.337,-22.3126,11.0322,-21.8858,12.5288,0.294127,0.254162,-0.4268,-1.49656,4430.53,-22.3337,11.0813,0
117.721,-22.3342,11.1144,-21.8858,12.5288,-2.93219,11.1211,-0.448452,-1.41444,4435.24,-22.2935,11.1456,0
129.687,-22.3104,11.1926,-21.8858,12.5288,1.98931,6.54167,-0.424648,-1.33616,4440,-22.5431,11.5418,0
137.926,-22.3241,11.3093,-21.8858,12.5288,-1.66311,14.1556,-0.43835,-1.21953,4439.65,-22.4218,11.242,0
149.637,-22.3362,11.4188,-21.8858,12.5288,-1.03344,9.35303,-0.450453,-1.11,4433.76,-22.2838,11.2298,0
158.674,-22.3446,11.4239,-21.8858,12.5288,-0.921876,0.559749,-0.458784,-1.10494,4424.9,-22.2007,11.6821,0
169.662,-22.3576,11.4281,-21.8858,12.5288,-1.18726,0.383206,-0.471829,-1.10073,4412.34,-22.3842,11.8473,0
177.927,-22.654,11.5241,-21.8858,12.5288,-35.8538,11.6126,-0.768161,-1.00475,4397.31,-23.2601,11.3195,0
190.508,-22.8517,11.5385,-21.8858,12.5288,-15.7212,1.15124,-0.965949,-0.99027,4385.74,-23.2509,10.759,0
197.687,-22.8602,11.5184,-21.8858,12.5288,-1.18261,-2.79942,-0.974439,-1.01037,4379.91,-22.6788,13.4464,0
210.133,-22.8551,11.4602,-21.8858,12.5288,0.412123,-4.67585,-0.96931,-1.06856,4376.77,-22.5013,11.3038,0
217.724,-22.7109,11.5101,-21.8858,12.5288,18.9944,6.56107,-0.825124,-1.01876,4374.54,-22.7645,11.2244,0
229.718,-22.6447,11.5353,-21.8858,12.5288,5.52316,2.10844,-0.758879,-0.993469,4374.52,-22.3759,11.5568,0
238.248,-22.6424,11.4463,-21.8858,12.5288,0.270486,-10.4436,-0.756572,-1.08255,4377.09,-22.6723,11.6405,0
249.73,-22.6099,11.4422,-21.8858,12.5288,2.82397,-0.354212,-0.724147,-1.08662,4382.42,-22.4959,13.7371,0
257.848,-22.5547,11.4795,-21.8858,12.5288,6.80782,4.59105,-0.668881,-1.04935,4394.87,-22.7893,11.1567,0
269.696,-22.5493,11.4549,-21.8858,12.5288,0.449571,-2.07232,-0.663555,-1.0739,4416.83,-22.4422,11.3852,0
277.907,-22.4733,11.3277,-21.8858,12.5288,9.2571,-15.4945,-0.587544,-1.20113,4440.14,-22.546,11.5268,0
290.205,-22.4694,11.2627,-21.8858,12.5288,0.322343,-5.28334,-0.58358,-1.2661,4454.7,-21.9297,11.2318,0
297.757,-22.4301,11.2576,-21.8858,12.5288,5.20252,-0.680576,-0.544291,-1.27124,4460,-22.266,11.2399,0
310.297,-22.4117,11.2514,-21.8858,12.5288,1.46942,-0.493234,-0.525864,-1.27743,4460.76,-22.5641,11.0939,0
322.784,-22.4045,11.2506,-21.8858,12.5288,0.576156,-0.0652632,-0.51867,-1.27824,4459.87,-22.5844,11.3194,0
329.74,-22.414,11.2471,-21.8858,12.5288,-1.3659,-0.494508,-0.528171,-1.28168,4458.72,-22.1814,11.2293,0
342.255,-22.4815,11.2478,-21.8858,12.5288,-5.39592,0.0551248,-0.595701,-1.28099,4458.58,-22.2352,11.3069,0
349.742,-22.4935,11.2383,-21.8858,12.5288,-1.60577,-1.27313,-0.607723,-1.29052,4458.86,-22.5577,11.0903,0
361.806,-22.7,11.2516,-21.8858,12.5288,-17.1177,1.09981,-0.814231,-1.27726,4458.32,-23.0749,11.2439,0
369.693,-22.8151,11.302,-21.8858,12.5288,-14.5902,6.39307,-0.929304,-1.22683,4458,-23.1188,11.1873,0
381.82,-22.845,11.5237,-21.8858,12.5288,-2.46918,18.2874,-0.959247,-1.00506,4459.8,-22.5708,13.9419,0
390.352,-22.842,11.686,-21.8858,12.5288,0.357514,19.018,-0.956197,-0.8428,4464.46,-22.7712,12.0227,0
401.781,-22.8075,11.7092,-21.8858,12.5288,3.01941,2.02816,-0.921688,-0.81962,4470.36,-22.852,11.0761,0
410.154,-22.7339,11.7019,-21.8858,12.5288,8.78384,-0.869639,-0.848141,-0.826902,4474.76,-22.6114,11.5665,0
421.97,-22.6319,11.6112,-21.8858,12.5288,8.63462,-7.67529,-0.746114,-0.917593,4476.91,-22.4857,11.7844,0
429.741,-22.6012,11.5925,-21.8858,12.5288,3.95127,-2.41018,-0.715409,-0.936323,4477.73,-22.5134,11.6414,0
442.226,-22.5703,11.5703,-21.8858,12.5288,2.472,-1.77687,-0.684546,-0.958507,4478.19,-22.3668,11.4047,0
449.746,-22.5396,11.5373,-21.8858,12.5288,4.09411,-4.39016,-0.653759,-0.991521,4479.28,-22.6415,11.5143,0
461.84,-22.5098,11.4902,-21.8858,12.5288,2.45861,-3.89032,-0.624024,-1.03857,4482.63,-22.8218,11.5082,0
469.701,-22.4789,11.3581,-21.8858,12.5288,3.92978,-16.8082,-0.593132,-1.1707,4489.22,-22.5278,10.8327,0
481.805,-22.4794,11.1846,-21.8858,12.5288,-0.0409349,-14.3331,-0.593628,-1.34419,4497.83,-22.1843,11.0698,0
490.274,-22.4515,11.1756,-21.8858,12.5288,3.29857,-1.06575,-0.565692,-1.35321,4506.23,-22.5117,11.2345,0
501.725,-22.4442,11.1752,-21.8858,12.5288,0.637956,-0.0373959,-0.558387,-1.35364,4512.4,-22.3675,11.1153,0
509.978,-22.4444,11.1752,-21.8858,12.5288,-0.0208088,0.00121771,-0.558558,-1.35363,4515.46,-22.4689,11.4901,0
521.929,-22.4578,11.1763,-21.8858,12.5288,-1.12201,0.0980242,-0.571968,-1.35246,4516.36,-22.4422,11.4989,0
529.746,-22.5387,11.1941,-21.8858,12.5288,-10.3516,2.26897,-0.652886,-1.33472,4516.55,-22.7621,11.0481,0
542.141,-22.6061,11.2922,-21.8858,12.5288,-5.43596,7.91503,-0.720265,-1.23662,4516.77,-22.933,11.1217,0
549.813,-22.6096,11.2569,-21.8858,12.5288,-0.457679,-4.59968,-0.723776,-1.27191,4517.38,-22.5538,11.4132,0
561.923,-22.6092,11.1863,-21.8858,12.5288,0.030746,-5.83189,-0.723404,-1.34253,4518.32,-22.5987,11.4974,0
574.059,-22.5671,11.2544,-21.8858,12.5288,3.4659,5.61281,-0.681342,-1.27441,4519.62,-22.1085,11.2284,0
