Resolution,1920,1080,Distance,58.5,Width,48,Subject,AURA78,Test,TSMH-12122017-163854,Calibration,CC9-12122017-163830,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.5090922010237324,5.37005,0.0,0.0,0.0,0.0,-9.09949,5.37005,4651.38,-9.3356,5.45241,0.0
11.506,0.5090922010237324,5.37005,0.0,0.0,0.0,0.0,-9.09949,5.37005,4651.38,-9.11518,5.30306,0.0
19.636,0.5090922010237324,5.37005,0.0,0.0,0.0,0.0,-9.09949,5.37005,4651.38,-8.73321,5.28178,0.0
32.004,0.5090922010237324,5.37005,0.0,0.0,0.0,0.0,-9.09949,5.37005,4651.38,-8.84416,5.3353,0.0
39.965,0.5497222010237326,5.34128,0.0,0.0,5.10395,-3.61321,-9.05886,5.34128,4657.33,-9.01816,5.20981,0.0
51.909,0.5816522010237317,5.32566,0.0,0.0,2.673,-1.30778,-9.02693,5.32566,4657.28,-9.19648,5.29748,0.0
59.977,0.6058622010237318,5.32022,0.0,0.0,3.001,-0.67468,-9.00272,5.32022,4657.29,-9.17011,5.47439,0.0
71.907,0.6204922010237321,5.31908,0.0,0.0,1.22643,-0.095917,-8.98809,5.31908,4657.42,-9.06016,5.44281,0.0
79.954,0.6298522010237313,5.31812,0.0,0.0,1.163,-0.118771,-8.97873,5.31812,4657.71,-8.96603,5.40031,0.0
91.957,0.6385922010237326,5.31388,0.0,0.0,0.728416,-0.353307,-8.96999,5.31388,4658.31,-8.93545,5.20574,0.0
103.908,0.6470422010237324,5.3025,0.0,0.0,0.706943,-0.952363,-8.96154,5.3025,4659.57,-8.56384,5.25779,0.0
111.896,0.6529822010237314,5.2839,0.0,0.0,0.742694,-2.32872,-8.9556,5.2839,4661.44,-8.93201,5.38595,0.0
123.977,0.6565222010237324,5.2656,0.0,0.0,0.293058,-1.51467,-8.95206,5.2656,4663.18,-8.78699,5.30222,0.0
131.969,0.6578322010237325,5.25499,0.0,0.0,0.164421,-1.32745,-8.95075,5.25499,4664.32,-8.93771,5.23641,0.0
143.556,0.654562201023732,5.2514,0.0,0.0,-0.281952,-0.310127,-8.95402,5.2514,4664.99,-8.97538,5.22791,0.0
151.437,0.6419422010237319,5.25048,0.0,0.0,-1.60158,-0.115625,-8.96664,5.25048,4665.25,-9.22446,5.24006,0.0
163.365,0.6188122010237318,5.2496,0.0,0.0,-1.93913,-0.0739359,-8.98977,5.2496,4664.99,-8.87293,5.34647,0.0
171.471,0.5942422010237312,5.24871,0.0,0.0,-3.03155,-0.110467,-9.01434,5.24871,4663.88,-9.00825,5.25284,0.0
183.378,0.5776122010237319,5.24876,0.0,0.0,-1.39618,0.00407849,-9.03097,5.24876,4661.64,-9.33763,5.18987,0.0
191.404,0.5692422010237326,5.24982,0.0,0.0,-1.04355,0.132075,-9.03934,5.24982,4658.78,-9.02876,5.39432,0.0
203.357,0.5653222010237318,5.25165,0.0,0.0,-0.327322,0.153586,-9.04326,5.25165,4656.15,-9.06801,5.16873,0.0
211.335,0.562152201023731,5.25431,0.0,0.0,-0.39773,0.333009,-9.04643,5.25431,4654.02,-9.02789,5.24499,0.0
223.362,0.5577922010237326,5.25884,0.0,0.0,-0.362949,0.376519,-9.05079,5.25884,4652.08,-9.12091,5.27068,0.0
231.408,0.5528422010237317,5.26761,0.0,0.0,-0.614905,1.09034,-9.05574,5.26761,4649.71,-8.98657,5.55787,0.0
243.352,0.5462722010237318,5.27996,0.0,0.0,-0.549852,1.0336,-9.06231,5.27996,4646.52,-9.00203,5.34125,0.0
251.438,0.5348122010237322,5.29038,0.0,0.0,-1.41789,1.28862,-9.07377,5.29038,4642.35,-9.06546,5.46931,0.0
