Resolution,1920,1080,Distance,1,Width,1,Subject,V002GDETSIDI,Test,CC9-12152016-132722,Calibration,CC9-12152016-132722,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171716
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-15.2794,14.9372,-26.0856,15.1541,0,0,10.8062,-0.216902,2213.48,-15.0304,14.8914,0
20,-15.2794,14.9372,-26.0856,15.1541,0,0,10.8062,-0.216902,2213.48,-15.5145,14.9765,0
30,-15.6768,15.0527,-26.0856,15.1541,-39.7403,11.5551,10.4088,-0.101351,2213.48,-15.8498,15.1395,0
40,-15.9501,15.0536,-26.0856,15.1541,-27.334,0.0905859,10.1355,-0.100445,2213.48,-16.347,15.2847,0
50,-16.0436,15.1046,-26.0856,15.1541,-9.35356,5.09699,10.042,-0.0494753,2215.79,-16.1986,15.232,0
60,-16.0447,15.1024,-26.0856,15.1541,-0.101892,-0.218322,10.0409,-0.0516585,2215.49,-16.0534,14.9009,0
70,-15.9803,15.0016,-26.0856,15.1541,6.43936,-10.0824,10.1053,-0.152482,2215.33,-15.9302,15.0821,0
80,-15.8594,14.9995,-26.0856,15.1541,12.0908,-0.208141,10.2262,-0.154563,2215.36,-15.4009,14.69,0
90,-15.8463,14.9881,-26.0856,15.1541,1.30299,-1.13588,10.2393,-0.165922,2215.63,-15.8069,14.9177,0
100,-15.8587,15.053,-26.0856,15.1541,-1.23855,6.48217,10.2269,-0.101101,2216.28,-15.8656,15.1151,0
110,-15.8436,15.0276,-26.0856,15.1541,1.51139,-2.5355,10.242,-0.126456,2217.26,-16.0196,15.2043,0
120,-15.8637,15.0271,-26.0856,15.1541,-2.0065,-0.0505271,10.2219,-0.126961,2218.46,-15.6992,14.9928,0
130,-15.9026,15.0548,-26.0856,15.1541,-3.89496,2.77,10.183,-0.0992609,2219.8,-15.8436,15.0096,0
140,-15.9189,15.0579,-26.0856,15.1541,-1.6318,0.307358,10.1667,-0.0961873,2221.27,-15.9015,14.9894,0
150,-15.9359,15.1101,-26.0856,15.1541,-1.70226,5.22004,10.1497,-0.0439869,2223.01,-16.0324,15.1749,0
160,-15.9598,15.1571,-26.0856,15.1541,-2.38839,4.70357,10.1258,0.0030488,2224.85,-16.1286,15.2382,0
170,-15.8879,15.1613,-26.0856,15.1541,7.18987,0.416237,10.1977,0.00721117,2226.27,-15.616,15.0275,0
180,-15.8054,15.1713,-26.0856,15.1541,8.25105,1.00433,10.2802,0.0172545,2227.06,-15.8011,15.1465,0
190,-15.7971,15.1635,-26.0856,15.1541,0.831251,-0.778006,10.2885,0.00947446,2227.76,-15.6787,15.1815,0
200,-15.799,15.1641,-26.0856,15.1541,-0.19231,0.0538172,10.2866,0.0100126,2229.29,-15.7958,15.2326,0
210,-15.8509,15.1845,-26.0856,15.1541,-5.18904,2.03989,10.2347,0.0304115,2232.2,-15.895,15.0354,0
220,-15.9304,15.183,-26.0856,15.1541,-7.94517,-0.145555,10.1552,0.028956,2236.12,-16.028,15.2417,0
230,-15.9911,15.17,-26.0856,15.1541,-6.07546,-1.29796,10.0945,0.0159764,2240.06,-16.0476,15.2047,0
240,-15.987,15.13,-26.0856,15.1541,0.410925,-3.99953,10.0986,-0.0240189,2243.67,-15.9901,15.1029,0
250,-15.9868,15.1276,-26.0856,15.1541,0.0251332,-0.241831,10.0988,-0.0264372,2247.17,-16.1448,15.1328,0
260,-15.988,15.1121,-26.0856,15.1541,-0.118844,-1.55387,10.0976,-0.0419759,2250.31,-16.0018,15.176,0
270,-15.9949,15.1119,-26.0856,15.1541,-0.689167,-0.0173831,10.0907,-0.0421497,2252.66,-15.899,14.9939,0
280,-16.0136,15.1277,-26.0856,15.1541,-1.87843,1.57807,10.072,-0.026369,2254.59,-15.9836,14.9952,0
290,-16.0805,15.1454,-26.0856,15.1541,-6.68235,1.76644,10.0051,-0.00870465,2257.26,-16.3544,15.1948,0
300,-16.1087,15.185,-26.0856,15.1541,-2.82539,3.96229,9.97689,0.0309182,2261.51,-16.1959,15.1379,0
310,-16.1773,15.2055,-26.0856,15.1541,-6.85946,2.05165,9.90829,0.0514347,2266.61,-16.3681,15.2199,0
320,-16.1899,15.2223,-26.0856,15.1541,-1.25824,1.67648,9.89571,0.0681995,2270.94,-16.0882,15.2467,0
330,-16.1948,15.2229,-26.0856,15.1541,-0.496014,0.0586883,9.89075,0.0687864,2274.66,-16.3105,15.4128,0
340,-16.1835,15.2224,-26.0856,15.1541,1.13377,-0.0440986,9.90209,0.0683454,2279.87,-16.2784,15.4266,0
350,-16.1558,15.2053,-26.0856,15.1541,2.7721,-1.70948,9.92981,0.0512506,2287.5,-16.1653,15.1763,0
360,-16.1384,15.177,-26.0856,15.1541,1.74337,-2.8331,9.94724,0.0229196,2295.57,-15.9985,15.0738,0
370,-16.138,15.1758,-26.0856,15.1541,0.0370812,-0.122293,9.94761,0.0216967,2301.75,-16.0416,15.0931,0
380,-16.1469,15.1756,-26.0856,15.1541,-0.892568,-0.0193952,9.93869,0.0215027,2305.95,-16.2709,15.1712,0
390,-16.1733,15.1756,-26.0856,15.1541,-2.63603,0.00622402,9.91233,0.021565,2309.23,-16.1829,15.2063,0
400,-16.1964,15.1751,-26.0856,15.1541,-2.31521,-0.0555341,9.88918,0.0210096,2312.23,-16.2795,15.179,0
410,-16.1974,15.175,-26.0856,15.1541,-0.0937383,-0.00780047,9.88824,0.0209316,2315.63,-16.3175,15.1801,0
420,-16.1931,15.1739,-26.0856,15.1541,0.427184,-0.106113,9.89251,0.0198705,2319.78,-16.0673,15.163,0
430,-16.1093,15.1775,-26.0856,15.1541,8.37955,0.352809,9.97631,0.0233986,2323.59,-15.9108,15.0856,0
440,-16.0409,15.1793,-26.0856,15.1541,6.8349,0.178736,10.0447,0.0251859,2326.03,-15.748,15.1646,0
450,-16.0047,15.181,-26.0856,15.1541,3.62853,0.173925,10.0809,0.0269252,2327.74,-16.1377,15.2171,0
460,-16.0143,15.2016,-26.0856,15.1541,-0.96461,2.06028,10.0713,0.0475279,2329.9,-16.2015,15.207,0
470,-16.0533,15.2477,-26.0856,15.1541,-3.9005,4.60931,10.0323,0.093621,2333.49,-16.0553,15.3381,0
480,-16.0812,15.2559,-26.0856,15.1541,-2.78902,0.822684,10.0044,0.101848,2339.73,-16.2145,15.4827,0
490,-16.0875,15.2634,-26.0856,15.1541,-0.627907,0.752764,9.99812,0.109376,2348.57,-15.9576,15.1248,0
500,-16.1324,15.3051,-26.0856,15.1541,-4.49221,4.16902,9.9532,0.151066,2357.39,-16.1348,15.2274,0
510,-16.1285,15.2617,-26.0856,15.1541,0.39123,-4.34722,9.95711,0.107594,2363.61,-16.1099,15.2517,0
520,-16.115,15.2372,-26.0856,15.1541,1.34763,-2.44303,9.97059,0.0831632,2367.41,-16.2594,15.4587,0
530,-16.1111,15.2308,-26.0856,15.1541,0.388995,-0.644968,9.97448,0.0767135,2370.53,-16.0377,15.2167,0
540,-16.1063,15.227,-26.0856,15.1541,0.484622,-0.380376,9.97932,0.0729098,2374.45,-16.048,15.0992,0
550,-16.0816,15.2054,-26.0856,15.1541,2.46353,-2.15471,10.004,0.0513627,2379.62,-15.9233,15.1477,0
560,-16.08,15.2045,-26.0856,15.1541,0.167903,-0.092649,10.0056,0.0504362,2385.27,-16.1017,15.2224,0
570,-16.0676,15.2065,-26.0856,15.1541,1.2359,0.196851,10.018,0.0524047,2390.21,-15.9467,15.1894,0
580,-16.1013,15.2458,-26.0856,15.1541,-3.36689,3.9359,9.98433,0.0917637,2394.13,-16.227,15.3742,0
590,-16.1658,15.3023,-26.0856,15.1541,-6.45415,5.64766,9.91979,0.14824,2397.82,-16.0771,15.3135,0
600,-16.1786,15.3045,-26.0856,15.1541,-1.2776,0.215898,9.90701,0.150399,2401.84,-16.3731,15.5173,0
610,-16.1792,15.3035,-26.0856,15.1541,-0.0563964,-0.0985676,9.90645,0.149414,2406.09,-16.4822,15.5264,0
620,-16.183,15.281,-26.0856,15.1541,-0.383727,-2.24475,9.90261,0.126966,2410.36,-16.0444,15.2146,0
630,-16.2058,15.2731,-26.0856,15.1541,-2.28264,-0.796455,9.87978,0.119002,2414.83,-16.0425,15.221,0
640,-16.1912,15.2467,-26.0856,15.1541,1.46156,-2.63431,9.8944,0.0926584,2419.33,-16.1174,15.1296,0
650,-16.1748,15.2186,-26.0856,15.1541,1.63817,-2.81279,9.91078,0.0645305,2423.04,-16.2457,15.33,0
660,-16.1962,15.247,-26.0856,15.1541,-2.14062,2.83681,9.88937,0.0928986,2425.53,-16.2127,15.276,0
670,-16.2167,15.2813,-26.0856,15.1541,-2.04455,3.43178,9.86893,0.127216,2427.21,-16.2026,15.1464,0
680,-16.2157,15.2799,-26.0856,15.1541,0.0957524,-0.139989,9.86988,0.125817,2428.78,-16.1447,15.2915,0
690,-16.1508,15.2084,-26.0856,15.1541,6.49264,-7.15068,9.93481,0.0543097,2431.19,-16.4449,15.4301,0
700,-15.5364,15.0544,-26.0856,15.1541,61.4394,-15.3941,10.5492,-0.0996311,2436.03,-14.1168,14.9386,0
710,-13.7401,15.0076,-26.0856,15.1541,179.631,-4.68017,12.3455,-0.146433,2444.65,-10.2122,14.8563,0
720,-11.8894,15.0405,-26.0856,15.1541,185.071,3.29092,14.1962,-0.113524,2456.05,-10.6434,15.0784,0
730,-11.1387,15.0561,-26.0856,15.1541,75.0694,1.55088,14.9469,-0.0980148,2466.5,-11.8131,15.0678,0
