Resolution,1920,1080,Distance,58,Width,47.5,Subject,V014GDAURA,Test,CC9-11052018-123144,Calibration,CC9-11052018-123144,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-164021
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-20.3054,12.874,-21.8484,12.5059,0,0,1.54299,0.368118,2233.13,-20.3054,12.8755,0
8.289,-20.3054,12.874,-21.8484,12.5059,0,0,1.54299,0.368118,2233.13,-20.8301,12.906,0
20.022,-20.3001,12.8456,-21.8484,12.5059,0.454287,-2.42515,1.54832,0.339664,2233.13,-19.1825,11.035,0
28.149,-20.1592,12.4242,-21.8484,12.5059,17.3309,-51.8528,1.68917,-0.0817438,2233.13,-20.8151,12.887,0
40.005,-20.1472,12.3811,-21.8484,12.5059,1.01574,-3.63512,1.70121,-0.124842,2236.22,-20.8561,12.8663,0
47.939,-20.0005,11.9549,-21.8484,12.5059,18.4945,-53.7141,1.84795,-0.55101,2236.71,-19.1781,10.9455,0
61.071,-19.9941,11.9361,-21.8484,12.5059,0.484869,-1.43009,1.85431,-0.569789,2237.5,-20.7849,12.8722,0
69.043,-19.9945,11.935,-21.8484,12.5059,-0.0475365,-0.145477,1.85393,-0.570949,2238.45,-20.8125,12.8742,0
80.095,-20.0031,11.9086,-21.8484,12.5059,-0.782911,-2.38556,1.84528,-0.597314,2239.33,-19.1818,10.9501,0
91.988,-20.0035,11.9075,-21.8484,12.5059,-0.0320229,-0.0974238,1.8449,-0.598473,2240.1,-20.8056,12.791,0
99.957,-20.0047,11.9087,-21.8484,12.5059,-0.15259,0.155718,1.84368,-0.597232,2241.05,-20.7958,12.8677,0
111.996,-20.0324,11.9369,-21.8484,12.5059,-2.29836,2.34572,1.81601,-0.568992,2242.47,-19.2353,10.9934,0
