Resolution,1920,1080,Distance,58,Width,47.5,Subject,V014GDAURA,Test,TSLSH-11052018-123209,Calibration,CC9-11052018-123144,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-164021
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.290907,0.0741352,0.244391,0,0,0,0.0465165,0.0741352,3019.87,0.291125,0.0815281,0
8.176,0.290907,0.0741352,0.51321,0,0,0,-0.222302,0.0741352,3019.87,0.273806,0.054131,0
20.046,0.316306,0.0558594,0.51321,0,2.13976,-1.53966,-0.196904,0.0558594,3019.87,0.350633,0.0305871,0
28.075,0.330515,0.053957,0.782006,0,1.76971,-0.236948,-0.451491,0.053957,3019.87,0.3361,-0.00339177,0
40.022,0.325898,0.0278488,1.05077,0,-0.386491,-2.18534,-0.72487,0.0278488,3015.69,0.339284,-0.0184042,0
52.009,0.319054,-0.0020768,1.05077,0,-0.570909,-2.4965,-0.731714,-0.0020768,3007.36,0.286187,0.0761448,0
60.06,0.294283,-0.024551,1.31948,0,-3.07671,-2.79148,-1.0252,-0.024551,3000.35,0.20919,-0.0526966,0
72.015,0.274039,-0.0277708,1.56372,0,-1.6934,-0.26933,-1.28968,-0.0277708,2994.78,0.287786,-0.0331106,0
80.013,0.258451,-0.027945,1.56372,0,-1.94893,-0.0217696,-1.30527,-0.027945,2989.99,0.254255,-0.0316553,0
92.143,0.255161,-0.030096,1.83232,0,-0.271302,-0.177335,-1.57715,-0.030096,2985.52,0.261486,-0.0150146,0
100.065,0.257282,-0.0300423,1.83232,0,0.267804,0.00678135,-1.57503,-0.0300423,2980.67,0.25501,0.00281643,0
112.106,0.255684,-0.0264958,2.10083,0,-0.132692,0.294531,-1.84515,-0.0264958,2974.36,0.240741,-0.041017,0
120.033,0.253339,-0.024185,2.36925,0,-0.295859,0.291513,-2.11591,-0.024185,2965.61,0.253578,-0.0605054,0
132.015,0.243512,-0.0239668,2.36925,0,-0.820132,0.018214,-2.12574,-0.0239668,2954.85,0.228955,-0.00863457,0
140.038,0.225453,-0.0214603,2.63757,0,-2.2509,0.312416,-2.41212,-0.0214603,2944.77,0.216525,0.0321813,0
152.026,0.199287,-0.0213104,2.88139,0,-2.18272,0.0125001,-2.68211,-0.0213104,2937.47,0.165991,-0.0174452,0
160.005,0.179482,-0.0211316,2.88139,0,-2.4821,0.0224106,-2.70191,-0.0211316,2932.33,0.199399,-0.0182032,0
172.013,0.179098,-0.0177896,3.14948,0,-0.031978,0.278314,-2.97038,-0.0177896,2927.43,0.121504,-0.0394146,0
180.015,0.179497,-0.0164359,3.14948,0,0.0498959,0.169177,-2.96998,-0.0164359,2920.28,0.160435,-0.0941425,0
192.025,0.188441,0.012374,3.41743,0,0.744677,2.39882,-3.22899,0.012374,2909.87,0.210205,0.121948,0
199.998,0.195887,0.0441161,3.41743,0,0.93389,3.9812,-3.22154,0.0441161,2899.22,0.296179,0.0421452,0
