Resolution,1920,1080,Distance,58,Width,47.5,Subject,V012GDAURA,Test,TSLSH-05122018-182257,Calibration,CC9-05122018-182223,Oscann, 4.0.12,libTracker, 1.0.13,crtime, 07112019-112552
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks,valid
0,-0.52302,0.338034,0.244391,0,0,0,-0.767411,0.338034,6970.86,-0.523705,0.338113,0,1
7.961,-0.52302,0.338034,0.244391,0,0,0,-0.767411,0.338034,6970.86,-0.620143,0.399284,0,1
20.267,-0.506558,0.336963,0.51321,0,1.33776,-0.0870413,-1.01977,0.336963,6970.86,-0.442256,0.300736,0,1
28.612,-0.482816,0.330175,0.782006,0,2.84505,-0.813416,-1.26482,0.330175,6970.86,-0.456365,0.334489,0,1
40.409,-0.470859,0.321334,0.782006,0,1.01354,-0.749458,-1.25286,0.321334,7007.2,-0.475785,0.313459,0,1
48.412,-0.462236,0.320675,1.05077,0,1.07749,-0.0823045,-1.513,0.320675,7032.47,-0.475987,0.313465,0,1
60.523,-0.45034,0.319696,1.31948,0,0.982198,-0.0808522,-1.76982,0.319696,7053.41,-0.37336,0.314762,0,1
68.365,-0.426818,0.318931,1.31948,0,2.9996,-0.0975536,-1.7463,0.318931,7070.15,-0.410945,0.325914,0,1
80.422,-0.408453,0.318355,1.56372,0,1.52312,-0.0477665,-1.97217,0.318355,7082.92,-0.407839,0.315842,0,1
88.413,-0.38644,0.317382,1.56372,0,2.75476,-0.121741,-1.95016,0.317382,7094.02,-0.358894,0.368311,0,1
100.358,-0.360878,0.309802,1.83232,0,2.13999,-0.634625,-2.19319,0.309802,7106.65,-0.357417,0.271911,0,1
108.422,-0.360811,0.301861,2.10083,0,0.00832961,-0.984738,-2.46164,0.301861,7122.75,-0.35592,0.286172,0,1
120.361,-0.361071,0.301532,2.10083,0,-0.0218173,-0.0274942,-2.4619,0.301532,7143.9,-0.286063,0.220722,0,1
128.644,-0.367573,0.30212,2.36925,0,-0.784937,0.0709036,-2.73682,0.30212,7169.68,-0.397923,0.3415,0,1
140.407,-0.405267,0.312379,2.36925,0,-3.20444,0.872181,-2.77452,0.312379,7195.86,-0.442497,0.321634,0,1
148.348,-0.436307,0.321521,2.63757,0,-3.90892,1.15126,-3.07388,0.321521,7219.04,-0.432744,0.321893,0,1
160.546,-0.437711,0.321907,2.88139,0,-0.115102,0.0316545,-3.31911,0.321907,7240.1,-0.47123,0.324795,0,1
168.345,-0.440407,0.322003,2.88139,0,-0.345698,0.0123173,-3.3218,0.322003,7261.01,-0.551221,0.326185,0,1
180.435,-0.444926,0.322439,3.14948,0,-0.37377,0.0360259,-3.59441,0.322439,7281.29,-0.394509,0.286815,0,1
188.324,-0.444567,0.323351,3.14948,0,0.0455359,0.115547,-3.59405,0.323351,7299.62,-0.376689,0.209242,0,1
200.359,-0.432822,0.325701,3.41743,0,0.975907,0.195321,-3.85025,0.325701,7318.19,-0.479635,0.373789,0,1
212.387,-0.393659,0.316822,3.66089,0,3.256,-0.738217,-4.05455,0.316822,7339.64,-0.353805,0.373043,0,1
220.357,-0.272393,0.311934,3.66089,0,15.2153,-0.61335,-3.93328,0.311934,7360.63,-0.0808633,0.294376,0,1
232.364,0.282269,0.275989,3.92854,0,46.1949,-2.99366,-3.64627,0.275989,7377.14,1.61928,0.206277,0,1
240.414,1.02559,0.215085,4.19603,0,92.3376,-7.56562,-3.17044,0.215085,7390.3,1.61799,0.15109,0,1
252.358,1.363,0.181977,4.19603,0,28.2493,-2.77198,-2.83303,0.181977,7402.31,1.35574,0.177645,0,1
260.617,1.43667,0.163034,4.43903,0,8.92067,-2.29361,-3.00236,0.163034,7414.63,1.3101,0.122223,0,1
272.379,1.46321,0.146743,4.70615,0,2.25634,-1.38505,-3.24294,0.146743,7430.4,1.42698,0.160515,0,1
280.458,1.46557,0.146023,4.70615,0,0.291455,-0.0891862,-3.24059,0.146023,7450.33,1.46707,0.132594,0,1
292.408,1.49752,0.145885,4.94881,0,2.67405,-0.0115487,-3.45129,0.145885,7468.27,1.55187,0.110743,0,1
300.379,1.55151,0.162092,4.94881,0,6.77361,2.03329,-3.3973,0.162092,7479.21,1.54063,0.180252,0,1
312.484,1.56042,0.163599,5.21554,0,0.735973,0.124519,-3.65511,0.163599,7485.49,1.56567,0.165778,0,1
320.349,1.56984,0.167999,5.21554,0,1.19793,0.55947,-3.64569,0.167999,7490.57,1.57539,0.170589,0,1
332.414,1.60221,0.16728,5.45781,0,2.68306,-0.0596445,-3.8556,0.16728,7494.87,1.62678,0.156495,0,1
340.403,1.64971,0.166067,5.72409,0,5.94558,-0.151843,-4.07438,0.166067,7497.93,1.67311,0.172143,0,1
352.419,1.68704,0.168176,5.72409,0,3.10615,0.175573,-4.03705,0.168176,7499.77,1.81175,-0.0164556,0,1
360.662,1.70534,0.16797,5.96595,0,2.22034,-0.0251002,-4.26061,0.16797,7500.6,1.73617,0.188827,0,1
372.377,1.71474,0.167539,6.23175,0,0.802639,-0.0367201,-4.517,0.167539,7500.43,1.70908,0.173385,0,1
380.362,1.72681,0.163516,6.23175,0,1.51071,-0.503872,-4.50494,0.163516,7497.77,1.69498,0.125334,0,1
392.342,1.76426,0.167223,6.47315,0,3.12597,0.309472,-4.70889,0.167223,7488.73,1.80015,0.153278,0,1
400.336,2.2658,0.154375,6.47315,0,62.7401,-1.60729,-4.20735,0.154375,7471.52,2.74251,0.0461876,0,1
412.405,3.02435,0.156734,6.71431,0,62.8514,0.195468,-3.68996,0.156734,7451.33,4.30327,0.150826,0,1
420.332,3.57732,0.180645,6.71431,0,69.7571,3.01639,-3.137,0.180645,7434.62,3.87347,0.237167,0,1
432.363,3.86942,0.186753,6.97932,0,24.2788,0.507689,-3.10991,0.186753,7423,3.85869,0.187204,0,1
440.332,3.89953,0.187221,7.21998,0,3.77846,0.0587912,-3.32046,0.187221,7415.63,3.92549,0.157607,0,1
452.358,3.95027,0.1951,7.21998,0,4.21914,0.655104,-3.26972,0.1951,7411.23,3.99965,0.184974,0,1
464.395,4.00425,0.194578,7.46039,0,4.48508,-0.0433651,-3.45613,0.194578,7408.21,4.02537,0.222793,0,1
472.419,4.01812,0.204275,7.70052,0,1.72779,1.20861,-3.68241,0.204275,7404.93,3.96838,0.229311,0,1
484.39,4.03713,0.208998,7.70052,0,1.58817,0.394467,-3.66339,0.208998,7400.06,4.06841,0.143833,0,1
492.358,4.0618,0.208503,7.94039,0,3.09623,-0.0621318,-3.87859,0.208503,7393.84,4.10486,0.203085,0,1
504.432,4.08873,0.205837,8.17998,0,2.23027,-0.220764,-4.09125,0.205837,7388.23,4.07439,0.217042,0,1
512.567,4.10745,0.204529,8.17998,0,2.30164,-0.160839,-4.07253,0.204529,7384.81,4.13703,0.107972,0,1
524.357,4.11918,0.185748,8.41928,0,0.995125,-1.59297,-4.30009,0.185748,7383.31,4.11587,0.207335,0,1
