Resolution,1920,1080,Distance,57.5,Width,48,Subject,V007GDAURA,Test,CC9-04262017-130703,Calibration,CC9-04262017-130703,Oscann, 4.0.12,libTracker, 1.0.13,crtime, 07112019-112540
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks,valid
10,-23.1441,12.9461,-22.2296,12.7396,0,0,-0.91443,0.206453,2027.7,-23.1385,12.9461,0,1
20,-23.1441,12.9461,-22.2296,12.7396,0,0,-0.91443,0.206453,2027.7,-23.1776,12.9533,0,1
30,-23.1557,12.9366,-22.2296,12.7396,-1.16886,-0.950982,-0.926118,0.196943,2027.7,-23.1743,12.88,0,1
40,-23.1641,12.9251,-22.2296,12.7396,-0.834634,-1.15392,-0.934465,0.185404,2027.7,-23.1465,12.9028,0,1
50,-23.17,12.9143,-22.2296,12.7396,-0.588357,-1.07063,-0.940348,0.174697,2025.22,-23.1399,12.9215,0,1
60,-23.1702,12.8998,-22.2296,12.7396,-0.02713,-1.45135,-0.94062,0.160184,2020.33,-23.1995,12.8853,0,1
70,-23.1788,12.8963,-22.2296,12.7396,-0.85414,-0.353277,-0.949161,0.156651,2015.59,-23.181,12.8769,0,1
80,-23.2134,12.8907,-22.2296,12.7396,-3.46177,-0.555396,-0.983779,0.151097,2011.29,-23.2717,12.8671,0,1
90,-23.244,12.8932,-22.2296,12.7396,-3.05815,0.241442,-1.01436,0.153511,2006.7,-23.2836,12.9078,0,1
100,-23.2654,12.8978,-22.2296,12.7396,-2.14314,0.459667,-1.03579,0.158108,2000.88,-23.3262,12.8886,0,1
110,-23.2884,12.9208,-22.2296,12.7396,-2.29697,2.30325,-1.05876,0.181141,1993.75,-23.256,12.9563,0,1
120,-23.3006,12.9396,-22.2296,12.7396,-1.22314,1.88361,-1.07099,0.199977,1986.17,-23.3244,12.9764,0,1
130,-23.3008,12.9404,-22.2296,12.7396,-0.0160811,0.0755152,-1.07115,0.200732,1979.2,-23.2823,12.9979,0,1
140,-23.2931,12.9392,-22.2296,12.7396,0.765349,-0.116034,-1.0635,0.199571,1973.03,-23.3183,12.9192,0,1
150,-23.2906,12.9273,-22.2296,12.7396,0.248667,-1.19015,-1.06101,0.18767,1967.29,-23.2843,12.9027,0,1
160,-23.2553,12.9073,-22.2296,12.7396,3.53752,-2.00629,-1.02564,0.167607,1961.82,-23.2081,12.8545,0,1
170,-23.2191,12.9024,-22.2296,12.7396,3.61602,-0.489678,-0.989478,0.16271,1956.63,-23.2407,12.9049,0,1
180,-23.1988,12.8773,-22.2296,12.7396,2.0295,-2.50169,-0.969183,0.137693,1951.95,-23.1489,12.7703,0,1
190,-23.1742,12.8497,-22.2296,12.7396,2.46314,-2.76777,-0.944551,0.110016,1948.14,-23.1699,12.9107,0,1
200,-23.1606,12.842,-22.2296,12.7396,1.35878,-0.761438,-0.930964,0.102401,1945.34,-23.1548,12.8502,0,1
210,-23.1597,12.8368,-22.2296,12.7396,0.0846086,-0.52451,-0.930117,0.0971563,1943.21,-23.1749,12.8404,0,1
220,-23.1607,12.8418,-22.2296,12.7396,-0.0985577,0.50324,-0.931103,0.102189,1940.81,-23.1266,12.7765,0,1
230,-23.1776,12.8436,-22.2296,12.7396,-1.68892,0.172894,-0.947992,0.103918,1936.58,-23.2147,12.8674,0,1
240,-23.2054,12.8474,-22.2296,12.7396,-2.77474,0.379234,-0.97574,0.10771,1929.94,-23.3122,12.8417,0,1
250,-23.2282,12.876,-22.2296,12.7396,-2.28347,2.86336,-0.998574,0.136344,1922.29,-23.264,12.9039,0,1
260,-23.2396,12.9014,-22.2296,12.7396,-1.13658,2.53971,-1.00994,0.161741,1915.25,-23.2202,12.9024,0,1
270,-23.2398,12.9038,-22.2296,12.7396,-0.0234667,0.239796,-1.01017,0.164139,1909.38,-23.2801,12.9343,0,1
280,-23.2329,12.9109,-22.2296,12.7396,0.688649,0.71394,-1.00329,0.171278,1904.47,-23.2578,12.8784,0,1
290,-23.2248,12.935,-22.2296,12.7396,0.810735,2.40509,-0.995181,0.195329,1900.19,-23.199,12.9813,0,1
300,-23.2187,12.9501,-22.2296,12.7396,0.609419,1.51556,-0.989087,0.210484,1896.76,-23.2546,12.9938,0,1
310,-23.2075,12.9539,-22.2296,12.7396,1.12378,0.373818,-0.977849,0.214223,1894.16,-23.2017,12.9061,0,1
320,-23.2011,12.9533,-22.2296,12.7396,0.638246,-0.0562995,-0.971467,0.21366,1891.55,-23.2135,12.9247,0,1
330,-23.1985,12.9487,-22.2296,12.7396,0.258653,-0.455875,-0.96888,0.209101,1888.31,-23.1847,12.9659,0,1
340,-23.1819,12.9416,-22.2296,12.7396,1.66054,-0.710926,-0.952275,0.201992,1884.35,-23.1372,12.9497,0,1
350,-23.1528,12.9355,-22.2296,12.7396,2.90588,-0.610363,-0.923216,0.195888,1879.02,-23.1702,12.9237,0,1
360,-23.1039,12.9038,-22.2296,12.7396,4.89796,-3.17452,-0.874236,0.164143,1871.82,-23.0671,12.8121,0,1
370,-23.0627,12.8883,-22.2296,12.7396,4.11445,-1.54443,-0.833092,0.148698,1864.4,-23.0114,12.8216,0,1
380,-23.0354,12.8855,-22.2296,12.7396,2.73362,-0.286401,-0.805756,0.145834,1859.09,-23.0272,12.7916,0,1
390,-22.9464,12.8804,-22.2296,12.7396,8.89885,-0.51065,-0.716767,0.140728,1856.21,-22.8587,12.9671,0,1
400,-22.8675,12.9364,-22.2296,12.7396,7.89101,5.59918,-0.637857,0.19672,1854.84,-22.8156,13.0498,0,1
