Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01016,Test,TSVH-12142017-125949,Calibration,CC9-12142017-125905,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124229
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,-0.6051196962616827,-3.80408,0.0,0.0,0.0,0.0,2.67357,-3.80408,6441.05,2.66,-3.79027,0.0
9.266,-0.6051196962616827,-3.80408,0.0,0.0,0.0,0.0,2.67357,-3.80408,6441.05,2.69094,-3.83726,0.0
17.212,-0.5770696962616824,-3.84928,0.0,0.0,3.52916,-5.68807,2.70162,-3.84928,6441.05,2.75678,-3.98665,0.0
29.135,-0.5551396962616826,-3.89756,0.0,0.0,1.83952,-4.049,2.72355,-3.89756,6441.05,2.74651,-3.92876,0.0
37.183,-0.5510696962616826,-3.91379,0.0,0.0,0.505632,-2.0167,2.72762,-3.91379,6449.29,2.8381,-3.91363,0.0
49.18,-0.5516096962616825,-3.91434,0.0,0.0,-0.0452252,-0.0460665,2.72708,-3.91434,6448.12,2.71406,-3.89641,0.0
57.157,-0.5704596962616826,-3.91044,0.0,0.0,-2.36274,0.488939,2.70823,-3.91044,6443.88,2.66759,-3.92333,0.0
69.161,-0.6496996962616826,-3.85616,0.0,0.0,-6.60101,4.52219,2.62899,-3.85616,6434.54,2.5574,-3.80036,0.0
77.269,-0.7027796962616826,-3.80038,0.0,0.0,-6.54672,6.87897,2.57591,-3.80038,6419.27,2.55984,-3.75868,0.0
89.167,-0.7151396962616823,-3.7921,0.0,0.0,-1.03903,0.696305,2.56355,-3.7921,6396.76,2.52039,-3.7802,0.0
97.194,-0.7199896962616825,-3.79112,0.0,0.0,-0.60377,0.121131,2.5587,-3.79112,6365.55,2.59933,-3.85836,0.0
109.165,-0.7166896962616827,-3.78693,0.0,0.0,0.275436,0.350211,2.562,-3.78693,6329.56,2.56404,-3.68617,0.0
121.175,-0.7135296962616824,-3.79251,0.0,0.0,0.263395,-0.464709,2.56516,-3.79251,6296.54,2.54694,-3.7943,0.0
129.195,-0.7095996962616824,-3.80863,0.0,0.0,0.490083,-2.00901,2.56909,-3.80863,6265.78,2.58934,-3.8637,0.0
141.293,-0.7058396962616826,-3.82384,0.0,0.0,0.31107,-1.2572,2.57285,-3.82384,6228.68,2.62451,-3.7762,0.0
149.2,-0.7011596962616826,-3.82412,0.0,0.0,0.59068,-0.0360644,2.57753,-3.82412,6186.03,2.57728,-3.87396,0.0
161.196,-0.6768996962616827,-3.80494,0.0,0.0,2.02277,1.59905,2.60179,-3.80494,6148.98,2.63822,-3.82981,0.0
169.192,-0.6621396962616823,-3.74892,0.0,0.0,1.8459,7.00595,2.61655,-3.74892,6120.83,2.58422,-3.62764,0.0
181.192,-0.6576796962616824,-3.67734,0.0,0.0,0.371609,5.96517,2.62101,-3.67734,6094.57,2.75628,-3.62289,0.0
189.205,-0.6555296962616826,-3.67452,0.0,0.0,0.268274,0.351823,2.62316,-3.67452,6066.52,2.69493,-3.71962,0.0
201.177,-0.6092496962616827,-3.68133,0.0,0.0,3.86606,-0.568994,2.66944,-3.68133,6038.48,2.73257,-3.77294,0.0
209.173,-0.5852796962616824,-3.71525,0.0,0.0,2.99737,-4.242,2.69341,-3.71525,6011.62,2.57305,-3.63685,0.0
221.311,-0.5584096962616827,-3.75997,0.0,0.0,2.21358,-3.68473,2.72028,-3.75997,5986.04,2.7666,-3.81252,0.0
229.197,-0.5545496962616827,-3.78383,0.0,0.0,0.48931,-3.02561,2.72414,-3.78383,5961.46,2.74158,-3.77977,0.0
241.195,-0.5650496962616827,-3.80525,0.0,0.0,-0.874839,-1.78525,2.71364,-3.80525,5936.18,2.66059,-3.82263,0.0
249.294,-0.5575296962616827,-3.8427,0.0,0.0,0.928425,-4.62326,2.72116,-3.8427,5909.8,2.744,-3.89291,0.0
261.198,-0.5634696962616825,-3.87184,0.0,0.0,-0.49925,-2.44815,2.71522,-3.87184,5885.4,2.65459,-3.86024,0.0
