Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01023,Test,TFIX-01222018-112324,Calibration,CC9-01222018-112253,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124232
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.28819908789386406,-2.93811,0.0,0.0,0.0,0.0,-1.22986,-2.93811,2974.39,-1.22815,-2.93489,0.0
7.044,0.28819908789386406,-2.93811,0.0,0.0,0.0,0.0,-1.22986,-2.93811,2974.39,-1.24019,-3.02981,0.0
17.89,0.2702790878938641,-2.94414,0.0,0.0,-1.65238,-0.556336,-1.24778,-2.94414,2974.39,-1.29665,-2.94531,0.0
25.904,0.23270908789386402,-2.96154,0.0,0.0,-4.68777,-2.1706,-1.28535,-2.96154,2974.39,-1.30529,-2.97536,0.0
37.897,0.17582908789386398,-2.99566,0.0,0.0,-4.74313,-2.84501,-1.34223,-2.99566,2978.29,-1.44082,-3.10269,0.0
49.828,0.13312908789386402,-3.03614,0.0,0.0,-3.57876,-3.39325,-1.38493,-3.03614,2978.3,-1.44232,-3.05584,0.0
57.897,0.1200290878938639,-3.07086,0.0,0.0,-1.62364,-4.30264,-1.39803,-3.07086,2978.21,-1.37426,-3.08648,0.0
69.678,0.11298908789386397,-3.09143,0.0,0.0,-0.596864,-1.74581,-1.40507,-3.09143,2977.9,-1.37578,-3.20435,0.0
77.586,0.10305908789386398,-3.12485,0.0,0.0,-1.25591,-4.22715,-1.415,-3.12485,2976.99,-1.4313,-3.09057,0.0
89.591,0.09427908789386397,-3.17639,0.0,0.0,-0.731837,-4.29292,-1.42378,-3.17639,2974.72,-1.48279,-3.09869,0.0
97.85,0.08720908789386406,-3.19774,0.0,0.0,-0.855531,-2.58463,-1.43085,-3.19774,2970.86,-1.37913,-3.25114,0.0
