Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01023,Test,TOPTVU-01222018-114301,Calibration,CC9-01222018-114219,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124235
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-3.1817,-5.62033,0,0,0,0,-3.1817,-5.62033,0,-3.18173,-5.62031,2
6.809,-3.1817,-5.62033,0,0,0,0,-3.1817,-5.62033,0,-3.18173,-5.62031,2
18.486,-3.18173,-5.62031,0,0,-0.00242386,0.00118928,-3.18173,-5.62031,0,-3.18173,-5.62031,2
33.06,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,0,-3.18173,-5.62031,2
39.053,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,0,-3.18173,-5.62031,2
51.852,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,0,-3.18173,-5.62031,2
59.084,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,0,-3.18173,-5.62031,2
71.18,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,0,-3.18173,-5.62031,2
81.439,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,0,-3.18173,-5.62031,2
93.745,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,13.1742,-3.18173,-5.62031,2
103.002,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,101.115,-3.18173,-5.62031,2
113.111,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,394.441,-3.18173,-5.62031,2
119.262,-3.18173,-5.62031,0,0,0,0,-3.18173,-5.62031,950.951,-3.18173,-5.62031,0
133.331,-3.13679,-5.55179,0,0,3.19397,4.87043,-3.13679,-5.55179,1609.88,-3.18173,-5.62031,2
141.528,-2.07171,-3.91266,0,0,129.936,199.967,-2.07171,-3.91266,2164.66,-0.918314,-2.19868,0
150.541,-0.982322,-2.1893,0,0,120.869,191.208,-0.982322,-2.1893,2536.92,-1.00793,-1.92084,0
158.369,-0.838463,-1.80175,0,0,18.3775,49.509,-0.838463,-1.80175,2744.5,-0.564746,-1.2491,0
170.53,-0.658216,-0.958422,0,0,14.8217,69.3467,-0.658216,-0.958422,2853.29,-0.578605,-0.270355,0
181.166,-0.501524,-0.321809,0,0,14.7322,59.8545,-0.501524,-0.321809,2914.93,-0.431374,-0.362449,0
193.118,-0.414164,-0.280824,0,0,7.30917,3.42912,-0.414164,-0.280824,2944.56,-0.370272,-0.273613,0
202.068,-0.318131,-0.282098,0,0,10.73,-0.142345,-0.318131,-0.282098,2953.68,-0.246628,-0.0715653,0
211.541,-0.254323,-0.247225,0,0,6.73581,3.68136,-0.254323,-0.247225,2954.88,-0.231635,-0.299422,0
218.551,-0.247341,-0.187619,0,0,0.995884,8.50292,-0.247341,-0.187619,2952.1,-0.172314,-0.145481,0
232.694,-0.245142,-0.157332,0,0,0.155485,2.14151,-0.245142,-0.157332,2942.06,-0.191589,-0.164969,0
238.339,-0.247359,-0.146094,0,0,-0.392714,1.99073,-0.247359,-0.146094,2921.98,-0.418423,-0.324823,0
252.203,-0.278495,-0.133813,0,0,-2.24579,0.885842,-0.278495,-0.133813,2895.52,-0.313726,-0.0405624,0
259.156,-0.30453,-0.111489,0,0,-3.74448,3.21072,-0.30453,-0.111489,2869.06,-0.29967,-0.0978756,0
270.982,-0.312045,-0.0623606,0,0,-0.635445,4.15425,-0.312045,-0.0623606,2846.25,-0.277885,0.0523963,0
285.84,-0.3488,-0.0135227,0,0,-2.47377,3.28698,-0.3488,-0.0135227,2827.41,-0.536805,-0.08223,0
294.095,-0.416427,-0.0047878,0,0,-8.1922,1.05813,-0.416427,-0.0047878,2811.39,-0.468718,0.0504188,0
304.631,-0.450506,0.0135484,0,0,-3.23458,1.74034,-0.450506,0.0135484,2797.13,-0.470702,0.00933085,0
311.902,-0.460446,0.0152781,0,0,-1.36704,0.237888,-0.460446,0.0152781,2782.78,-0.434959,-0.0157397,0
322.731,-0.460092,0.0248085,0,0,0.0327039,0.880084,-0.460092,0.0248085,2766.1,-0.40505,0.0377019,0
331.496,-0.460049,0.02739,0,0,0.00493835,0.294526,-0.460049,0.02739,2748.32,-0.48239,0.0346503,0
344.774,-0.46363,0.035414,0,0,-0.269678,0.604303,-0.46363,0.035414,2732.84,-0.395439,0.0585917,0
353.017,-0.478358,0.0456302,0,0,-1.78675,1.23939,-0.478358,0.0456302,2718.72,-0.499774,0.0130998,0
364.799,-0.485104,0.102919,0,0,-0.572593,4.86237,-0.485104,0.102919,2700.59,-0.46745,0.151032,0
374.012,-0.490666,0.210215,0,0,-0.603712,11.6462,-0.490666,0.210215,2676.34,-0.675822,0.281185,0
384.846,-0.492348,0.292247,0,0,-0.155286,7.57173,-0.492348,0.292247,2650.07,-0.501729,0.319113,0
394.265,-0.496958,0.325024,0,0,-0.489415,3.47988,-0.496958,0.325024,2623.44,-0.490446,0.338442,0
402.608,-0.567776,0.38784,0,0,-8.4883,7.5292,-0.567776,0.38784,2589.93,-0.827813,0.455581,0
412.71,-0.638778,0.478253,0,0,-7.02846,8.94998,-0.638778,0.478253,2545.86,-0.634557,0.605545,0
424.77,-0.664872,0.557985,0,0,-2.16372,6.61127,-0.664872,0.557985,2498.08,-0.634044,0.512328,0
432.202,-0.677079,0.575462,0,0,-1.64246,2.35165,-0.677079,0.575462,2452.8,-0.688207,0.614332,0
445.978,-0.659492,0.607085,0,0,1.27661,2.2955,-0.659492,0.607085,2408.87,-0.744732,0.682208,0
452.804,-0.661348,0.582291,0,0,-0.271906,-3.6323,-0.661348,0.582291,2364.23,-0.668142,0.540529,0
464.799,-0.668433,0.642653,0,0,-0.590603,5.03222,-0.668433,0.642653,2318.99,-0.648068,0.690905,0
474.881,-0.656573,0.638176,0,0,1.17635,-0.444062,-0.656573,0.638176,2274.57,-0.573997,0.538781,0
484.571,-0.654525,0.576489,0,0,0.211358,-6.36603,-0.654525,0.576489,2233.62,-0.672082,0.729849,0
491.219,-0.652413,0.573668,0,0,0.317686,-0.424265,-0.652413,0.573668,2197.77,-0.649172,0.603822,0
503.136,-0.645412,0.577009,0,0,0.587424,0.280344,-0.645412,0.577009,2163.42,-0.532593,0.261524,0
511.52,-0.638292,0.661968,0,0,0.849227,10.1335,-0.638292,0.661968,2123.8,-0.656602,0.53701,0
522.466,-0.637514,0.67215,0,0,0.0710782,0.930168,-0.637514,0.67215,2078.3,-0.623558,0.767796,0
535.247,-0.634237,0.752201,0,0,0.256446,6.2633,-0.634237,0.752201,2033.26,-0.620697,0.733761,0
544.076,-0.678807,0.857204,0,0,-5.04813,11.8929,-0.678807,0.857204,1991.47,-0.719772,0.940978,0
554.525,-0.721623,1.01326,0,0,-4.09766,14.9347,-0.721623,1.01326,1950.92,-0.726746,1.09244,0
565.452,-0.726606,1.08939,0,0,-0.456024,6.96706,-0.726606,1.08939,1911.92,-0.726746,1.09244,1
578.209,-0.726746,1.09244,0,0,-0.010977,0.239675,-0.726746,1.09244,1877.04,-0.726746,1.09244,1
585.508,-0.726746,1.09244,0,0,-1.62528e-06,3.55233e-05,-0.726746,1.09244,1848.83,-0.726746,1.09244,1
596.198,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1829.25,-0.726746,1.09244,1
602.369,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1818.41,-0.726746,1.09244,1
616.107,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1814.07,-0.726746,1.09244,1
622.428,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.96,-0.726746,1.09244,1
635.907,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.79,-0.726746,1.09244,1
644.276,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.78,-0.726746,1.09244,1
654.489,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.78,-0.726746,1.09244,1
665.295,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.78,-0.726746,1.09244,1
679.533,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.78,-0.726746,1.09244,1
688.212,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.78,-0.726746,1.09244,1
695.957,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.78,-0.726746,1.09244,1
702.503,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1812.78,-0.726746,1.09244,1
714.995,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1810.36,-0.726746,1.09244,1
722.517,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1794.64,-0.726746,1.09244,1
735.901,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1744.42,-0.726746,1.09244,1
742.805,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1657.28,-0.726746,1.09244,1
755.461,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1572.94,-0.726746,1.09244,1
765.091,-0.726746,1.09244,0,0,0,0,-0.726746,1.09244,1527.1,-0.726746,1.09244,1
777.366,-0.728599,1.01981,0,0,-0.150967,-5.9172,-0.728599,1.01981,1513.8,-0.726746,1.09244,2
788.828,-0.769029,-0.711703,0,0,-3.52732,-151.065,-0.769029,-0.711703,1514.28,-0.64369,-3.0401,0
796.625,-0.834404,-2.37527,0,0,-8.38457,-213.359,-0.834404,-2.37527,1522.21,-0.780541,-2.89101,0
806.732,-0.804003,-2.4893,0,0,3.00785,-11.2831,-0.804003,-2.4893,1535.31,-0.837886,-2.53828,0
815.24,-0.793812,-2.48879,0,0,1.19786,0.0601009,-0.793812,-2.48879,1547.72,-0.879856,-2.34543,0
828.722,-0.788694,-2.41638,0,0,0.379645,5.3713,-0.788694,-2.41638,1555.82,-0.810109,-2.46059,0
836.472,-0.795438,-2.37,0,0,-0.870193,5.98351,-0.795438,-2.37,1560.08,-0.744168,-2.42627,0
849.319,-0.826274,-2.33265,0,0,-2.40028,2.9078,-0.826274,-2.33265,1562.13,-0.732751,-2.32851,0
855.292,-0.823152,-2.23471,0,0,0.522641,16.397,-0.823152,-2.23471,1563.35,-0.957082,-2.1366,0
870.676,-0.872204,-2.14497,0,0,-3.18849,5.83293,-0.872204,-2.14497,1564.33,-0.984387,-1.9393,0
878.501,-0.881838,-2.10153,0,0,-1.23111,5.55132,-0.881838,-2.10153,1565.17,-0.919437,-1.83108,0
887.271,-0.879452,-2.06232,0,0,0.271978,4.47097,-0.879452,-2.06232,1566.04,-0.854607,-2.14455,0
897.164,-0.878486,-2.049,0,0,0.097656,1.34674,-0.878486,-2.049,1567.57,-0.863181,-2.01806,0
908.293,-0.871377,-1.95118,0,0,0.638831,8.79005,-0.871377,-1.95118,1570.08,-0.850719,-2.10731,0
914.61,-0.871376,-1.91413,0,0,0.00011129,5.86519,-0.871376,-1.91413,1572.91,-0.822541,-1.78134,0
928.56,-0.924773,-1.75528,0,0,-3.82776,11.3867,-0.924773,-1.75528,1575.22,-1.00644,-1.67438,0
934.5,-1.00681,-1.69636,0,0,-13.8115,9.91999,-1.00681,-1.69636,1577.38,-1.02003,-1.76841,0
948.923,-1.02383,-1.61462,0,0,-1.17953,5.66737,-1.02383,-1.61462,1580.91,-1.06336,-1.55488,0
955.469,-1.08204,-1.51113,0,0,-8.89245,15.8091,-1.08204,-1.51113,1587.37,-1.15925,-1.37584,0
969.184,-1.10605,-1.42449,0,0,-1.75118,6.31752,-1.10605,-1.42449,1596.66,-1.09415,-1.38076,0
980.298,-1.10392,-1.38038,0,0,0.19216,3.96813,-1.10392,-1.38038,1607.46,-1.16067,-1.37086,0
989.21,-1.10266,-1.37416,0,0,0.141624,0.698855,-1.10266,-1.37416,1619.71,-1.08526,-1.43686,0
996.715,-1.08066,-1.32077,0,0,2.93099,7.11356,-1.08066,-1.32077,1633.71,-1.02648,-1.09313,0
1009.2,-1.07185,-1.21574,0,0,0.705581,8.41262,-1.07185,-1.21574,1648.12,-1.00409,-1.16732,0
1016.49,-1.06313,-1.09718,0,0,1.19561,16.2547,-1.06313,-1.09718,1661.59,-1.09436,-0.898299,0
1028.47,-1.06222,-0.975155,0,0,0.0755752,10.1887,-1.06222,-0.975155,1674.07,-1.10033,-1.02921,0
1038.54,-1.0616,-0.955159,0,0,0.0614509,1.98514,-1.0616,-0.955159,1686.01,-1.07786,-0.893116,0
1046.43,-1.07104,-0.908547,0,0,-1.19666,5.91149,-1.07104,-0.908547,1696.83,-1.04759,-0.91037,0
1059.47,-1.08168,-0.904815,0,0,-0.815622,0.286169,-1.08168,-0.904815,1705.53,-1.0412,-1.00517,0
1072.19,-1.09045,-0.878318,0,0,-0.689341,2.08262,-1.09045,-0.878318,1712.58,-1.15098,-0.803053,0
1079.42,-1.13288,-0.805948,0,0,-5.86776,10.0068,-1.13288,-0.805948,1718.76,-1.17801,-0.711327,0
1086.48,-1.1975,-0.711014,0,0,-9.152,13.4468,-1.1975,-0.711014,1723.49,-1.22884,-0.616652,0
1100.94,-1.23848,-0.648321,0,0,-2.83419,4.33596,-1.23848,-0.648321,1726.15,-1.35131,-0.567297,0
1109.09,-1.23688,-0.603022,0,0,0.196374,5.56291,-1.23688,-0.603022,1727.61,-1.20538,-0.635954,0
1118.47,-1.23354,-0.526607,0,0,0.356151,8.14743,-1.23354,-0.526607,1728.72,-1.25806,-0.22225,0
1128.76,-1.22642,-0.430983,0,0,0.691589,9.29202,-1.22642,-0.430983,1729.08,-1.06316,-0.395099,0
1138.59,-1.21366,-0.307693,0,0,1.29774,12.5422,-1.21366,-0.307693,1728,-1.20392,-0.231735,0
1148.91,-1.2055,-0.208145,0,0,0.790828,9.64335,-1.2055,-0.208145,1725.29,-1.18762,-0.00173773,0
1161.29,-1.20216,-0.155802,0,0,0.269703,4.2267,-1.20216,-0.155802,1721.46,-1.20528,-0.134922,0
1172.92,-1.21492,-0.0250881,0,0,-1.09725,11.2393,-1.21492,-0.0250881,1717.14,-1.25318,0.170425,0
1182.53,-1.27208,0.106643,0,0,-5.94823,13.7091,-1.27208,0.106643,1712.65,-1.36743,0.198878,0
1188.99,-1.27456,0.112189,0,0,-0.385066,0.858447,-1.27456,0.112189,1708.72,-1.38338,0.216935,0
1200.64,-1.27377,0.111985,0,0,0.0681082,-0.0175526,-1.27377,0.111985,1705.97,-1.2885,0.0148871,0
1207.87,-1.25243,0.105308,0,0,2.95001,-0.923108,-1.25243,0.105308,1704.18,-1.1602,0.0729239,0
1219.11,-1.16918,0.0568333,0,0,7.4065,-4.31233,-1.16918,0.0568333,1703,-1.20685,0.100055,0
1227.53,-0.97085,-0.00768845,0,0,23.5738,-7.66929,-0.97085,-0.00768845,1702.3,-0.427124,-0.0683329,0
1238.39,-0.557952,-0.184206,0,0,38.0236,-16.2555,-0.557952,-0.184206,1701.46,-0.206666,-0.331405,0
1248.85,-0.306878,-0.335013,0,0,24.0033,-14.4175,-0.306878,-0.335013,1699.09,-0.299959,-0.49418,0
1260.62,-0.296596,-0.341323,0,0,0.87346,-0.536066,-0.296596,-0.341323,1694.27,-0.305739,-0.356255,0
1268.99,-0.298654,-0.334813,0,0,-0.245587,0.77702,-0.298654,-0.334813,1687.64,-0.19368,-0.501746,0
1279.59,-0.3473,-0.178864,0,0,-4.59146,14.7192,-0.3473,-0.178864,1681.04,-0.571753,0.00661191,0
1291.37,-0.392806,0.00991844,0,0,-3.86295,16.0257,-0.392806,0.00991844,1675.96,-0.386124,0.033125,0
1300.82,-0.41204,0.0880309,0,0,-2.03558,8.26674,-0.41204,0.0880309,1672.36,-0.375074,0.341399,0
1312.1,-0.411954,0.0934179,0,0,0.00757406,0.477404,-0.411954,0.0934179,1669.74,-0.416792,0.276966,0
1318.43,-0.392692,0.1484,0,0,3.044,8.68877,-0.392692,0.1484,1668.04,-0.491954,0.152213,0
1332.15,-0.393046,0.210196,0,0,-0.0257856,4.50401,-0.393046,0.210196,1667.1,-0.399698,-0.027903,0
1338.48,-0.404023,0.213878,0,0,-1.73439,0.581827,-0.404023,0.213878,1666.67,-0.39344,0.150045,0
1351.84,-0.403473,0.227239,0,0,0.0411845,1.00033,-0.403473,0.227239,1666.53,-0.386632,0.341216,0
1359.42,-0.397073,0.31465,0,0,0.843965,11.5272,-0.397073,0.31465,1666.43,-0.40604,0.297198,0
1374.29,-0.405099,0.343224,0,0,-0.539894,1.92197,-0.405099,0.343224,1665.96,-0.405756,0.338905,0
1384.28,-0.435991,0.430287,0,0,-3.09255,8.71596,-0.435991,0.430287,1664.38,-0.458446,0.602009,0
1393.64,-0.482112,0.515739,0,0,-4.9259,9.1265,-0.482112,0.515739,1660.73,-0.501559,0.52034,0
1399.4,-0.500822,0.520297,0,0,-3.24655,0.791032,-0.500822,0.520297,1652.74,-0.501559,0.52034,1
1410.58,-0.501559,0.52034,0,0,-0.0659643,0.00383081,-0.501559,0.52034,1635.43,-0.501559,0.52034,1
1420.55,-0.501559,0.52034,0,0,-6.26924e-06,3.61575e-07,-0.501559,0.52034,1606.31,-0.501559,0.52034,1
1431.36,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1573.52,-0.501559,0.52034,1
1438.36,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1549.98,-0.501559,0.52034,1
1452.12,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1539.53,-0.501559,0.52034,1
1459.35,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.78,-0.501559,0.52034,1
1474.59,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.37,-0.501559,0.52034,1
1483.83,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1493.48,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1499.93,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1513.23,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1519.34,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1533.06,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1544.89,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1553.06,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.34,-0.501559,0.52034,1
1565.59,-0.501559,0.52034,0,0,0,0,-0.501559,0.52034,1536.57,-0.501559,0.52034,1
