Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,1023,Test,TSMV-01222018-113848,Calibration,CC9-01222018-113651,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.752952,0.585763,0,0,0,0,0.752952,0.585763,4305.79,0.761633,0.569151,0
10.585,0.752952,0.585763,0,0,0,0,0.752952,0.585763,4305.79,0.75014,0.631712,0
15.2,0.74041,0.606751,0,0,-2.71767,4.54777,0.74041,0.606751,4305.79,0.75554,0.722709,0
20.496,0.736715,0.618803,0,0,-0.697707,2.27566,0.736715,0.618803,4305.79,0.572872,0.634985,0
32.245,0.741385,0.647619,0,0,0.397472,2.45262,0.741385,0.647619,4310.17,0.747987,0.680049,0
40.132,0.730976,0.649067,0,0,-1.31978,0.183624,0.730976,0.649067,4307.12,0.715884,0.626606,0
52.081,0.714774,0.622235,0,0,-1.35592,-2.2455,0.714774,0.622235,4301.09,0.793762,0.667437,0
64.093,0.712546,0.620035,0,0,-0.18546,-0.183169,0.712546,0.620035,4290.2,0.711933,0.613655,0
72.072,0.680067,0.617103,0,0,-4.07061,-0.367417,0.680067,0.617103,4272.01,0.636869,0.560198,0
83.939,0.649397,0.621048,0,0,-2.58447,0.332429,0.649397,0.621048,4247.84,0.464247,0.645471,0
91.989,0.64729,0.622113,0,0,-0.26172,0.132225,0.64729,0.622113,4223.49,0.63041,0.530756,0
103.915,0.638375,0.642806,0,0,-0.747552,1.73516,0.638375,0.642806,4201.92,0.655139,0.659735,0
111.982,0.646551,0.686845,0,0,1.01349,5.45906,0.646551,0.686845,4180.26,0.608391,0.776864,0
123.927,0.663189,0.709847,0,0,1.39294,1.92571,0.663189,0.709847,4154.84,0.637774,0.715711,0
131.93,0.657168,0.71171,0,0,-0.752378,0.232754,0.657168,0.71171,4124.74,0.818202,0.944003,0
143.906,0.686435,0.704409,0,0,2.44381,-0.609622,0.686435,0.704409,4089.76,0.751782,0.697274,0
