Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01023,Test,TSVV-01222018-112415,Calibration,CC9-01222018-112253,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124233
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,-6.54288,-5.313313375174337,0.0,0.0,0.0,0.0,-6.54288,-9.15527,1407.89,-6.5429,-9.15527,0.0
9.526,-6.54288,-5.313313375174337,0.0,0.0,0.0,0.0,-6.54288,-9.15527,1407.89,-6.5429,-9.15527,2.0
21.461,-6.5429,-5.313313375174337,0.0,0.0,-0.00191571,-0.000164046,-6.5429,-9.15527,1407.89,-6.5429,-9.15527,2.0
29.528,-6.5429,-5.313313375174337,0.0,0.0,0.0,0.0,-6.5429,-9.15527,1407.89,-6.5429,-9.15527,2.0
41.492,-6.5429,-5.313313375174337,0.0,0.0,0.0,0.0,-6.5429,-9.15527,1409.71,-6.5429,-9.15527,2.0
49.599,-6.5429,-5.313313375174337,0.0,0.0,0.0,0.0,-6.5429,-9.15527,1409.71,-6.5429,-9.15527,2.0
61.509,-6.5429,-5.313313375174337,0.0,0.0,0.0,0.0,-6.5429,-9.15527,1413.78,-6.5429,-9.15527,2.0
69.474,-6.52006,-5.285353375174337,0.0,0.0,2.86797,3.51047,-6.52006,-9.12731,1445.31,-6.43906,-9.38612,0.0
81.582,-5.92568,-4.5305733751743364,0.0,0.0,49.0902,62.3376,-5.92568,-8.37253,1563.31,-8.8086,-7.74295,0.0
89.488,-3.89657,-2.388333375174337,0.0,0.0,256.654,270.963,-3.89657,-6.23029,1818.96,-2.30182,-4.7046,0.0
101.605,-2.24369,-0.5593133751743373,0.0,0.0,136.41,150.947,-2.24369,-4.40127,2156.15,-1.83438,-3.9689,0.0
109.509,-1.99459,-0.013963375174336878,0.0,0.0,31.5157,68.9965,-1.99459,-3.85592,2433.05,-1.8687,-3.48179,0.0
121.529,-1.86574,0.31838662482566304,0.0,0.0,10.7195,27.6499,-1.86574,-3.52357,2575.61,-1.74672,-3.13068,0.0
129.514,-1.78158,0.5557166248256631,0.0,0.0,10.5392,29.7217,-1.78158,-3.28624,2621.48,-1.85975,-3.1293,0.0
141.506,-1.76674,0.5968166248256628,0.0,0.0,1.23757,3.42707,-1.76674,-3.24514,2630.65,-1.81383,-3.40977,0.0
