Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114055,Calibration,CC9-03022018-114055
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.6774,15.7733,-21.99,12.5926,0,0,-0.687446,3.18063,1970.96,-22.6554,15.7748,0
0,-22.6774,15.7733,-21.99,12.5926,nan,nan,-0.687446,3.18063,1970.96,-22.8056,15.7735,0
12,-22.7259,15.768,-21.99,12.5926,-4.03726,-0.438294,-0.735893,3.17537,1970.96,-22.7366,15.7799,0
17,-22.7314,15.7568,-21.99,12.5926,-1.09996,-2.2448,-0.741393,3.16415,1970.96,-22.7841,15.7449,0
31,-22.7543,15.761,-21.99,12.5926,-1.63888,0.298311,-0.764337,3.16833,1972.57,-22.769,15.716,0
39,-22.7586,15.7666,-21.99,12.5926,-0.531631,0.702238,-0.76859,3.17394,1970.24,-22.6822,15.7628,0
49,-22.7606,15.7588,-21.99,12.5926,-0.201235,-0.779771,-0.770602,3.16615,1966.19,-22.7407,15.7701,0
57,-22.7601,15.7642,-21.99,12.5926,0.0558989,0.676232,-0.770155,3.17156,1961.45,-22.7724,15.792,0
69,-22.7767,15.7676,-21.99,12.5926,-1.38296,0.28801,-0.786751,3.17501,1957.1,-22.9306,15.7795,0
77,-22.7994,15.7802,-21.99,12.5926,-2.83471,1.57542,-0.809428,3.18762,1952.93,-22.8105,15.7599,0
93,-22.8097,15.7846,-21.99,12.5926,-0.6437,0.272723,-0.819728,3.19198,1948.82,-22.8078,15.8034,0
99,-22.8124,15.7852,-21.99,12.5926,-0.449756,0.102272,-0.822426,3.19259,1945.18,-22.8131,15.7766,0
113,-22.8327,15.7889,-21.99,12.5926,-1.44761,0.265346,-0.842693,3.19631,1941.7,-22.8264,15.9098,0
120,-22.8732,15.791,-21.99,12.5926,-5.78766,0.289508,-0.883206,3.19834,1937.67,-22.9098,15.8622,0
131,-22.8971,15.782,-21.99,12.5926,-2.17643,-0.814518,-0.907147,3.18938,1933.56,-22.9205,15.7499,0
140,-22.9036,15.7571,-21.99,12.5926,-0.720828,-2.76639,-0.913634,3.16448,1930.61,-22.8876,15.7563,0
149,-22.9053,15.7501,-21.99,12.5926,-0.191261,-0.776566,-0.915356,3.15749,1929.1,-22.8755,15.8166,0
