Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-115835,Calibration,CC9-03022018-115835,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124240
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-20.6392,12.3034,-21.99,12.5926,0,0,1.35077,-0.28921,16.9237,-20.6393,12.3035,2
7.702,-20.6392,12.3034,-21.99,12.5926,0,0,1.35077,-0.28921,16.9237,-20.6393,12.3035,2
18.933,-20.6393,12.3035,-21.99,12.5926,-0.011555,0.00542497,1.35064,-0.289149,16.9237,-20.6393,12.3035,2
31.425,-20.6393,12.3035,-21.99,12.5926,0,0,1.35064,-0.289149,16.9237,-20.6393,12.3035,2
40.8,-20.6393,12.3035,-21.99,12.5926,0,0,1.35064,-0.289149,129.915,-20.6393,12.3035,2
49.798,-20.6393,12.3035,-21.99,12.5926,0,0,1.35064,-0.289149,498.331,-20.6393,12.3035,2
62.276,-20.6423,12.3063,-21.99,12.5926,-0.234747,0.224339,1.34771,-0.28635,1156.41,-20.6393,12.3035,0
72.453,-20.7128,12.3719,-21.99,12.5926,-6.93038,6.44747,1.27718,-0.220734,1815.4,-20.8641,12.4494,0
80.477,-20.8029,12.4225,-21.99,12.5926,-11.2252,6.3035,1.18711,-0.170154,2185.92,-20.9546,12.4966,0
93.668,-20.8557,12.4308,-21.99,12.5926,-4.00704,0.630509,1.13425,-0.161837,2300.95,-20.7845,12.327,0
101.011,-21.2492,12.4985,-21.99,12.5926,-53.5894,9.21542,0.740747,-0.0941685,2320.68,-21.8678,12.7259,0
113.448,-21.5203,12.5478,-21.99,12.5926,-21.7925,3.96625,0.469714,-0.0448402,2322.69,-21.7642,12.41,0
120.938,-21.5664,12.6157,-21.99,12.5926,-6.15325,9.06875,0.423626,0.0230847,2322.56,-21.6087,12.6919,0
132.485,-21.6055,12.7041,-21.99,12.5926,-3.38692,7.65313,0.384517,0.111455,2322.17,-21.2886,12.7478,0
140.507,-21.4176,12.7218,-21.99,12.5926,23.4207,2.20251,0.572398,0.129124,2321.34,-21.3803,12.7253,0
150.616,-21.2894,12.7102,-21.99,12.5926,12.6768,-1.13957,0.700548,0.117604,2318.88,-21.2211,12.6536,0
158.608,-21.2502,12.7068,-21.99,12.5926,4.91419,-0.426093,0.739822,0.114199,2313.9,-21.2873,12.7791,0
172.072,-21.2405,12.6937,-21.99,12.5926,0.721547,-0.973102,0.749537,0.101097,2307.45,-21.0248,12.5442,0
180.861,-21.2401,12.6932,-21.99,12.5926,0.0411506,-0.0650353,0.749898,0.100525,2301.48,-21.2192,12.6688,0
191.598,-21.24,12.6932,-21.99,12.5926,0.00469908,-0.000481571,0.749949,0.10052,2296.47,-21.2523,12.7018,0
198.464,-21.2396,12.6942,-21.99,12.5926,0.0607975,0.146856,0.750366,0.101528,2290.91,-21.3148,12.6642,0
210.443,-21.2566,12.7204,-21.99,12.5926,-1.41457,2.1887,0.733421,0.127747,2282.56,-21.3043,12.7928,0
219.545,-21.2654,12.7364,-21.99,12.5926,-0.970313,1.7587,0.724589,0.143755,2271,-21.2849,12.7792,0
230.527,-21.2644,12.7374,-21.99,12.5926,0.0910384,0.0887773,0.725589,0.14473,2258.5,-21.4169,12.751,0
239.62,-21.2569,12.7474,-21.99,12.5926,0.823417,1.09964,0.733077,0.154729,2247.78,-21.1422,12.7213,0
250.445,-21.2378,12.7536,-21.99,12.5926,1.76317,0.574731,0.752163,0.16095,2240.13,-21.1153,12.6362,0
