Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,1034,Test,TSVV-03022018-114214,Calibration,CC9-03022018-114055,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-0.026074,0.354805,0,0,0,0,-0.026074,0.354805,2090.63,-0.0364191,0.395845,0
10.131,-0.026074,0.354805,0,0,0,0,-0.026074,0.354805,2090.63,-0.0243245,0.244485,0
21.46,-0.00495345,0.262074,0,0,1.86429,-8.18526,-0.00495345,0.262074,2090.63,0.03982,0.170285,0
28.198,0.00624585,0.151111,0,0,1.66211,-16.4684,0.00624585,0.151111,2090.63,0.0630754,0.0583126,0
40.226,0.0105127,0.0972891,0,0,0.354743,-4.47468,0.0105127,0.0972891,2092.75,0.158009,-0.00528897,0
48.23,0.0153245,0.094481,0,0,0.60117,-0.35084,0.0153245,0.094481,2091.36,0.0139483,0.174209,0
60.131,0.0255602,0.0941171,0,0,0.860078,-0.0305828,0.0255602,0.0941171,2089.23,0.0259594,0.11052,0
68.227,0.0202474,0.120326,0,0,-0.65623,3.23726,0.0202474,0.120326,2086.98,0.00104476,0.0909588,0
79.977,0.021541,0.156087,0,0,0.110092,3.0435,0.021541,0.156087,2084.72,0.0450628,0.165558,0
87.94,0.0312568,0.229178,0,0,1.22012,9.17882,0.0312568,0.229178,2081.7,0.0659427,0.323816,0
99.889,0.0442598,0.29815,0,0,1.08821,5.77221,0.0442598,0.29815,2077.33,-0.0553769,0.293068,0
107.92,0.0537624,0.300566,0,0,1.18324,0.300777,0.0537624,0.300566,2072.13,0.166717,0.282255,0
119.867,0.0714699,0.314631,0,0,1.48217,1.17729,0.0714699,0.314631,2067.27,0.0592432,0.409834,0
127.915,0.0908043,0.295985,0,0,2.40239,-2.31676,0.0908043,0.295985,2063.25,0.0843664,0.210757,0
139.913,0.0962976,0.306164,0,0,0.457852,0.848368,0.0962976,0.306164,2059.45,0.105113,0.434042,0
151.902,0.0954323,0.28681,0,0,-0.0721792,-1.61432,0.0954323,0.28681,2055.72,0.21285,0.202961,0
159.894,0.116141,0.262376,0,0,2.59119,-3.05731,0.116141,0.262376,2052.82,0.100086,0.308777,0
171.954,0.152296,0.256222,0,0,2.9979,-0.51031,0.152296,0.256222,2050.62,0.158532,0.307674,0
179.885,0.170648,0.247498,0,0,2.31404,-1.10001,0.170648,0.247498,2047.94,0.184838,0.155853,0
191.876,0.164192,0.231013,0,0,-0.538459,-1.37476,0.164192,0.231013,2043.58,0.110551,0.193469,0
199.898,0.163161,0.230402,0,0,-0.128479,-0.0761075,0.163161,0.230402,2037.67,0.187576,0.245753,0
211.982,0.145957,0.235749,0,0,-1.42372,0.442454,0.145957,0.235749,2032.1,0.154373,0.180735,0
219.866,0.120731,0.311706,0,0,-3.19968,9.63436,0.120731,0.311706,2028.45,-0.0289271,0.416401,0
232.004,0.0546931,0.437678,0,0,-5.44055,10.3783,0.0546931,0.437678,2026.21,0.0649024,0.48176,0
242.612,-0.00547793,0.451009,0,0,-5.67224,1.25666,-0.00547793,0.451009,2024.32,0.124804,0.475469,0
252.257,-0.109035,0.459944,0,0,-10.7368,0.926409,-0.109035,0.459944,2022.8,-0.186184,0.513909,0
262.396,-0.244155,0.347772,0,0,-13.3268,-11.0634,-0.244155,0.347772,2022.03,-0.346533,0.169069,0
272.766,-0.289111,0.178493,0,0,-4.33521,-16.324,-0.289111,0.178493,2021.77,-0.286849,0.0779931,0
280.222,-0.293639,0.144244,0,0,-0.607267,-4.59344,-0.293639,0.144244,2021.64,-0.396797,0.220755,0
292.304,-0.295153,0.12009,0,0,-0.125281,-1.9992,-0.295153,0.12009,2021.5,-0.213117,0.0800542,0
300.169,-0.272843,0.111287,0,0,2.83662,-1.11919,-0.272843,0.111287,2021.42,-0.274736,0.0549329,0
312.23,-0.256372,0.108153,0,0,1.3656,-0.259867,-0.256372,0.108153,2021.54,-0.242953,0.104575,0
320.193,-0.24504,0.0928608,0,0,1.42309,-1.9204,-0.24504,0.0928608,2022.03,-0.242665,0.113877,0
332.192,-0.243102,0.106396,0,0,0.161558,1.128,-0.243102,0.106396,2022.95,-0.222642,0.131435,0
340.207,-0.243496,0.112321,0,0,-0.0492434,0.739224,-0.243496,0.112321,2023.97,-0.188643,0.0656249,0
352.021,-0.260884,0.188405,0,0,-1.47179,6.44017,-0.260884,0.188405,2024.81,-0.339965,0.316703,0
359.901,-0.307014,0.271431,0,0,-5.8541,10.5364,-0.307014,0.271431,2025.72,-0.333845,0.359423,0
371.906,-0.325047,0.288646,0,0,-1.50208,1.43395,-0.325047,0.288646,2027.19,-0.345026,0.235511,0
379.982,-0.337672,0.307245,0,0,-1.56327,2.30299,-0.337672,0.307245,2029.23,-0.340551,0.28184,0
391.894,-0.338012,0.3161,0,0,-0.0285474,0.743342,-0.338012,0.3161,2031.48,-0.306544,0.327013,0
403.892,-0.336271,0.345085,0,0,0.145132,2.41584,-0.336271,0.345085,2033.71,-0.393163,0.394958,0
411.983,-0.344241,0.374849,0,0,-0.985142,3.67864,-0.344241,0.374849,2035.78,-0.334447,0.399066,0
423.884,-0.352498,0.392912,0,0,-0.693786,1.51779,-0.352498,0.392912,2037.78,-0.36833,0.413427,0
431.906,-0.355866,0.395826,0,0,-0.419802,0.363295,-0.355866,0.395826,2040.28,-0.395939,0.3877,0
443.972,-0.356587,0.395927,0,0,-0.0597538,0.00833731,-0.356587,0.395927,2043.77,-0.33941,0.247384,0
451.965,-0.369572,0.395877,0,0,-1.62457,-0.00622382,-0.369572,0.395877,2048.07,-0.42961,0.420316,0
467.093,-0.361181,0.391389,0,0,0.554695,-0.29666,-0.361181,0.391389,2052.45,-0.312986,0.34288,0
475.164,-0.36303,0.369593,0,0,-0.2292,-2.70057,-0.36303,0.369593,2056.66,-0.382432,0.394458,0
484.209,-0.368122,0.320183,0,0,-0.562871,-5.4627,-0.368122,0.320183,2061.82,-0.372107,0.289573,0
494.27,-0.371506,0.279712,0,0,-0.336378,-4.02254,-0.371506,0.279712,2068.48,-0.37521,0.224069,0
504.905,-0.375761,0.278599,0,0,-0.40007,-0.104719,-0.375761,0.278599,2074.81,-0.3931,0.246556,0
512.334,-0.376219,0.279167,0,0,-0.0616877,0.0764649,-0.376219,0.279167,2079.15,-0.326895,0.189329,0
524.21,-0.385057,0.292511,0,0,-0.744199,1.12362,-0.385057,0.292511,2082.54,-0.362197,0.329785,0
532.295,-0.442729,0.315526,0,0,-7.13318,2.84667,-0.442729,0.315526,2087.01,-0.571968,0.631297,0
