Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01079,Test,TASVH-07172018-134248,Calibration,CC9-07172018-134204,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124257
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.4481936390836839,-0.00577931,0.0,0.0,0.0,0.0,-0.203068,-0.00577931,10229.9,-0.226914,-0.00523141,0.0
13.503,0.4481936390836839,-0.00577931,0.0,0.0,0.0,0.0,-0.203068,-0.00577931,10229.9,-0.0960759,0.0129614,0.0
24.194,0.464241639083684,-0.0147291,0.0,0.0,1.50115,-0.837131,-0.18702,-0.0147291,10229.9,-0.13052,-0.0311865,0.0
32.212,0.464399639083684,-0.0870719,0.0,0.0,0.0196484,-9.02256,-0.186862,-0.0870719,10229.9,-0.162019,-0.157531,0.0
44.209,0.46324963908368394,-0.145531,0.0,0.0,-0.095868,-4.87277,-0.188012,-0.145531,10252.4,-0.195146,-0.178139,0.0
52.303,0.444925639083684,-0.147744,0.0,0.0,-2.26389,-0.27349,-0.206336,-0.147744,10259.6,-0.239056,-0.235406,0.0
64.164,0.41507763908368395,-0.146929,0.0,0.0,-2.51646,0.0687355,-0.236184,-0.146929,10264.3,-0.327973,-0.136993,0.0
72.303,0.40732563908368397,-0.136509,0.0,0.0,-0.95245,1.2803,-0.243936,-0.136509,10267.0,-0.257096,-0.0719035,0.0
84.157,0.4070096390836839,-0.136051,0.0,0.0,-0.0266379,0.0386002,-0.244252,-0.136051,10268.4,-0.203947,-0.130612,0.0
92.19,0.406818639083684,-0.136051,0.0,0.0,-0.0237841,3.38467e-05,-0.244443,-0.136051,10269.8,-0.303902,-0.0761093,0.0
103.993,0.41833763908368393,-0.137363,0.0,0.0,0.975882,-0.111162,-0.232924,-0.137363,10272.6,-0.204291,-0.146625,0.0
111.967,0.4186616390836839,-0.163751,0.0,0.0,0.0407071,-3.30923,-0.2326,-0.163751,10277.7,-0.255862,-0.19508,0.0
123.893,0.4174996390836839,-0.183259,0.0,0.0,-0.0974318,-1.63581,-0.233762,-0.183259,10285.1,-0.209819,-0.202705,0.0
131.904,0.39308663908368396,-0.184116,0.0,0.0,-3.04746,-0.106892,-0.258175,-0.184116,10295.4,-0.322369,-0.170556,0.0
143.968,0.36879863908368393,-0.191727,0.0,0.0,-2.01326,-0.630953,-0.282463,-0.191727,10309.0,-0.313804,-0.183348,0.0
151.867,0.36701363908368395,-0.193675,0.0,0.0,-0.225943,-0.24651,-0.284248,-0.193675,10324.0,-0.283541,-0.171659,0.0
163.953,0.367010639083684,-0.194168,0.0,0.0,-0.000293789,-0.0408223,-0.284251,-0.194168,10337.0,-0.28326,-0.198281,0.0
171.937,0.36889163908368394,-0.203795,0.0,0.0,0.235563,-1.20584,-0.28237,-0.203795,10348.5,-0.332326,-0.254431,0.0
183.962,0.39674963908368394,-0.204796,0.0,0.0,2.31668,-0.0832171,-0.254512,-0.204796,10361.8,-0.165812,-0.20032,0.0
191.901,0.41210263908368394,-0.210429,0.0,0.0,1.93385,-0.70947,-0.239159,-0.210429,10377.0,-0.124775,-0.223252,0.0
203.871,0.41272463908368395,-0.210608,0.0,0.0,0.0520145,-0.0150079,-0.238537,-0.210608,10390.0,-0.145715,-0.168747,0.0
211.885,0.41214763908368396,-0.209005,0.0,0.0,-0.0720381,0.200016,-0.239114,-0.209005,10398.8,-0.2525,-0.216535,0.0
223.911,0.39871763908368396,-0.206661,0.0,0.0,-1.11675,0.194932,-0.252544,-0.206661,10405.8,-0.255055,-0.213802,0.0
231.933,0.39692963908368395,-0.193458,0.0,0.0,-0.222853,1.6459,-0.254332,-0.193458,10415.1,-0.255198,-0.200494,0.0
243.89,0.39684663908368395,-0.197207,0.0,0.0,-0.00691307,-0.31355,-0.254415,-0.197207,10429.2,-0.324595,-0.154927,0.0
251.896,0.396758639083684,-0.183756,0.0,0.0,-0.0110904,1.68007,-0.254503,-0.183756,10447.0,-0.269526,-0.109004,0.0
263.887,0.39252563908368393,-0.175293,0.0,0.0,-0.352961,0.705754,-0.258736,-0.175293,10463.7,-0.227744,-0.189183,0.0
275.886,0.38882563908368395,-0.169753,0.0,0.0,-0.308351,0.461767,-0.262436,-0.169753,10476.3,-0.207868,-0.156566,0.0
283.949,0.386743639083684,-0.169834,0.0,0.0,-0.258253,-0.0101223,-0.264518,-0.169834,10487.4,-0.35961,-0.176539,0.0
295.898,0.40266263908368394,-0.178534,0.0,0.0,1.33225,-0.728105,-0.248599,-0.178534,10503.9,-0.327978,-0.10578,0.0
303.979,0.40487463908368393,-0.201572,0.0,0.0,0.273716,-2.85088,-0.246387,-0.201572,10530.1,-0.138455,-0.391104,0.0
315.893,0.4055036390836839,-0.249493,0.0,0.0,0.0527511,-4.02218,-0.245758,-0.249493,10559.5,-0.245364,-0.233875,0.0
323.966,0.42571063908368395,-0.268612,0.0,0.0,2.50308,-2.36828,-0.225551,-0.268612,10582.1,-0.203701,-0.268247,0.0
335.876,0.4327496390836839,-0.281063,0.0,0.0,0.59098,-1.04547,-0.218512,-0.281063,10597.7,-0.198106,-0.271637,0.0
343.889,0.4330046390836839,-0.282174,0.0,0.0,0.0318364,-0.138608,-0.218257,-0.282174,10612.2,-0.225399,-0.293335,0.0
355.902,0.43223763908368396,-0.296035,0.0,0.0,-0.0637802,-1.15387,-0.219024,-0.296035,10628.5,-0.124101,-0.340623,0.0
363.895,0.421377639083684,-0.30381,0.0,0.0,-1.35875,-0.97262,-0.229884,-0.30381,10646.3,-0.232117,-0.318388,0.0
375.886,0.38576063908368396,-0.308446,0.0,0.0,-2.9703,-0.38667,-0.265501,-0.308446,10664.6,-0.302673,-0.298222,0.0
383.95,0.3827536390836839,-0.31567,0.0,0.0,-0.372921,-0.895765,-0.268508,-0.31567,10682.0,-0.399906,-0.247563,0.0
395.912,0.350580639083684,-0.316444,0.0,0.0,-2.68961,-0.0647081,-0.300681,-0.316444,10697.7,-0.301607,-0.348291,0.0
403.875,0.34913363908368394,-0.336381,0.0,0.0,-0.181639,-2.50374,-0.302128,-0.336381,10711.9,-0.219996,-0.362759,0.0
415.888,0.35145463908368396,-0.350465,0.0,0.0,0.193149,-1.17244,-0.299807,-0.350465,10726.3,-0.397472,-0.234705,0.0
423.929,0.35456163908368393,-0.35294,0.0,0.0,0.386467,-0.307804,-0.2967,-0.35294,10741.6,-0.299056,-0.351852,0.0
435.877,0.37009263908368395,-0.353127,0.0,0.0,1.29989,-0.0156143,-0.281169,-0.353127,10755.0,-0.295575,-0.356462,0.0
443.957,0.35468063908368397,-0.350349,0.0,0.0,-1.90744,0.343784,-0.296581,-0.350349,10763.5,-0.197713,-0.431712,0.0
455.93,0.353215639083684,-0.332664,0.0,0.0,-0.122367,1.47711,-0.298046,-0.332664,10767.8,-0.228582,-0.314691,0.0
463.961,0.33184363908368397,-0.31048,0.0,0.0,-2.66114,2.76229,-0.319418,-0.31048,10770.0,-0.417958,-0.220517,0.0
475.87,0.29413363908368395,-0.309087,0.0,0.0,-3.16654,0.116961,-0.357128,-0.309087,10771.2,-0.427753,-0.27943,0.0
483.948,0.29251163908368394,-0.309545,0.0,0.0,-0.200809,-0.0567233,-0.35875,-0.309545,10772.0,-0.262163,-0.330906,0.0
495.879,0.29394263908368395,-0.32046,0.0,0.0,0.119976,-0.914802,-0.357319,-0.32046,10772.4,-0.377552,-0.362318,0.0
503.947,0.330349639083684,-0.321669,0.0,0.0,4.5125,-0.149926,-0.320912,-0.321669,10772.7,-0.343315,-0.353808,0.0
515.876,0.38099563908368395,-0.322294,0.0,0.0,4.2456,-0.0523483,-0.270266,-0.322294,10772.8,-0.227331,-0.338381,0.0
527.851,0.41577263908368395,-0.322361,0.0,0.0,2.90415,-0.00561152,-0.235489,-0.322361,10772.7,-0.207932,-0.270897,0.0
535.881,0.42155863908368396,-0.313947,0.0,0.0,0.720578,1.04782,-0.229703,-0.313947,10771.9,-0.236285,-0.275961,0.0
547.897,0.421644639083684,-0.300855,0.0,0.0,0.00713825,1.08952,-0.229617,-0.300855,10769.2,-0.300364,-0.201606,0.0
555.867,0.417165639083684,-0.300317,0.0,0.0,-0.562028,0.0674856,-0.234096,-0.300317,10763.2,-0.206621,-0.321389,0.0
567.864,0.41316063908368394,-0.302445,0.0,0.0,-0.333853,-0.177369,-0.238101,-0.302445,10752.7,-0.251428,-0.265391,0.0
575.875,0.41945063908368396,-0.313029,0.0,0.0,0.785237,-1.3211,-0.231811,-0.313029,10736.4,-0.241165,-0.378079,0.0
587.888,0.4204296390836839,-0.314015,0.0,0.0,0.0814821,-0.0821225,-0.230832,-0.314015,10715.4,-0.29503,-0.310156,0.0
595.994,0.42153863908368394,-0.311717,0.0,0.0,0.136855,0.283529,-0.229723,-0.311717,10693.3,-0.200955,-0.31398,0.0
607.873,0.44742263908368396,-0.311921,0.0,0.0,2.17897,-0.0171525,-0.203839,-0.311921,10671.7,-0.00610708,-0.38367,0.0
615.962,0.486904639083684,-0.311629,0.0,0.0,4.88095,0.0360455,-0.164357,-0.311629,10650.4,-0.174951,-0.274196,0.0
627.966,0.49417963908368395,-0.293535,0.0,0.0,0.605995,1.50731,-0.157082,-0.293535,10632.7,-0.099991,-0.264474,0.0
635.866,0.504675639083684,-0.267209,0.0,0.0,1.32867,3.33247,-0.146586,-0.267209,10621.9,-0.0636019,-0.324496,0.0
647.9,0.514876639083684,-0.195013,0.0,0.0,0.847636,5.99933,-0.136385,-0.195013,10614.8,-0.175792,-0.118469,0.0
655.892,0.506555639083684,-0.132827,0.0,0.0,-1.04117,7.78101,-0.144706,-0.132827,10605.7,-0.210297,-0.101823,0.0
667.832,0.488688639083684,-0.129682,0.0,0.0,-1.49639,0.263436,-0.162573,-0.129682,10593.1,-0.133827,-0.13998,0.0
675.879,0.487240639083684,-0.121881,0.0,0.0,-0.179903,0.969422,-0.164021,-0.121881,10580.6,-0.224997,-0.130149,0.0
687.873,0.49543463908368396,-0.118743,0.0,0.0,0.68318,0.26164,-0.155827,-0.118743,10571.4,-0.104684,-0.155506,0.0
695.968,0.508035639083684,-0.122604,0.0,0.0,1.55662,-0.47701,-0.143226,-0.122604,10564.8,-0.208436,0.0595384,0.0
709.923,0.571537939083684,-0.128736,0.0,0.0,4.55051,-0.439405,-0.0797237,-0.128736,10558.6,0.0330247,-0.0953243,0.0
718.519,0.6602905790836839,-0.138987,0.0,0.0,10.3249,-1.19252,0.00902894,-0.138987,10549.0,-0.0419981,-0.121296,0.0
729.585,0.675608839083684,-0.140225,0.0,0.0,1.38427,-0.111858,0.0243472,-0.140225,10532.9,0.052785,-0.195144,0.0
736.285,0.675430339083684,-0.140495,0.0,0.0,-0.0266415,-0.0404411,0.0241687,-0.140495,10512.2,0.0288617,-0.204228,0.0
748.218,0.659488599083684,-0.145858,0.0,0.0,-1.33594,-0.449347,0.00822696,-0.145858,10494.3,0.0115235,-0.168489,0.0
756.287,0.650098229083684,-0.144348,0.0,0.0,-1.16376,0.187076,-0.00116341,-0.144348,10483.1,-0.0199576,-0.0764076,0.0
768.196,0.614858839083684,-0.105131,0.0,0.0,-2.95905,3.29307,-0.0364028,-0.105131,10476.8,-0.0668717,-0.133071,0.0
780.184,0.594811139083684,-0.0726803,0.0,0.0,-1.67232,2.70692,-0.0564505,-0.0726803,10472.5,-0.174895,-0.0562569,0.0
788.139,0.588212339083684,-0.0697693,0.0,0.0,-0.829515,0.365934,-0.0630493,-0.0697693,10468.4,-0.0537446,-0.0564525,0.0
800.059,0.588214239083684,-0.0694649,0.0,0.0,0.000161119,0.0255321,-0.0630474,-0.0694649,10462.8,-0.106946,-0.0726822,0.0
808.126,0.595260439083684,-0.0696568,0.0,0.0,0.873455,-0.0237832,-0.0560012,-0.0696568,10455.9,-0.0966815,-0.0767578,0.0
819.882,0.624250539083684,-0.0732144,0.0,0.0,2.46599,-0.302619,-0.0270111,-0.0732144,10450.2,0.00836732,-0.0729891,0.0
827.857,0.6364394390836839,-0.084712,0.0,0.0,1.52839,-1.44171,-0.0148222,-0.084712,10447.3,0.0188105,-0.162959,0.0
839.892,0.636918339083684,-0.0855579,0.0,0.0,0.0397956,-0.0702817,-0.0143433,-0.0855579,10446.6,-0.00604453,-0.133357,0.0
847.884,0.636273439083684,-0.0934392,0.0,0.0,-0.0806956,-0.986159,-0.0149882,-0.0934392,10447.1,-0.0540057,-0.0606118,0.0
859.897,0.621872339083684,-0.0922077,0.0,0.0,-1.1988,0.102519,-0.0293893,-0.0922077,10449.6,-0.123894,-0.0198149,0.0
867.906,0.6010684390836839,-0.0585559,0.0,0.0,-2.59756,4.20175,-0.0501932,-0.0585559,10454.9,-0.0876437,-0.0895577,0.0
879.883,0.5820597390836839,-0.0278848,0.0,0.0,-1.5871,2.56084,-0.0692019,-0.0278848,10461.6,-0.0278621,-0.032611,0.0
887.967,0.5806127390836839,-0.0278675,0.0,0.0,-0.179004,0.00213142,-0.0706489,-0.0278675,10466.9,-0.129694,0.0204475,0.0
899.877,0.576604839083684,-0.0581968,0.0,0.0,-0.336509,-2.54653,-0.0746568,-0.0581968,10469.8,-0.0694144,-0.0210891,0.0
907.952,0.572026839083684,-0.0927543,0.0,0.0,-0.56694,-4.27957,-0.0792348,-0.0927543,10471.1,-0.171593,-0.154921,0.0
919.883,0.571485039083684,-0.158379,0.0,0.0,-0.0454139,-5.50035,-0.0797766,-0.158379,10471.6,-0.0668504,-0.166552,0.0
927.858,0.5726747390836839,-0.161217,0.0,0.0,0.149187,-0.355843,-0.0785869,-0.161217,10471.9,-0.0908101,-0.181243,0.0
939.877,0.565970539083684,-0.160513,0.0,0.0,-0.557803,0.0585334,-0.0852911,-0.160513,10472.1,-0.0384936,-0.19723,0.0
947.95,0.5654366390836839,-0.145036,0.0,0.0,-0.0661324,1.91722,-0.085825,-0.145036,10472.9,-0.075584,-0.105512,0.0
959.886,0.556862139083684,-0.115161,0.0,0.0,-0.71837,2.50291,-0.0943995,-0.115161,10474.4,-0.117671,-0.0675598,0.0
967.853,0.529327639083684,-0.0873115,0.0,0.0,-3.45604,3.49559,-0.121934,-0.0873115,10476.5,-0.204599,-0.123531,0.0
979.864,0.49167963908368395,-0.0771139,0.0,0.0,-3.13445,0.849023,-0.159582,-0.0771139,10480.1,-0.174613,-0.0493908,0.0
987.901,0.475781639083684,-0.0769325,0.0,0.0,-1.97818,0.0225653,-0.17548,-0.0769325,10485.7,-0.176919,-0.0447829,0.0
999.883,0.47146963908368394,-0.0857282,0.0,0.0,-0.359827,-0.734074,-0.179792,-0.0857282,10492.3,-0.185389,-0.085477,0.0
1007.98,0.45497963908368394,-0.0859634,0.0,0.0,-2.03534,-0.0290296,-0.196282,-0.0859634,10497.5,-0.244488,-0.140729,0.0
1019.87,0.42881663908368395,-0.0878043,0.0,0.0,-2.20134,-0.154892,-0.222445,-0.0878043,10500.2,-0.235379,-0.0765423,0.0
1031.9,0.413524639083684,-0.114933,0.0,0.0,-1.27103,-2.25489,-0.237737,-0.114933,10501.9,-0.176985,-0.0878677,0.0
1039.87,0.400839639083684,-0.168101,0.0,0.0,-1.59142,-6.67014,-0.250422,-0.168101,10504.5,-0.273602,-0.189042,0.0
1051.89,0.39880963908368394,-0.292331,0.0,0.0,-0.168948,-10.3379,-0.252452,-0.292331,10508.1,-0.350387,-0.395452,0.0
1059.92,0.382610639083684,-0.39942,0.0,0.0,-2.01734,-13.3361,-0.268651,-0.39942,10512.1,-0.264153,-0.572346,0.0
1071.9,0.37596563908368397,-0.403826,0.0,0.0,-0.554675,-0.367809,-0.275296,-0.403826,10516.4,-0.209703,-0.556602,0.0
1079.88,0.381527639083684,-0.403465,0.0,0.0,0.696966,0.045246,-0.269734,-0.403465,10521.0,-0.293593,-0.41108,0.0
1091.91,0.389882639083684,-0.39291,0.0,0.0,0.694452,0.877308,-0.261379,-0.39291,10526.2,-0.315222,-0.319258,0.0
1099.88,0.395623639083684,-0.371284,0.0,0.0,0.720306,2.71349,-0.255638,-0.371284,10531.8,-0.25901,-0.314328,0.0
1111.95,0.38945163908368396,-0.365002,0.0,0.0,-0.511273,0.52032,-0.26181,-0.365002,10536.5,-0.24232,-0.375574,0.0
1119.87,0.38917463908368394,-0.363957,0.0,0.0,-0.0349678,0.131997,-0.262087,-0.363957,10539.6,-0.218763,-0.353016,0.0
1131.95,0.38934663908368394,-0.363953,0.0,0.0,0.0142808,0.000352037,-0.261915,-0.363953,10541.2,-0.287519,-0.37732,0.0
1139.87,0.39291363908368393,-0.364634,0.0,0.0,0.450164,-0.0859648,-0.258348,-0.364634,10542.0,-0.29263,-0.336147,0.0
1151.87,0.38496663908368395,-0.36393,0.0,0.0,-0.662583,0.0586833,-0.266295,-0.36393,10542.7,-0.268647,-0.39166,0.0
1159.89,0.38503163908368393,-0.364723,0.0,0.0,0.00819594,-0.0987667,-0.26623,-0.364723,10543.2,-0.200116,-0.366106,0.0
1171.97,0.395538639083684,-0.36867,0.0,0.0,0.869777,-0.326763,-0.255723,-0.36867,10542.7,-0.29231,-0.35837,0.0
1179.96,0.41431563908368396,-0.376548,0.0,0.0,2.35036,-0.986096,-0.236946,-0.376548,10541.2,-0.244115,-0.43698,0.0
1191.98,0.42236163908368396,-0.387018,0.0,0.0,0.669226,-0.870877,-0.2289,-0.387018,10538.9,-0.182981,-0.397024,0.0
1199.99,0.4227076390836839,-0.387602,0.0,0.0,0.0432389,-0.0730019,-0.228554,-0.387602,10536.2,-0.248826,-0.404347,0.0
