Resolution,1920,1080,Distance,60,Width,48,Subject,Mario,Test,CC9-08292019-121813,Calibration,CC9-08292019-121813,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-21.2884,12.1363,-21.3886,12.2251,0,0,0.100232,-0.0887852,9161.15,-21.3023,12.1009,0
11.294,-21.2884,12.1363,-21.3886,12.2251,0,0,0.100232,-0.0887852,9161.15,-21.2571,12.1978,0
19.767,-21.2664,12.1829,-21.3886,12.2251,2.59214,5.49555,0.122195,-0.0422213,9161.15,-21.2787,12.2464,0
32.418,-21.2487,12.1984,-21.3886,12.2251,1.39973,1.22145,0.139903,-0.0267687,9161.15,-21.2383,12.1486,0
41.419,-21.2283,12.2013,-21.3886,12.2251,2.26752,0.322118,0.160313,-0.0238693,9177.26,-21.1921,12.2048,0
50.413,-21.2049,12.2034,-21.3886,12.2251,2.59805,0.236811,0.18368,-0.0217394,9181.58,-21.1921,12.2048,0
60.56,-21.1975,12.204,-21.3886,12.2251,0.731347,0.0642039,0.191101,-0.021088,9188.29,-21.1698,12.2377,0
71.256,-21.1972,12.2033,-21.3886,12.2251,0.0294453,-0.064469,0.191416,-0.0217775,9196.9,-21.2355,12.1852,0
78.474,-21.1987,12.1955,-21.3886,12.2251,-0.206986,-1.0872,0.189922,-0.029625,9204.68,-21.1633,12.2202,0
91.628,-21.2418,12.1804,-21.3886,12.2251,-3.27593,-1.14745,0.14683,-0.0447185,9210.54,-21.2978,12.1607,0
98.41,-21.2853,12.1763,-21.3886,12.2251,-6.40907,-0.605391,0.103364,-0.0488243,9217.85,-21.2804,12.1384,0
110.355,-21.2949,12.1823,-21.3886,12.2251,-0.804579,0.498911,0.0937533,-0.0428648,9229.85,-21.2833,12.1539,0
118.812,-21.2952,12.189,-21.3886,12.2251,-0.0351593,0.798894,0.093456,-0.0361086,9243.95,-21.3314,12.2045,0
130.351,-21.2876,12.1948,-21.3886,12.2251,0.652441,0.505357,0.100985,-0.0302772,9255.14,-21.3343,12.2952,0
139.155,-21.2816,12.1956,-21.3886,12.2251,0.690922,0.0865646,0.107067,-0.0295151,9263.44,-21.1973,12.234,0
153.815,-21.2834,12.1956,-21.3886,12.2251,-0.128864,0.000410385,0.105178,-0.0295091,9272.95,-21.2069,12.1183,0
160.552,-21.2755,12.1998,-21.3886,12.2251,1.17622,0.615555,0.113102,-0.0253621,9285.79,-21.2657,12.1394,0
170.488,-21.2746,12.1869,-21.3886,12.2251,0.0971762,-1.29153,0.114068,-0.0381948,9301.36,-21.2937,12.1038,0
179.724,-21.2737,12.1875,-21.3886,12.2251,0.0922636,0.0642569,0.11492,-0.0376013,9319.49,-21.2891,12.2356,0
190.372,-21.2742,12.214,-21.3886,12.2251,-0.0439246,2.48585,0.114452,-0.011132,9340.01,-21.2721,12.1901,0
203.453,-21.2602,12.2556,-21.3886,12.2251,1.06955,3.17822,0.128443,0.0304423,9360.61,-21.2397,12.3101,0
213.369,-21.2434,12.2926,-21.3886,12.2251,1.69152,3.73928,0.145216,0.067521,9380.17,-21.2417,12.336,0
223.561,-21.2397,12.2945,-21.3886,12.2251,0.358984,0.178537,0.148875,0.0693407,9399.72,-21.218,12.3196,0
230.301,-21.2383,12.2947,-21.3886,12.2251,0.208388,0.0279492,0.15028,0.0695291,9418.31,-21.2478,12.3378,0
242.572,-21.2178,12.2976,-21.3886,12.2251,1.67303,0.238123,0.170809,0.0724511,9434.81,-21.179,12.2586,0
251.033,-21.2167,12.2901,-21.3886,12.2251,0.131384,-0.885704,0.171921,0.0649571,9450.64,-21.2047,12.2281,0
263.052,-21.2196,12.2869,-21.3886,12.2251,-0.239066,-0.265708,0.169048,0.0617636,9466.62,-21.1692,12.4058,0
273.616,-21.2233,12.2864,-21.3886,12.2251,-0.351823,-0.0425653,0.165331,0.0613139,9482.17,-21.2908,12.2985,0
284.088,-21.2723,12.282,-21.3886,12.2251,-4.67549,-0.4216,0.116369,0.0568989,9497.35,-21.3199,12.2846,0
293.681,-21.3035,12.2776,-21.3886,12.2251,-3.25716,-0.462273,0.0851234,0.0524643,9514.29,-21.3062,12.309,0
303.17,-21.3031,12.2385,-21.3886,12.2251,0.04557,-4.11457,0.0855558,0.0134211,9536.55,-21.2663,12.1955,0
311.962,-21.2998,12.1857,-21.3886,12.2251,0.372873,-6.00906,0.0888341,-0.0394105,9563.72,-21.3681,12.1529,0
322.507,-21.2766,12.1692,-21.3886,12.2251,2.19902,-1.56895,0.112023,-0.055955,9590.26,-21.2569,12.206,0
331.658,-21.2571,12.1456,-21.3886,12.2251,2.13357,-2.57641,0.131547,-0.0795318,9612.65,-21.2515,12.095,0
343.637,-21.2487,12.1159,-21.3886,12.2251,0.696438,-2.47626,0.13989,-0.109195,9632.03,-21.2029,12.0831,0
353.314,-21.2478,12.1,-21.3886,12.2251,0.100986,-1.64531,0.140867,-0.125117,9652.24,-21.1957,12.1059,0
364.251,-21.2478,12.0911,-21.3886,12.2251,-0.00640481,-0.816863,0.140797,-0.134051,9677.41,-21.2416,12.0575,0
371.988,-21.2613,12.0896,-21.3886,12.2251,-1.74093,-0.196213,0.127327,-0.135569,9706.61,-21.2743,12.0848,0
383.142,-21.3319,12.0846,-21.3886,12.2251,-6.33375,-0.440293,0.0566807,-0.14048,9735.09,-21.3891,12.0448,0
391.806,-21.3891,12.0827,-21.3886,12.2251,-6.60069,-0.222314,-0.000507672,-0.142406,9760.31,-21.3944,12.0932,0
402.605,-21.3922,12.0995,-21.3886,12.2251,-0.288278,1.55709,-0.00362078,-0.125591,9782.36,-21.4347,12.1033,0
410.612,-21.3906,12.1008,-21.3886,12.2251,0.205824,0.152809,-0.00197275,-0.124367,9803.22,-21.399,12.1117,0
422.568,-21.3509,12.112,-21.3886,12.2251,3.32261,0.937888,0.0377524,-0.113154,9827.28,-21.3149,12.2769,0
432.018,-21.3157,12.1189,-21.3886,12.2251,3.71767,0.737137,0.0728844,-0.106188,9855.24,-21.2748,12.097,0
443.087,-21.3143,12.1191,-21.3886,12.2251,0.133282,0.0151774,0.0743597,-0.10602,9879.47,-21.264,12.1067,0
456.11,-21.3166,12.1158,-21.3886,12.2251,-0.176861,-0.251993,0.0720564,-0.109302,9893.89,-21.366,12.1365,0
463.988,-21.3733,12.1015,-21.3886,12.2251,-7.19944,-1.81675,0.0153392,-0.123614,9901.52,-21.4279,12.0914,0
474.308,-21.414,12.0973,-21.3886,12.2251,-3.94878,-0.411732,-0.0254122,-0.127863,9907.72,-21.4279,12.0914,0
484.384,-21.4274,12.0918,-21.3886,12.2251,-1.32303,-0.544204,-0.0387431,-0.133347,9913.45,-21.4989,12.1036,0
495.529,-21.4279,12.0904,-21.3886,12.2251,-0.0459583,-0.125286,-0.0392553,-0.134743,9917.19,-21.399,12.0229,0
502.33,-21.428,12.0655,-21.3886,12.2251,-0.0153635,-3.65558,-0.0393597,-0.159604,9918.72,-21.4585,12.0886,0
516.064,-21.4277,12.0307,-21.3886,12.2251,0.0214502,-2.53868,-0.0390652,-0.194471,9919.1,-21.3757,12.0451,0
522.681,-21.4272,12.0022,-21.3886,12.2251,0.0736277,-4.30698,-0.038578,-0.22297,9919.06,-21.4578,11.9498,0
534.579,-21.4276,12.0101,-21.3886,12.2251,-0.0314404,0.672095,-0.038952,-0.214973,9918.7,-21.4241,11.94,0
545.753,-21.426,12.0114,-21.3886,12.2251,0.13773,0.10817,-0.037413,-0.213765,9917.86,-21.4295,12.0086,0
554.444,-21.3892,12.0318,-21.3886,12.2251,4.24056,2.35016,-0.000558294,-0.193339,9915.93,-21.351,12.0803,0
562.79,-21.3552,12.081,-21.3886,12.2251,4.07334,5.89836,0.0334378,-0.144112,9911.28,-21.2482,12.1009,0
575.173,-21.3539,12.0894,-21.3886,12.2251,0.103291,0.678551,0.0347169,-0.135709,9901.54,-21.3752,12.1281,0
584.08,-21.3506,12.0918,-21.3886,12.2251,0.365694,0.266345,0.0379741,-0.133337,9886.65,-21.3496,12.0961,0
594.973,-21.3397,12.0928,-21.3886,12.2251,1.00313,0.0974673,0.0489012,-0.132275,9870.67,-21.3637,12.0838,0
604.69,-21.3381,12.0926,-21.3886,12.2251,0.172017,-0.0241558,0.0505727,-0.13251,9856.78,-21.2921,12.1001,0
615.098,-21.3099,12.0864,-21.3886,12.2251,2.70013,-0.599178,0.0786757,-0.138746,9843.3,-21.374,12.0625,0
622.608,-21.2892,12.0879,-21.3886,12.2251,2.76399,0.197345,0.0994332,-0.137264,9826.54,-21.2454,11.9866,0
635.154,-21.2889,12.0884,-21.3886,12.2251,0.0228869,0.0395432,0.0997204,-0.136768,9804.83,-21.2639,12.0237,0
642.495,-21.302,12.0989,-21.3886,12.2251,-1.78069,1.43476,0.0866483,-0.126235,9781.45,-21.3367,12.1328,0
654.411,-21.3043,12.1223,-21.3886,12.2251,-0.194269,1.9642,0.0843334,-0.10283,9763.11,-21.3038,12.0991,0
663.005,-21.3216,12.1279,-21.3886,12.2251,-2.0171,0.651278,0.0669985,-0.0972328,9752.43,-21.3734,12.137,0
674.411,-21.3308,12.1273,-21.3886,12.2251,-0.804628,-0.0486732,0.0578209,-0.097788,9745.56,-21.31,12.1282,0
683.564,-21.3454,12.1263,-21.3886,12.2251,-1.59448,-0.111302,0.0432266,-0.0988067,9737.67,-21.3655,12.1252,0
695.521,-21.3463,12.1332,-21.3886,12.2251,-0.0775791,0.574298,0.042299,-0.0919399,9726.59,-21.3821,12.0731,0
707.761,-21.3466,12.14,-21.3886,12.2251,-0.0198535,0.557937,0.042056,-0.0851107,9712.01,-21.3442,12.1539,0
714.395,-21.3453,12.1527,-21.3886,12.2251,0.19808,1.91168,0.04337,-0.0724286,9693.23,-21.3283,12.153,0
728.412,-21.3292,12.1547,-21.3886,12.2251,1.14715,0.141748,0.0594497,-0.0704417,9669.04,-21.3303,12.2723,0
738.385,-21.278,12.1596,-21.3886,12.2251,5.13196,0.488392,0.110631,-0.065571,9642.6,-21.1832,12.1815,0
746.515,-21.2254,12.1714,-21.3886,12.2251,6.46656,1.45388,0.163204,-0.053751,9621.92,-21.2296,12.1308,0
755.242,-21.2237,12.195,-21.3886,12.2251,0.197173,2.7117,0.164925,-0.030086,9611.05,-21.1688,12.1531,0
767.815,-21.2106,12.1724,-21.3886,12.2251,1.03868,-1.80127,0.177984,-0.0527334,9606.4,-21.2007,12.2186,0
777.303,-21.2095,12.1634,-21.3886,12.2251,0.122696,-0.950227,0.179148,-0.0617491,9602.07,-21.2589,12.2139,0
787.064,-21.2031,12.1342,-21.3886,12.2251,0.657403,-2.98985,0.185565,-0.090933,9595.07,-21.2087,12.1038,0
