Resolution,1920,1080,Distance,60,Width,48,Subject,patricia,Test,CC9-09252019-124953,Calibration,CC9-09252019-124953,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-21.436,12.3857,-21.3886,12.2251,0,0,-0.0473349,0.160565,10448.6,-21.4529,12.4449,0
9.171,-21.436,12.3857,-21.3886,12.2251,0,0,-0.0473349,0.160565,10448.6,-21.4189,12.2148,0
18.457,-21.3832,12.2884,-21.3886,12.2251,5.67786,-10.4789,0.00538967,0.0632576,10448.6,-21.3201,12.2156,0
28.628,-21.3433,12.2531,-21.3886,12.2251,3.92508,-3.46684,0.0453116,0.0279963,10448.6,-21.3156,12.2195,0
39.329,-21.3306,12.2389,-21.3886,12.2251,1.18385,-1.32695,0.05798,0.0137967,10480.9,-21.3651,12.241,0
47.348,-21.3184,12.2285,-21.3886,12.2251,1.52076,-1.30021,0.070175,0.0033703,10495.8,-21.3793,12.2635,0
59.662,-21.3129,12.2285,-21.3886,12.2251,0.450196,0.00116983,0.0757187,0.00338471,10511.2,-21.2759,12.2322,0
67.8,-21.3048,12.238,-21.3886,12.2251,0.994603,1.16276,0.0838128,0.0128473,10527.1,-21.3095,12.2035,0
78.608,-21.2996,12.2257,-21.3886,12.2251,0.481681,-1.13489,0.0890188,0.000581406,10540.3,-21.336,12.1135,0
88.737,-21.2958,12.1772,-21.3886,12.2251,0.380481,-4.78872,0.0928727,-0.0479235,10548.4,-21.2898,12.3337,0
99.419,-21.2965,12.1265,-21.3886,12.2251,-0.0667049,-4.74533,0.0921601,-0.0986131,10552.5,-21.296,12.0664,0
106.277,-21.2946,12.1084,-21.3886,12.2251,0.278548,-2.63685,0.0940704,-0.116697,10554.8,-21.2878,12.1354,0
120.253,-21.2934,12.1183,-21.3886,12.2251,0.0790122,0.710022,0.0951747,-0.106773,10556.5,-21.3154,12.138,0
126.861,-21.2932,12.121,-21.3886,12.2251,0.0382426,0.404179,0.0954274,-0.104103,10557.7,-21.2928,12.0643,0
138.431,-21.2875,12.1726,-21.3886,12.2251,0.493283,4.46145,0.101135,-0.0524836,10559,-21.2722,12.2817,0
147.666,-21.2644,12.2086,-21.3886,12.2251,2.49918,3.89117,0.124215,-0.0165486,10560.9,-21.186,12.2041,0
159.537,-21.2499,12.2109,-21.3886,12.2251,1.22196,0.194223,0.138721,-0.014243,10563.4,-21.2189,12.2164,0
170.457,-21.2498,12.2282,-21.3886,12.2251,0.00827037,1.5816,0.138811,0.00302803,10566,-21.2518,12.2899,0
179.02,-21.2499,12.2149,-21.3886,12.2251,-0.0132778,-1.54607,0.138697,-0.010211,10568.9,-21.2562,12.1213,0
190.474,-21.2625,12.2168,-21.3886,12.2251,-1.09537,0.16582,0.126151,-0.00831166,10573,-21.2726,12.3235,0
198.886,-21.2883,12.2127,-21.3886,12.2251,-3.06624,-0.486954,0.100358,-0.0124079,10578,-21.3294,12.2203,0
210.957,-21.3046,12.2037,-21.3886,12.2251,-1.3512,-0.743429,0.0840473,-0.0213819,10583.1,-21.2883,12.2159,0
219.863,-21.3113,12.2096,-21.3886,12.2251,-0.758792,0.662066,0.0772895,-0.0154855,10587.4,-21.3254,12.1303,0
230.509,-21.3132,12.198,-21.3886,12.2251,-0.175468,-1.09386,0.0754214,-0.0271307,10591.2,-21.3011,12.1646,0
239.368,-21.3098,12.1938,-21.3886,12.2251,0.385089,-0.470601,0.0788329,-0.0312997,10594.8,-21.3982,12.2049,0
251.654,-21.3067,12.1901,-21.3886,12.2251,0.254495,-0.306117,0.0819597,-0.0350607,10598.5,-21.322,12.1898,0
258.692,-21.2979,12.187,-21.3886,12.2251,1.24203,-0.43199,0.0907011,-0.038101,10602.8,-21.2708,12.2102,0
270.416,-21.268,12.1761,-21.3886,12.2251,2.54969,-0.934041,0.120594,-0.0490517,10608.6,-21.2374,12.1637,0
279.82,-21.2656,12.1493,-21.3886,12.2251,0.257564,-2.84574,0.123016,-0.0758131,10616.5,-21.2201,12.129,0
290.872,-21.2648,12.1315,-21.3886,12.2251,0.0695437,-1.61543,0.123784,-0.0936668,10625.7,-21.2262,12.1395,0
299.705,-21.2589,12.1125,-21.3886,12.2251,0.666828,-2.14099,0.129674,-0.112578,10634.9,-21.2926,12.0962,0
311.453,-21.2576,12.0931,-21.3886,12.2251,0.111454,-1.65529,0.130984,-0.132024,10642.2,-21.3149,12.0814,0
318.3,-21.2574,12.0848,-21.3886,12.2251,0.0385605,-1.21678,0.131248,-0.140356,10646.3,-21.27,12.1141,0
330.994,-21.2544,12.0667,-21.3886,12.2251,0.236763,-1.42658,0.134253,-0.158465,10648.4,-21.1952,11.9598,0
338.881,-21.1963,12.0485,-21.3886,12.2251,7.36218,-2.29765,0.192319,-0.176586,10650.2,-21.1566,12.0441,0
351.011,-21.1698,12.0426,-21.3886,12.2251,2.18607,-0.487518,0.218836,-0.1825,10653.3,-21.1404,12.0521,0
359.347,-21.1685,12.0354,-21.3886,12.2251,0.150954,-0.865231,0.220094,-0.189712,10659,-21.1277,12.0213,0
370.315,-21.1706,12.0426,-21.3886,12.2251,-0.186356,0.652312,0.21805,-0.182558,10667.2,-21.1805,12.0307,0
378.551,-21.2138,12.0464,-21.3886,12.2251,-5.25087,0.460392,0.174804,-0.178766,10674.9,-21.2553,12.1352,0
390.995,-21.2465,12.0453,-21.3886,12.2251,-2.62862,-0.081231,0.142094,-0.179777,10680.9,-21.2563,12.0255,0
399.83,-21.2479,12.0454,-21.3886,12.2251,-0.153791,0.00414101,0.140735,-0.17974,10688.3,-21.2484,12.0731,0
410.602,-21.2478,12.0474,-21.3886,12.2251,0.00610295,0.185361,0.140801,-0.177744,10703,-21.2308,12.0495,0
422.314,-21.2449,12.047,-21.3886,12.2251,0.249577,-0.0313943,0.143724,-0.178111,10725.2,-21.2468,11.9736,0
431.491,-21.2422,12.0359,-21.3886,12.2251,0.293721,-1.20903,0.146419,-0.189207,10746.4,-21.2356,12.0547,0
442.533,-21.2417,12.022,-21.3886,12.2251,0.0453792,-1.26009,0.14692,-0.20312,10759.2,-21.2942,12.0414,0
451.914,-21.2414,12.0127,-21.3886,12.2251,0.0285949,-0.990014,0.147188,-0.212408,10764.6,-21.2307,11.9399,0
463.519,-21.2414,12.0117,-21.3886,12.2251,0.00247394,-0.0856834,0.147217,-0.213402,10766.7,-21.249,12.0115,0
470.454,-21.2405,11.9974,-21.3886,12.2251,0.131519,-2.06382,0.148129,-0.227715,10767.9,-21.2493,12.0226,0
483.137,-21.2267,11.9878,-21.3886,12.2251,1.08817,-0.756645,0.16193,-0.237311,10768.8,-21.1815,11.9316,0
492.774,-21.1766,11.9873,-21.3886,12.2251,5.19823,-0.0540468,0.212026,-0.237832,10769.7,-21.0707,11.9872,0
503.03,-21.1675,11.9815,-21.3886,12.2251,0.88278,-0.563244,0.22108,-0.243609,10770.5,-21.0851,12.0167,0
512.647,-21.1597,11.9774,-21.3886,12.2251,0.81254,-0.426488,0.228894,-0.24771,10770.8,-21.1319,11.9894,0
523.687,-21.1561,11.9773,-21.3886,12.2251,0.327712,-0.0124108,0.232512,-0.247847,10770.6,-21.2012,11.9674,0
534.597,-21.18,11.9773,-21.3886,12.2251,-2.18922,0.0056229,0.208627,-0.247786,10769.6,-21.1945,11.9516,0
543.212,-21.1808,11.9677,-21.3886,12.2251,-0.0905383,-1.11466,0.207847,-0.257389,10767.4,-21.1726,11.8478,0
551.546,-21.1808,11.9672,-21.3886,12.2251,0.00200836,-0.0698866,0.207864,-0.257971,10763.5,-21.1951,12.0704,0
563.068,-21.1803,11.9635,-21.3886,12.2251,0.0387875,-0.315142,0.208311,-0.261602,10758.4,-21.1445,11.947,0
570.832,-21.1722,11.9637,-21.3886,12.2251,1.04017,0.02656,0.216387,-0.261396,10752.4,-21.13,11.9876,0
583.532,-21.1652,11.9716,-21.3886,12.2251,0.554117,0.621056,0.223424,-0.253509,10745.6,-21.2052,11.9658,0
590.488,-21.1602,11.9722,-21.3886,12.2251,0.725776,0.0855831,0.228473,-0.252913,10738.4,-21.1928,11.9532,0
603.724,-21.1351,11.9773,-21.3886,12.2251,1.89491,0.385852,0.253554,-0.247806,10729.6,-21.0996,11.9922,0
611.573,-21.123,11.9709,-21.3886,12.2251,1.53264,-0.816648,0.265583,-0.254216,10718.6,-21.0994,12.1012,0
623.011,-21.1234,11.9988,-21.3886,12.2251,-0.0293946,2.43776,0.265247,-0.226333,10707.6,-21.1659,12.1463,0
632.203,-21.1301,12.0252,-21.3886,12.2251,-0.736388,2.87348,0.258478,-0.19992,10699,-21.1141,11.9299,0
643.945,-21.2726,12.026,-21.3886,12.2251,-12.1306,0.0637024,0.116041,-0.199172,10692,-21.6798,12.0176,0
650.978,-21.4146,12.0254,-21.3886,12.2251,-20.1889,-0.0767324,-0.0259479,-0.199712,10685.1,-21.6665,12.0329,0
663.695,-21.4204,12.0201,-21.3886,12.2251,-0.457616,-0.414183,-0.0317674,-0.204979,10677.8,-21.4038,11.9751,0
674.944,-21.4196,12.0271,-21.3886,12.2251,0.0668932,0.613933,-0.0310149,-0.198073,10669.2,-21.467,12.0485,0
682.416,-21.3972,12.0303,-21.3886,12.2251,2.99947,0.436699,-0.00860282,-0.19481,10657.8,-21.3733,12.0628,0
694.771,-21.3764,12.0282,-21.3886,12.2251,1.68479,-0.16771,0.0122127,-0.196882,10642.4,-21.323,11.994,0
703.298,-21.3757,12.0346,-21.3886,12.2251,0.0808565,0.739893,0.0129022,-0.190573,10624.8,-21.3561,12.0363,0
715.053,-21.3757,12.0284,-21.3886,12.2251,-0.00241601,-0.521001,0.0128738,-0.196697,10610.3,-21.3685,12.0194,0
725.548,-21.3822,12.035,-21.3886,12.2251,-0.610643,0.626397,0.00646508,-0.190123,10601.3,-21.4661,12.0506,0
737.372,-21.4192,12.0402,-21.3886,12.2251,-3.13103,0.440313,-0.0305563,-0.184917,10595.4,-21.4284,12.004,0
744.665,-21.4407,12.0685,-21.3886,12.2251,-2.9567,3.88271,-0.0521195,-0.1566,10588.4,-21.4542,12.1308,0
755.477,-21.4427,12.1061,-21.3886,12.2251,-0.177513,3.47287,-0.0540388,-0.119051,10578.3,-21.5123,12.1207,0
